variant,seed,mode,jobs,risk,under_risk,over_risk,pf_fail_rate,mean_loss_mw,mean_energy_mwh,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,mean_intervention_rate,jobs_with_intervention,projection_failure_steps,mean_correction_norm,max_correction_norm,mean_power_flow_previews_per_job,projection_config,mean_violation_step_rate,source_jobs_csv,method
wg_projected,42,uniform,1000,0.0,0.0,0.0,0.0,0.0556774248321364,1.3362581959712745,0.9505000163424342,1.037129798414015,0.9482141176884064,1.037129798414015,1.0416666666666666e-05,1.0,0.0,4.982343808617816e-07,0.047830500562731,96.01,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,WG-CVaR
wg_projected,42,stress,1000,0.0,0.0,0.0,0.0,0.0584667424855775,1.4032018196538611,0.9505000004349689,1.0400013781349506,0.9463422426738504,1.0400013781349506,0.00025,23.0,0.0,9.274859651180564e-06,0.1211203808617282,96.26,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,WG-CVaR
wg_projected,43,uniform,1000,0.0,0.0,0.0,0.0,0.0615650266907622,1.4775606405782946,0.9511842129072546,1.042728313670505,0.9511842129072546,1.042728313670505,0.0,0.0,0.0,0.0,0.0,96.0,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,WG-CVaR
wg_projected,43,stress,1000,0.0,0.0,0.0,0.0,0.0645439441037912,1.5490546584909903,0.9505000004575984,1.0435258979588309,0.949547176271404,1.0435258979588309,2.0833333333333333e-05,2.0,0.0,4.129957117436453e-07,0.029362971237105,96.02,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,WG-CVaR
wg_projected,44,uniform,1000,0.0,0.0,0.0,0.0,0.060888419979811,1.461322079515465,0.9505000016659978,1.0368673352260165,0.9493866378922586,1.0368673352260165,1.0416666666666666e-05,1.0,0.0,2.446159602193137e-07,0.0234831321810541,96.015,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,WG-CVaR
wg_projected,44,stress,1000,0.0,0.0,0.0,0.0,0.0634250608070454,1.5222014593690896,0.950500000641498,1.041491557678104,0.9475679857179238,1.041491557678104,0.0001562499999999,15.0,0.0,3.3726561787116627e-06,0.0859792456291814,96.115,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,WG-CVaR
concat_projected,42,uniform,1000,0.0,0.0,0.0,0.0,0.0596785725798639,1.4322857419167354,0.9506827725754712,1.044474187080106,0.9506827725754712,1.044474187080106,0.0,0.0,0.0,0.0,0.0,96.0,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,Concat
concat_projected,42,stress,1000,0.0,0.0,0.0,0.0,0.0627786042182073,1.5066865012369772,0.9505000014119732,1.048588033312516,0.9484357088030144,1.048588033312516,4.1666666666666665e-05,4.0,0.0,1.453847601245217e-06,0.0638986686882072,96.035,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,Concat
concat_projected,43,uniform,1000,0.0,0.0,0.0,0.0,0.0609382062952181,1.4625169510852354,0.9505000008649956,1.040793610755209,0.9492495277551776,1.040793610755209,1.0416666666666666e-05,1.0,0.0,2.7383147891501345e-07,0.0262878219758412,96.015,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,Concat
concat_projected,43,stress,1000,0.0,0.0,0.0,0.0,0.0637974911308231,1.531139787139756,0.950500000263517,1.0419273646449556,0.948044425341646,1.0419273646449556,9.375e-05,9.0,0.0,2.430355268462801e-06,0.0749807149377402,96.065,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,Concat
concat_projected,44,uniform,1000,0.0,0.0,0.0,0.0,0.0644433424703009,1.546640219287223,0.9505015149846766,1.0377768100209412,0.9495865595830216,1.0377768100209412,1.0416666666666666e-05,1.0,0.0,1.9962794608943899e-07,0.0191642828245861,96.005,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,Concat
concat_projected,44,stress,1000,0.0,0.0,0.0,0.0,0.0677771217660034,1.6266509223840817,0.9505000002348544,1.03960502529708,0.948593226442166,1.03960502529708,6.25e-05,6.0,0.0,1.553878623688014e-06,0.0585911514322953,96.05,"{'lower_voltage': 0.9505, 'upper_voltage': 1.0495, 'finite_difference_step': 0.02, 'max_iterations': 3, 'optimiser_tolerance': 1e-09}",,,Concat
