episode,method,rolling_mean,seed_min,seed_max,seed_42,seed_43,seed_44
1,WG-CVaR-PPO,,,,,,
2,WG-CVaR-PPO,,,,,,
3,WG-CVaR-PPO,,,,,,
4,WG-CVaR-PPO,,,,,,
5,WG-CVaR-PPO,,,,,,
6,WG-CVaR-PPO,,,,,,
7,WG-CVaR-PPO,,,,,,
8,WG-CVaR-PPO,,,,,,
9,WG-CVaR-PPO,,,,,,
10,WG-CVaR-PPO,,,,,,
11,WG-CVaR-PPO,,,,,,
12,WG-CVaR-PPO,,,,,,
13,WG-CVaR-PPO,,,,,,
14,WG-CVaR-PPO,,,,,,
15,WG-CVaR-PPO,,,,,,
16,WG-CVaR-PPO,,,,,,
17,WG-CVaR-PPO,,,,,,
18,WG-CVaR-PPO,,,,,,
19,WG-CVaR-PPO,,,,,,
20,WG-CVaR-PPO,,,,,,
21,WG-CVaR-PPO,,,,,,
22,WG-CVaR-PPO,,,,,,
23,WG-CVaR-PPO,,,,,,
24,WG-CVaR-PPO,,,,,,
25,WG-CVaR-PPO,-10.435579142375916,-10.980842294284074,-9.604286919865263,-9.604286919865263,-10.980842294284074,-10.721608212978415
26,WG-CVaR-PPO,-10.549634132676912,-11.183935622077033,-9.743665701413718,-9.743665701413718,-11.183935622077033,-10.721301074539987
27,WG-CVaR-PPO,-10.51484400545444,-11.007415455440134,-9.736738046216395,-9.736738046216395,-11.007415455440134,-10.800378514706795
28,WG-CVaR-PPO,-10.490384159902964,-11.085031439874909,-9.622288723269875,-9.622288723269875,-11.085031439874909,-10.763832316564107
29,WG-CVaR-PPO,-10.442711382173634,-11.091985178824954,-9.465735448332499,-9.465735448332499,-11.091985178824954,-10.77041351936345
30,WG-CVaR-PPO,-10.545879643272537,-11.126133059123624,-9.623023978016752,-9.623023978016752,-11.126133059123624,-10.88848189267723
31,WG-CVaR-PPO,-10.584507498937056,-11.18726847234345,-9.672140247389143,-9.672140247389143,-11.18726847234345,-10.894113777078577
32,WG-CVaR-PPO,-10.444379887036632,-10.93320556730698,-9.640431183342507,-9.640431183342507,-10.93320556730698,-10.759502910460414
33,WG-CVaR-PPO,-10.34483568336025,-10.820639571652691,-9.537351147687668,-9.537351147687668,-10.676516330740391,-10.820639571652691
34,WG-CVaR-PPO,-10.239064222407055,-10.727086540459362,-9.373420223736868,-9.373420223736868,-10.727086540459362,-10.616685903024933
35,WG-CVaR-PPO,-10.373182223255178,-10.785853966636466,-9.650632211265822,-9.650632211265822,-10.785853966636466,-10.683060491863246
36,WG-CVaR-PPO,-10.454324436589856,-10.838050145273701,-9.758750754397848,-9.758750754397848,-10.838050145273701,-10.766172410098017
37,WG-CVaR-PPO,-10.379646038492549,-10.749037285078902,-9.698065766390535,-9.698065766390535,-10.69183506400821,-10.749037285078902
38,WG-CVaR-PPO,-10.351817187529859,-10.694098932685634,-9.68403346176953,-9.68403346176953,-10.694098932685634,-10.677319168134408
39,WG-CVaR-PPO,-10.314422644382436,-10.807955708571056,-9.673173420701627,-9.673173420701627,-10.807955708571056,-10.462138803874627
40,WG-CVaR-PPO,-10.349510124813092,-10.916851168862813,-9.661639588708358,-9.661639588708358,-10.916851168862813,-10.470039616868107
41,WG-CVaR-PPO,-10.31393918590298,-10.79087909726969,-9.5543731374429,-9.5543731374429,-10.79087909726969,-10.59656532299635
42,WG-CVaR-PPO,-10.295148206251561,-10.651632747564479,-9.83910491490818,-9.83910491490818,-10.651632747564479,-10.39470695628202
43,WG-CVaR-PPO,-10.251272814497096,-10.648451645759486,-9.868592590644676,-9.868592590644676,-10.648451645759486,-10.236774207087127
44,WG-CVaR-PPO,-10.1696592631426,-10.483002437373834,-9.89652415103728,-9.89652415103728,-10.483002437373834,-10.129451201016686
45,WG-CVaR-PPO,-10.113930130618423,-10.289608643812937,-9.834415667536678,-9.834415667536678,-10.289608643812937,-10.217766080505655
46,WG-CVaR-PPO,-10.077555762750904,-10.297276420986819,-9.96478307444794,-9.970607792817955,-10.297276420986819,-9.96478307444794
47,WG-CVaR-PPO,-9.981324363776542,-10.24185694657968,-9.793633950959789,-9.793633950959789,-10.24185694657968,-9.90848219379016
48,WG-CVaR-PPO,-10.05863042643538,-10.174807039749531,-9.960872731100544,-9.960872731100544,-10.174807039749531,-10.040211508456068
