scenario_index,day_index,t0
0,2,192
1,3,288
2,4,384
3,5,480
4,6,576
5,7,672
6,8,768
7,10,960
8,11,1056
9,12,1152
10,13,1248
11,14,1344
12,16,1536
13,17,1632
14,18,1728
15,19,1824
16,20,1920
17,21,2016
18,22,2112
19,23,2208
20,24,2304
21,25,2400
22,26,2496
23,27,2592
24,28,2688
25,29,2784
26,30,2880
27,31,2976
28,32,3072
29,33,3168
30,34,3264
31,35,3360
32,36,3456
33,37,3552
34,40,3840
35,42,4032
36,43,4128
37,44,4224
38,45,4320
39,46,4416
40,47,4512
41,48,4608
42,50,4800
43,52,4992
44,53,5088
45,54,5184
46,55,5280
47,58,5568
48,59,5664
49,61,5856
50,62,5952
51,63,6048
52,64,6144
53,65,6240
54,66,6336
55,67,6432
56,68,6528
57,69,6624
58,70,6720
59,73,7008
60,74,7104
61,75,7200
62,76,7296
63,77,7392
64,78,7488
65,79,7584
66,80,7680
67,81,7776
68,82,7872
69,83,7968
70,84,8064
71,85,8160
72,86,8256
73,87,8352
74,88,8448
75,89,8544
76,90,8640
77,91,8736
78,93,8928
79,94,9024
80,95,9120
81,96,9216
82,97,9312
83,98,9408
84,99,9504
85,100,9600
86,101,9696
87,102,9792
88,103,9888
89,104,9984
90,105,10080
91,106,10176
92,108,10368
93,109,10464
94,110,10560
95,111,10656
96,112,10752
97,113,10848
98,115,11040
99,116,11136
100,117,11232
101,118,11328
102,121,11616
103,122,11712
104,123,11808
105,124,11904
106,125,12000
107,126,12096
108,127,12192
109,128,12288
110,130,12480
111,131,12576
112,132,12672
113,133,12768
114,134,12864
115,135,12960
116,136,13056
117,137,13152
118,139,13344
119,140,13440
120,141,13536
121,142,13632
122,144,13824
123,145,13920
124,146,14016
125,147,14112
126,148,14208
127,150,14400
128,152,14592
129,153,14688
130,154,14784
131,155,14880
132,156,14976
133,157,15072
134,158,15168
135,159,15264
136,160,15360
137,161,15456
138,162,15552
139,163,15648
140,165,15840
141,166,15936
142,168,16128
143,169,16224
144,170,16320
145,171,16416
146,172,16512
147,174,16704
148,176,16896
149,177,16992
150,178,17088
151,180,17280
152,181,17376
153,183,17568
154,184,17664
155,185,17760
156,187,17952
157,188,18048
158,189,18144
159,190,18240
160,191,18336
161,192,18432
162,193,18528
163,194,18624
164,195,18720
165,196,18816
166,197,18912
167,198,19008
168,199,19104
169,200,19200
170,202,19392
171,203,19488
172,204,19584
173,205,19680
174,206,19776
175,207,19872
176,208,19968
177,210,20160
178,211,20256
179,212,20352
180,213,20448
181,214,20544
182,215,20640
183,218,20928
184,220,21120
185,221,21216
186,222,21312
187,223,21408
188,224,21504
189,225,21600
190,226,21696
191,227,21792
192,228,21888
193,229,21984
194,230,22080
195,231,22176
196,232,22272
197,235,22560
198,236,22656
199,237,22752
200,238,22848
201,239,22944
202,240,23040
203,241,23136
204,243,23328
205,246,23616
206,247,23712
207,248,23808
208,249,23904
209,250,24000
210,252,24192
211,253,24288
212,254,24384
213,256,24576
214,257,24672
215,258,24768
216,259,24864
217,260,24960
218,261,25056
219,262,25152
220,263,25248
221,264,25344
222,265,25440
223,266,25536
224,267,25632
225,269,25824
226,270,25920
227,272,26112
228,273,26208
229,274,26304
230,275,26400
231,276,26496
232,278,26688
233,280,26880
234,281,26976
235,283,27168
236,286,27456
237,288,27648
238,290,27840
239,292,28032
240,294,28224
241,295,28320
242,297,28512
243,298,28608
244,300,28800
245,302,28992
246,303,29088
247,304,29184
248,305,29280
249,306,29376
250,307,29472
251,309,29664
252,310,29760
253,312,29952
254,313,30048
255,314,30144
256,315,30240
257,316,30336
258,317,30432
259,320,30720
260,321,30816
261,322,30912
262,323,31008
263,324,31104
264,325,31200
265,326,31296
266,327,31392
267,328,31488
268,331,31776
269,332,31872
270,333,31968
271,334,32064
272,335,32160
273,336,32256
274,337,32352
275,338,32448
276,339,32544
277,340,32640
278,343,32928
279,344,33024
280,345,33120
281,346,33216
282,347,33312
283,348,33408
284,349,33504
285,351,33696
286,352,33792
287,353,33888
288,354,33984
289,355,34080
290,356,34176
291,357,34272
292,358,34368
293,359,34464
294,360,34560
295,361,34656
296,362,34752
297,363,34848
298,364,34944
