candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar
0,0.225,0.0,0.0,3.0186917696247164,0.0
1,0.225,0.0,0.25,3.0186917696247164,0.0
2,0.225,0.0,0.5,3.0186917696247164,0.0
3,0.225,0.0,0.75,3.0186917696247164,0.0
4,0.225,0.0,1.0,3.0186917696247164,0.0
5,0.225,0.1875,0.0,3.0186917696247164,0.375
6,0.225,0.1875,0.25,3.0186917696247164,0.375
7,0.225,0.1875,0.5,3.0186917696247164,0.375
8,0.225,0.1875,0.75,3.0186917696247164,0.375
9,0.225,0.1875,1.0,3.0186917696247164,0.375
10,0.225,0.375,0.0,3.0186917696247164,0.75
11,0.225,0.375,0.25,3.0186917696247164,0.75
12,0.225,0.375,0.5,3.0186917696247164,0.75
13,0.225,0.375,0.75,3.0186917696247164,0.75
14,0.225,0.375,1.0,3.0186917696247164,0.75
15,0.225,0.5625,0.0,3.0186917696247164,1.125
16,0.225,0.5625,0.25,3.0186917696247164,1.125
17,0.225,0.5625,0.5,3.0186917696247164,1.125
18,0.225,0.5625,0.75,3.0186917696247164,1.125
19,0.225,0.5625,1.0,3.0186917696247164,1.125
20,0.225,0.75,0.0,3.0186917696247164,1.5
21,0.225,0.75,0.25,3.0186917696247164,1.5
22,0.225,0.75,0.5,3.0186917696247164,1.5
23,0.225,0.75,0.75,3.0186917696247164,1.5
24,0.225,0.75,1.0,3.0186917696247164,1.5
25,0.225,0.9375,0.0,3.0186917696247164,1.875
26,0.225,0.9375,0.25,3.0186917696247164,1.875
27,0.225,0.9375,0.5,3.0186917696247164,1.875
28,0.225,0.9375,0.75,3.0186917696247164,1.875
29,0.225,0.9375,1.0,3.0186917696247164,1.875
30,0.225,1.125,0.0,3.0186917696247164,2.25
31,0.225,1.125,0.25,3.0186917696247164,2.25
32,0.225,1.125,0.5,3.0186917696247164,2.25
33,0.225,1.125,0.75,3.0186917696247164,2.25
34,0.225,1.125,1.0,3.0186917696247164,2.25
35,0.225,1.3125,0.0,3.0186917696247164,2.625
36,0.225,1.3125,0.25,3.0186917696247164,2.625
37,0.225,1.3125,0.5,3.0186917696247164,2.625
38,0.225,1.3125,0.75,3.0186917696247164,2.625
39,0.225,1.3125,1.0,3.0186917696247164,2.625
40,0.225,1.5,0.0,3.0186917696247164,3.0
41,0.225,1.5,0.25,3.0186917696247164,3.0
42,0.225,1.5,0.5,3.0186917696247164,3.0
43,0.225,1.5,0.75,3.0186917696247164,3.0
44,0.225,1.5,1.0,3.0186917696247164,3.0
45,0.3,0.0,0.0,4.024922359499621,0.0
46,0.3,0.0,0.25,4.024922359499621,0.0
47,0.3,0.0,0.5,4.024922359499621,0.0
48,0.3,0.0,0.75,4.024922359499621,0.0
49,0.3,0.0,1.0,4.024922359499621,0.0
50,0.3,0.1875,0.0,4.024922359499621,0.375
51,0.3,0.1875,0.25,4.024922359499621,0.375
52,0.3,0.1875,0.5,4.024922359499621,0.375
53,0.3,0.1875,0.75,4.024922359499621,0.375
54,0.3,0.1875,1.0,4.024922359499621,0.375
55,0.3,0.375,0.0,4.024922359499621,0.75
56,0.3,0.375,0.25,4.024922359499621,0.75
57,0.3,0.375,0.5,4.024922359499621,0.75
58,0.3,0.375,0.75,4.024922359499621,0.75
59,0.3,0.375,1.0,4.024922359499621,0.75
60,0.3,0.5625,0.0,4.024922359499621,1.125
61,0.3,0.5625,0.25,4.024922359499621,1.125
62,0.3,0.5625,0.5,4.024922359499621,1.125
63,0.3,0.5625,0.75,4.024922359499621,1.125
64,0.3,0.5625,1.0,4.024922359499621,1.125
65,0.3,0.75,0.0,4.024922359499621,1.5
66,0.3,0.75,0.25,4.024922359499621,1.5
67,0.3,0.75,0.5,4.024922359499621,1.5
68,0.3,0.75,0.75,4.024922359499621,1.5
69,0.3,0.75,1.0,4.024922359499621,1.5
70,0.3,0.9375,0.0,4.024922359499621,1.875
71,0.3,0.9375,0.25,4.024922359499621,1.875
72,0.3,0.9375,0.5,4.024922359499621,1.875
73,0.3,0.9375,0.75,4.024922359499621,1.875
74,0.3,0.9375,1.0,4.024922359499621,1.875
75,0.3,1.125,0.0,4.024922359499621,2.25
76,0.3,1.125,0.25,4.024922359499621,2.25
77,0.3,1.125,0.5,4.024922359499621,2.25
78,0.3,1.125,0.75,4.024922359499621,2.25
79,0.3,1.125,1.0,4.024922359499621,2.25
80,0.3,1.3125,0.0,4.024922359499621,2.625
81,0.3,1.3125,0.25,4.024922359499621,2.625
82,0.3,1.3125,0.5,4.024922359499621,2.625
83,0.3,1.3125,0.75,4.024922359499621,2.625
84,0.3,1.3125,1.0,4.024922359499621,2.625
85,0.3,1.5,0.0,4.024922359499621,3.0
86,0.3,1.5,0.25,4.024922359499621,3.0
87,0.3,1.5,0.5,4.024922359499621,3.0
88,0.3,1.5,0.75,4.024922359499621,3.0
89,0.3,1.5,1.0,4.024922359499621,3.0
90,0.45,0.0,0.0,6.037383539249433,0.0
91,0.45,0.0,0.25,6.037383539249433,0.0
92,0.45,0.0,0.5,6.037383539249433,0.0
93,0.45,0.0,0.75,6.037383539249433,0.0
94,0.45,0.0,1.0,6.037383539249433,0.0
95,0.45,0.1875,0.0,6.037383539249433,0.375
96,0.45,0.1875,0.25,6.037383539249433,0.375
97,0.45,0.1875,0.5,6.037383539249433,0.375
98,0.45,0.1875,0.75,6.037383539249433,0.375
99,0.45,0.1875,1.0,6.037383539249433,0.375
100,0.45,0.375,0.0,6.037383539249433,0.75
101,0.45,0.375,0.25,6.037383539249433,0.75
102,0.45,0.375,0.5,6.037383539249433,0.75
103,0.45,0.375,0.75,6.037383539249433,0.75
104,0.45,0.375,1.0,6.037383539249433,0.75
105,0.45,0.5625,0.0,6.037383539249433,1.125
106,0.45,0.5625,0.25,6.037383539249433,1.125
107,0.45,0.5625,0.5,6.037383539249433,1.125
108,0.45,0.5625,0.75,6.037383539249433,1.125
109,0.45,0.5625,1.0,6.037383539249433,1.125
110,0.45,0.75,0.0,6.037383539249433,1.5
111,0.45,0.75,0.25,6.037383539249433,1.5
112,0.45,0.75,0.5,6.037383539249433,1.5
113,0.45,0.75,0.75,6.037383539249433,1.5
114,0.45,0.75,1.0,6.037383539249433,1.5
115,0.45,0.9375,0.0,6.037383539249433,1.875
116,0.45,0.9375,0.25,6.037383539249433,1.875
117,0.45,0.9375,0.5,6.037383539249433,1.875
118,0.45,0.9375,0.75,6.037383539249433,1.875
119,0.45,0.9375,1.0,6.037383539249433,1.875
120,0.45,1.125,0.0,6.037383539249433,2.25
121,0.45,1.125,0.25,6.037383539249433,2.25
122,0.45,1.125,0.5,6.037383539249433,2.25
123,0.45,1.125,0.75,6.037383539249433,2.25
124,0.45,1.125,1.0,6.037383539249433,2.25
125,0.45,1.3125,0.0,6.037383539249433,2.625
126,0.45,1.3125,0.25,6.037383539249433,2.625
127,0.45,1.3125,0.5,6.037383539249433,2.625
128,0.45,1.3125,0.75,6.037383539249433,2.625
129,0.45,1.3125,1.0,6.037383539249433,2.625
130,0.45,1.5,0.0,6.037383539249433,3.0
131,0.45,1.5,0.25,6.037383539249433,3.0
132,0.45,1.5,0.5,6.037383539249433,3.0
