candidate_id,scenario_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0
0,47,0.7,0.7,0.0,8256
0,63,0.7,0.7,0.0,11520
0,87,0.7,0.7,0.0,16128
0,100,0.7,0.7,0.0,18240
0,114,0.7,0.7,0.0,21888
0,123,0.7,0.7,0.0,23136
0,142,0.7,0.7,0.0,26688
0,143,0.7,0.7,0.0,26880
0,144,0.7,0.7,0.0,26976
0,153,0.7,0.7,0.0,27936
0,160,0.7,0.7,0.0,28608
0,173,0.7,0.7,0.0,30912
0,191,0.7,0.7,0.0,33792
0,196,0.7,0.7,0.0,34752
0,198,0.7,0.7,0.0,35136
2016,47,1.5,1.5,1.0,8256
2016,63,1.5,1.5,1.0,11520
2016,87,1.5,1.5,1.0,16128
2016,100,1.5,1.5,1.0,18240
2016,114,1.5,1.5,1.0,21888
2016,123,1.5,1.5,1.0,23136
2016,142,1.5,1.5,1.0,26688
2016,143,1.5,1.5,1.0,26880
2016,144,1.5,1.5,1.0,26976
2016,153,1.5,1.5,1.0,27936
2016,160,1.5,1.5,1.0,28608
2016,173,1.5,1.5,1.0,30912
2016,191,1.5,1.5,1.0,33792
2016,196,1.5,1.5,1.0,34752
2016,198,1.5,1.5,1.0,35136
