scenario_index,day_index,t0
0,2,192
1,4,384
2,6,576
3,7,672
4,10,960
5,13,1248
6,16,1536
7,17,1632
8,20,1920
9,22,2112
10,23,2208
11,25,2400
12,26,2496
13,29,2784
14,30,2880
15,31,2976
16,34,3264
17,37,3552
18,38,3648
19,39,3744
20,43,4128
21,44,4224
22,46,4416
23,49,4704
24,50,4800
25,51,4896
26,53,5088
27,54,5184
28,55,5280
29,56,5376
30,57,5472
31,59,5664
32,60,5760
33,62,5952
34,65,6240
35,66,6336
36,67,6432
37,68,6528
38,69,6624
39,70,6720
40,71,6816
41,74,7104
42,80,7680
43,81,7776
44,82,7872
45,84,8064
46,85,8160
47,86,8256
48,87,8352
49,93,8928
50,94,9024
51,95,9120
52,97,9312
53,98,9408
54,101,9696
55,102,9792
56,107,10272
57,109,10464
58,111,10656
59,114,10944
60,116,11136
61,117,11232
62,119,11424
63,120,11520
64,122,11712
65,123,11808
66,125,12000
67,126,12096
68,128,12288
69,129,12384
70,131,12576
71,133,12768
72,134,12864
73,136,13056
74,140,13440
75,141,13536
76,142,13632
77,143,13728
78,145,13920
79,148,14208
80,149,14304
81,151,14496
82,152,14592
83,154,14784
84,156,14976
85,157,15072
86,166,15936
87,168,16128
88,169,16224
89,171,16416
90,172,16512
91,173,16608
92,175,16800
93,176,16896
94,178,17088
95,179,17184
96,181,17376
97,183,17568
98,184,17664
99,187,17952
100,190,18240
101,192,18432
102,193,18528
103,197,18912
104,201,19296
105,205,19680
106,207,19872
107,210,20160
108,212,20352
109,213,20448
110,216,20736
111,219,21024
112,220,21120
113,226,21696
114,228,21888
115,230,22080
116,231,22176
117,232,22272
118,234,22464
119,235,22560
120,236,22656
121,239,22944
122,240,23040
123,241,23136
124,244,23424
125,245,23520
126,248,23808
127,251,24096
128,253,24288
129,254,24384
130,257,24672
131,259,24864
132,261,25056
133,266,25536
134,267,25632
135,268,25728
136,269,25824
137,271,26016
138,272,26112
139,273,26208
140,275,26400
141,276,26496
142,278,26688
143,280,26880
144,281,26976
145,282,27072
146,283,27168
147,284,27264
148,285,27360
149,287,27552
150,288,27648
151,289,27744
152,290,27840
153,291,27936
154,292,28032
155,293,28128
156,294,28224
157,295,28320
158,296,28416
159,297,28512
160,298,28608
161,299,28704
162,300,28800
163,302,28992
164,305,29280
165,306,29376
166,307,29472
167,308,29568
168,312,29952
169,315,30240
170,317,30432
171,319,30624
172,321,30816
173,322,30912
174,326,31296
175,329,31584
176,331,31776
177,332,31872
178,333,31968
179,335,32160
180,336,32256
181,337,32352
182,338,32448
183,339,32544
184,341,32736
185,342,32832
186,345,33120
187,347,33312
188,348,33408
189,349,33504
190,351,33696
191,352,33792
192,354,33984
193,355,34080
194,356,34176
195,361,34656
196,362,34752
197,364,34944
198,366,35136
199,367,35232
