job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,viol_rate,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax
0,0.699999988079071,1.5,0.8188822269439697,36550,0,0,0,0.0,0,0,0,0.07944634643552168,1.9067123144525202,0.9731838837352382,1.0342198510360725
1,1.3038537502288818,1.4834061861038208,0.3384901285171509,7129,0,0,0,0.0,0,0,0,0.08338951374541838,2.001348329890041,0.9753597933794192,1.0321135936843466
2,0.699999988079071,0.699999988079071,0.2238573879003524,27879,0,0,0,0.0,0,0,0,0.03570639367744904,0.8569534482587768,0.9517102307605664,1.0328812236298892
3,1.5,0.699999988079071,0.3765666782855987,24875,0,0,0,0.0,0,0,0,0.05539888965490991,1.3295733517178379,0.9618060798216033,1.0242875796911188
4,0.8523237705230713,0.8653703331947327,0.6764320135116577,33694,0,0,0,0.0,0,0,0,0.046444182988711634,1.1146603917290792,0.9619548877377307,1.0263470908824466
5,1.313156247138977,0.8196026086807251,0.7187964916229248,20077,0,0,0,0.0,0,0,0,0.057612738521439465,1.382705724514547,0.960323148485654,1.0282431108067398
6,0.699999988079071,0.699999988079071,0.0052198362536728,10187,0,0,0,0.0,0,0,0,0.034657682909121516,0.8317843898189163,0.950374552829701,1.0264280155276833
7,1.5,1.5,0.8140498399734497,7612,0,0,0,0.0,0,0,0,0.09663434423227683,2.319224261574644,0.9759397310154962,1.034596946679504
8,1.5,1.5,0.3382023572921753,8439,0,0,0,0.0,0,0,0,0.08979264120348011,2.1550233888835226,0.9726436080175116,1.0331255074170587
9,0.699999988079071,0.699999988079071,0.8169530630111694,27223,0,0,0,0.0,0,0,0,0.04134529130966341,0.9922869914319219,0.9559436557777721,1.038397621630852
10,1.5,0.699999988079071,0.3017617762088775,12264,0,0,0,0.0,0,0,0,0.054857500491789925,1.3165800118029582,0.9578157280811623,1.025363610762113
11,0.8253153562545776,1.3020572662353516,0.5114589929580688,9528,0,0,0,0.0,0,0,0,0.06339109835059256,1.5213863604142215,0.9630131580598553,1.0283769825287228
12,1.1568241119384766,0.8444221019744873,0.5373644828796387,23097,0,0,0,0.0,0,0,0,0.0508480349652753,1.2203528391666072,0.9599776435643909,1.0242476622291639
13,0.9395801424980164,1.2494738101959229,0.4434444904327392,12830,0,0,0,0.0,0,0,0,0.06140241802408297,1.4736580325779913,0.9654683582880164,1.0277037197939591
14,1.284906983375549,1.4435408115386963,0.6288928389549255,38350,0,0,0,0.0,0,0,0,0.08408704805915719,2.0180891534197727,0.9734749668677297,1.0321940882267113
15,1.3586996793746948,1.288910150527954,0.0041685127653181,13588,0,0,0,0.0,0,0,0,0.06860516403589,1.6465239368613598,0.9685020240352004,1.0266422681280896
16,1.5,1.5,0.5311562418937683,1450,0,0,0,0.0,0,0,0,0.09365527604200781,2.2477266250081875,0.9708433687988594,1.0338963527735232
17,1.5,1.5,0.6335293650627136,7606,0,0,0,0.0,0,0,0,0.09307537828575617,2.233809078858148,0.9755446991429064,1.0342282604674884
18,1.5,0.699999988079071,0.682287335395813,29151,0,0,0,0.0,0,0,0,0.05915995907839474,1.4198390178814737,0.9605409342142236,1.026472916758962
19,1.1379486322402954,0.7433916926383972,0.8768922686576843,2258,0,0,0,0.0,0,0,0,0.0524161460936404,1.2579875062473695,0.9568783966376354,1.0262243981745764
20,0.699999988079071,1.5,0.8887628316879272,32557,0,0,0,0.0,0,0,0,0.08239275176093265,1.9774260422623837,0.9735903398696446,1.0413863618572559
21,1.2355653047561646,0.8926628828048706,0.3783801198005676,13872,0,0,0,0.0,0,0,0,0.05322430056531836,1.2773832135676406,0.9635771675441528,1.0253108589591307
22,1.3208273649215698,1.05950129032135,0.9446436762809752,2300,0,0,0,0.0,0,0,0,0.06990703275115384,1.6777687860276922,0.9640674680001883,1.0272152666860779
23,0.9361901879310608,1.3579343557357788,0.4733466506004333,6769,0,0,0,0.0,0,0,0,0.06884752075706912,1.652340498169659,0.9713472811055033,1.0289132764045832
24,1.25623881816864,0.8283461928367615,0.7698331475257874,24687,0,0,0,0.0,0,0,0,0.05552214000304904,1.332531360073177,0.9637450528774986,1.024711368385525
25,0.699999988079071,1.5,0.5061813592910767,22383,0,0,0,0.0,0,0,0,0.07316448280668424,1.7559475873604216,0.9707312379816201,1.0330372137326782
26,0.699999988079071,0.699999988079071,0.0882851853966713,28126,0,0,0,0.0,0,0,0,0.035765752461149276,0.8583780590675827,0.9540097973518021,1.0295289252564281
27,1.5,0.699999988079071,0.3652216494083404,2341,0,0,0,0.0,0,0,0,0.05558466358941148,1.3340319261458755,0.9555887384475823,1.0229889595672648
28,1.5,0.699999988079071,0.8402572274208069,30889,0,0,0,0.0,0,0,0,0.06033287506876505,1.4479890016503612,0.9585034284114153,1.0262502577935146
29,1.5,0.699999988079071,0.1956590563058853,29235,0,0,0,0.0,0,0,0,0.053993859226356154,1.2958526214325476,0.9574486579469625,1.0234791096460758
30,1.5,0.699999988079071,0.6519262194633484,6850,0,0,0,0.0,0,0,0,0.0591886056255049,1.4205265350121177,0.9615295788472022,1.0262465520493713
31,0.8004111647605896,1.199245572090149,0.8317694067955017,12622,0,0,0,0.0,0,0,0,0.06334504935269329,1.520281184464639,0.9671917051773559,1.0355508681516035
32,1.0956321954727173,1.21010160446167,0.097451128065586,8627,0,0,0,0.0,0,0,0,0.05866555548827593,1.4079733317186223,0.9594523009310363,1.0252210401150745
33,1.042077660560608,0.8515164256095886,0.0265663713216781,14104,0,0,0,0.0,0,0,0,0.04278359984458493,1.0268063962700382,0.9564939233754948,1.0219980288881734
34,1.4328542947769165,1.0964370965957642,0.9994078874588012,29059,0,0,0,0.0,0,0,0,0.07599610724051363,1.823906573772327,0.969248686191839,1.0309909631684646
35,0.7963100671768188,1.1764261722564695,0.3812618255615234,23831,0,0,0,0.0,0,0,0,0.054745247958844445,1.3138859510122667,0.9660504363478702,1.0293716320477104
36,0.9881439208984376,1.2354657649993896,0.465257316827774,1477,0,0,0,0.0,0,0,0,0.06334084413444577,1.5201802592266984,0.9638326451353834,1.032021059744379
