method,seed,group_id,episodes
wg,42,0,75
wg,42,1,75
wg,42,2,75
wg,42,3,75
wg,42,4,75
wg,42,5,75
wg,42,6,75
wg,42,7,75
wg,43,0,75
wg,43,1,75
wg,43,2,75
wg,43,3,75
wg,43,4,75
wg,43,5,75
wg,43,6,75
wg,43,7,75
wg,44,0,75
wg,44,1,75
wg,44,2,75
wg,44,3,75
wg,44,4,75
wg,44,5,75
wg,44,6,75
wg,44,7,75
wg,45,0,75
wg,45,1,75
wg,45,2,75
wg,45,3,75
wg,45,4,75
wg,45,5,75
wg,45,6,75
wg,45,7,75
wg,46,0,75
wg,46,1,75
wg,46,2,75
wg,46,3,75
wg,46,4,75
wg,46,5,75
wg,46,6,75
wg,46,7,75
concat,42,0,75
concat,42,1,75
concat,42,2,75
concat,42,3,75
concat,42,4,75
concat,42,5,75
concat,42,6,75
concat,42,7,75
concat,43,0,75
concat,43,1,75
concat,43,2,75
concat,43,3,75
concat,43,4,75
concat,43,5,75
concat,43,6,75
concat,43,7,75
concat,44,0,75
concat,44,1,75
concat,44,2,75
concat,44,3,75
concat,44,4,75
concat,44,5,75
concat,44,6,75
concat,44,7,75
concat,45,0,75
concat,45,1,75
concat,45,2,75
concat,45,3,75
concat,45,4,75
concat,45,5,75
concat,45,6,75
concat,45,7,75
concat,46,0,75
concat,46,1,75
concat,46,2,75
concat,46,3,75
concat,46,4,75
concat,46,5,75
concat,46,6,75
concat,46,7,75
