method,seed,training_day_index,episodes
wg,42,1,12
wg,42,15,12
wg,42,38,12
wg,42,39,12
wg,42,49,12
wg,42,56,12
wg,42,57,12
wg,42,60,12
wg,42,72,12
wg,42,92,12
wg,42,107,12
wg,42,114,12
wg,42,119,12
wg,42,129,12
wg,42,138,12
wg,42,143,12
wg,42,151,12
wg,42,164,12
wg,42,167,12
wg,42,173,12
wg,42,179,12
wg,42,182,12
wg,42,186,12
wg,42,217,12
wg,42,219,12
wg,42,233,12
wg,42,242,12
wg,42,244,12
wg,42,245,12
wg,42,251,12
wg,42,255,12
wg,42,271,12
wg,42,277,12
wg,42,279,12
wg,42,282,12
wg,42,285,12
wg,42,287,12
wg,42,289,12
wg,42,293,12
wg,42,299,12
wg,42,301,12
wg,42,308,12
wg,42,311,12
wg,42,318,12
wg,42,319,12
wg,42,329,12
wg,42,330,12
wg,42,341,12
wg,42,342,12
wg,42,365,12
wg,43,1,12
wg,43,15,12
wg,43,38,12
wg,43,39,12
wg,43,49,12
wg,43,56,12
wg,43,57,12
wg,43,60,12
wg,43,72,12
wg,43,92,12
wg,43,107,12
wg,43,114,12
wg,43,119,12
wg,43,129,12
wg,43,138,12
wg,43,143,12
wg,43,151,12
wg,43,164,12
wg,43,167,12
wg,43,173,12
wg,43,179,12
wg,43,182,12
wg,43,186,12
wg,43,217,12
wg,43,219,12
wg,43,233,12
wg,43,242,12
wg,43,244,12
wg,43,245,12
wg,43,251,12
wg,43,255,12
wg,43,271,12
wg,43,277,12
wg,43,279,12
wg,43,282,12
wg,43,285,12
wg,43,287,12
wg,43,289,12
wg,43,293,12
wg,43,299,12
wg,43,301,12
wg,43,308,12
wg,43,311,12
wg,43,318,12
wg,43,319,12
wg,43,329,12
wg,43,330,12
wg,43,341,12
wg,43,342,12
wg,43,365,12
wg,44,1,12
wg,44,15,12
wg,44,38,12
wg,44,39,12
wg,44,49,12
wg,44,56,12
wg,44,57,12
wg,44,60,12
wg,44,72,12
wg,44,92,12
wg,44,107,12
wg,44,114,12
wg,44,119,12
wg,44,129,12
wg,44,138,12
wg,44,143,12
wg,44,151,12
wg,44,164,12
wg,44,167,12
wg,44,173,12
wg,44,179,12
wg,44,182,12
wg,44,186,12
wg,44,217,12
wg,44,219,12
wg,44,233,12
wg,44,242,12
wg,44,244,12
wg,44,245,12
wg,44,251,12
wg,44,255,12
wg,44,271,12
wg,44,277,12
wg,44,279,12
wg,44,282,12
wg,44,285,12
wg,44,287,12
wg,44,289,12
wg,44,293,12
wg,44,299,12
wg,44,301,12
wg,44,308,12
wg,44,311,12
wg,44,318,12
wg,44,319,12
wg,44,329,12
wg,44,330,12
wg,44,341,12
wg,44,342,12
wg,44,365,12
wg,45,1,12
wg,45,15,12
wg,45,38,12
wg,45,39,12
wg,45,49,12
wg,45,56,12
wg,45,57,12
wg,45,60,12
wg,45,72,12
wg,45,92,12
wg,45,107,12
wg,45,114,12
wg,45,119,12
wg,45,129,12
wg,45,138,12
wg,45,143,12
wg,45,151,12
wg,45,164,12
wg,45,167,12
wg,45,173,12
wg,45,179,12
wg,45,182,12
wg,45,186,12
wg,45,217,12
wg,45,219,12
wg,45,233,12
wg,45,242,12
wg,45,244,12
wg,45,245,12
wg,45,251,12
wg,45,255,12
wg,45,271,12
wg,45,277,12
wg,45,279,12
wg,45,282,12
wg,45,285,12
wg,45,287,12
wg,45,289,12
wg,45,293,12
wg,45,299,12
wg,45,301,12
wg,45,308,12
wg,45,311,12
wg,45,318,12
wg,45,319,12
wg,45,329,12
wg,45,330,12
wg,45,341,12
wg,45,342,12
wg,45,365,12
wg,46,1,12
wg,46,15,12
wg,46,38,12
wg,46,39,12
wg,46,49,12
wg,46,56,12
wg,46,57,12
wg,46,60,12
wg,46,72,12
wg,46,92,12
wg,46,107,12
wg,46,114,12
wg,46,119,12
wg,46,129,12
wg,46,138,12
wg,46,143,12
wg,46,151,12
wg,46,164,12
wg,46,167,12
wg,46,173,12
wg,46,179,12
wg,46,182,12
wg,46,186,12
wg,46,217,12
wg,46,219,12
wg,46,233,12
wg,46,242,12
wg,46,244,12
wg,46,245,12
wg,46,251,12
wg,46,255,12
wg,46,271,12
wg,46,277,12
wg,46,279,12
wg,46,282,12
wg,46,285,12
wg,46,287,12
wg,46,289,12
wg,46,293,12
wg,46,299,12
wg,46,301,12
wg,46,308,12
wg,46,311,12
wg,46,318,12
wg,46,319,12
wg,46,329,12
wg,46,330,12
wg,46,341,12
wg,46,342,12
wg,46,365,12
concat,42,1,12
concat,42,15,12
concat,42,38,12
concat,42,39,12
concat,42,49,12
concat,42,56,12
concat,42,57,12
concat,42,60,12
concat,42,72,12
concat,42,92,12
concat,42,107,12
concat,42,114,12
concat,42,119,12
concat,42,129,12
concat,42,138,12
concat,42,143,12
concat,42,151,12
concat,42,164,12
concat,42,167,12
concat,42,173,12
concat,42,179,12
concat,42,182,12
concat,42,186,12
concat,42,217,12
concat,42,219,12
concat,42,233,12
concat,42,242,12
concat,42,244,12
concat,42,245,12
concat,42,251,12
concat,42,255,12
concat,42,271,12
concat,42,277,12
concat,42,279,12
concat,42,282,12
concat,42,285,12
concat,42,287,12
concat,42,289,12
concat,42,293,12
concat,42,299,12
concat,42,301,12
concat,42,308,12
concat,42,311,12
concat,42,318,12
concat,42,319,12
concat,42,329,12
concat,42,330,12
concat,42,341,12
concat,42,342,12
concat,42,365,12
concat,43,1,12
concat,43,15,12
concat,43,38,12
concat,43,39,12
concat,43,49,12
concat,43,56,12
concat,43,57,12
concat,43,60,12
concat,43,72,12
concat,43,92,12
concat,43,107,12
concat,43,114,12
concat,43,119,12
concat,43,129,12
concat,43,138,12
concat,43,143,12
concat,43,151,12
concat,43,164,12
concat,43,167,12
concat,43,173,12
concat,43,179,12
concat,43,182,12
concat,43,186,12
concat,43,217,12
concat,43,219,12
concat,43,233,12
concat,43,242,12
concat,43,244,12
concat,43,245,12
concat,43,251,12
concat,43,255,12
concat,43,271,12
concat,43,277,12
concat,43,279,12
concat,43,282,12
concat,43,285,12
concat,43,287,12
concat,43,289,12
concat,43,293,12
concat,43,299,12
concat,43,301,12
concat,43,308,12
concat,43,311,12
concat,43,318,12
concat,43,319,12
concat,43,329,12
concat,43,330,12
concat,43,341,12
concat,43,342,12
concat,43,365,12
concat,44,1,12
concat,44,15,12
concat,44,38,12
concat,44,39,12
concat,44,49,12
concat,44,56,12
concat,44,57,12
concat,44,60,12
concat,44,72,12
concat,44,92,12
concat,44,107,12
concat,44,114,12
concat,44,119,12
concat,44,129,12
concat,44,138,12
concat,44,143,12
concat,44,151,12
concat,44,164,12
concat,44,167,12
concat,44,173,12
concat,44,179,12
concat,44,182,12
concat,44,186,12
concat,44,217,12
concat,44,219,12
concat,44,233,12
concat,44,242,12
concat,44,244,12
concat,44,245,12
concat,44,251,12
concat,44,255,12
concat,44,271,12
concat,44,277,12
concat,44,279,12
concat,44,282,12
concat,44,285,12
concat,44,287,12
concat,44,289,12
concat,44,293,12
concat,44,299,12
concat,44,301,12
concat,44,308,12
concat,44,311,12
concat,44,318,12
concat,44,319,12
concat,44,329,12
concat,44,330,12
concat,44,341,12
concat,44,342,12
concat,44,365,12
concat,45,1,12
concat,45,15,12
concat,45,38,12
concat,45,39,12
concat,45,49,12
concat,45,56,12
concat,45,57,12
concat,45,60,12
concat,45,72,12
concat,45,92,12
concat,45,107,12
concat,45,114,12
concat,45,119,12
concat,45,129,12
concat,45,138,12
concat,45,143,12
concat,45,151,12
concat,45,164,12
concat,45,167,12
concat,45,173,12
concat,45,179,12
concat,45,182,12
concat,45,186,12
concat,45,217,12
concat,45,219,12
concat,45,233,12
concat,45,242,12
concat,45,244,12
concat,45,245,12
concat,45,251,12
concat,45,255,12
concat,45,271,12
concat,45,277,12
concat,45,279,12
concat,45,282,12
concat,45,285,12
concat,45,287,12
concat,45,289,12
concat,45,293,12
concat,45,299,12
concat,45,301,12
concat,45,308,12
concat,45,311,12
concat,45,318,12
concat,45,319,12
concat,45,329,12
concat,45,330,12
concat,45,341,12
concat,45,342,12
concat,45,365,12
concat,46,1,12
concat,46,15,12
concat,46,38,12
concat,46,39,12
concat,46,49,12
concat,46,56,12
concat,46,57,12
concat,46,60,12
concat,46,72,12
concat,46,92,12
concat,46,107,12
concat,46,114,12
concat,46,119,12
concat,46,129,12
concat,46,138,12
concat,46,143,12
concat,46,151,12
concat,46,164,12
concat,46,167,12
concat,46,173,12
concat,46,179,12
concat,46,182,12
concat,46,186,12
concat,46,217,12
concat,46,219,12
concat,46,233,12
concat,46,242,12
concat,46,244,12
concat,46,245,12
concat,46,251,12
concat,46,255,12
concat,46,271,12
concat,46,277,12
concat,46,279,12
concat,46,282,12
concat,46,285,12
concat,46,287,12
concat,46,289,12
concat,46,293,12
concat,46,299,12
concat,46,301,12
concat,46,308,12
concat,46,311,12
concat,46,318,12
concat,46,319,12
concat,46,329,12
concat,46,330,12
concat,46,341,12
concat,46,342,12
concat,46,365,12
