method,execution,seed,candidate_id,matched_days,mean_learned_loss_mwh,mean_opf_loss_mwh,mean_loss_gap_mwh,median_loss_gap_mwh,bootstrap_95_ci_low_mwh,bootstrap_95_ci_high_mwh,mean_relative_loss_gap_percent,fraction_learned_below_local_opf,learned_event_days,opf_event_days,learned_pf_fail_days,opf_pf_fail_days
wg,raw,42,100,17,1.4912139098985964,1.4026422691020546,0.08857164079654185,0.05973696009400209,0.05710330011581938,0.12534482931976448,5.6289013712397,0.0,0,0,0,0
wg,raw,42,105,17,1.484753111157771,1.402292893432156,0.08246021772561506,0.056362839021360855,0.04614818854250635,0.12544931998133454,4.872489606840076,0.0,0,0,0,0
wg,raw,42,267,17,1.4476271083850112,1.364685951450021,0.08294115693498998,0.050244015427626465,0.04559079392026021,0.12851573113913478,4.884131053447758,0.0,0,0,0,0
wg,projected,42,100,17,1.4912139098985964,1.4026422691020546,0.08857164079654185,0.05973696009400209,0.0573980781583028,0.1258955735898967,5.6289013712397,0.0,0,0,0,0
wg,projected,42,105,17,1.484753111157771,1.402292893432156,0.08246021772561506,0.056362839021360855,0.04674617084507957,0.12601970182861577,4.872489606840076,0.0,0,0,0,0
wg,projected,42,267,17,1.4476271083850112,1.364685951450021,0.08294115693498998,0.050244015427626465,0.04490572045466178,0.12773709034590333,4.884131053447758,0.0,0,0,0,0
wg,raw,43,100,17,2.047781322624507,1.4026422691020546,0.6451390535224526,0.435262107043239,0.36947224492236513,0.9743109743735391,38.3563699113883,0.0,6,0,0,0
wg,raw,43,105,17,1.8936851320183674,1.402292893432156,0.4913922385862116,0.40392600266877077,0.3262483463179293,0.6775013884332594,30.981465383962608,0.0,0,0,0,0
wg,raw,43,267,17,1.834229744442265,1.364685951450021,0.469543792992244,0.4062309295452762,0.34283321636288616,0.6202325696147072,31.90498126092527,0.0,0,0,0,0
wg,projected,43,100,17,2.209023391218871,1.4026422691020546,0.8063811221168161,0.435262107043239,0.402111276289031,1.29149882566811,46.17544719241149,0.0,3,0,0,0
wg,projected,43,105,17,1.8936851320183674,1.402292893432156,0.4913922385862116,0.40392600266877077,0.33008886231045625,0.6812000141823251,30.981465383962608,0.0,0,0,0,0
wg,projected,43,267,17,1.834229744442265,1.364685951450021,0.469543792992244,0.4062309295452762,0.34158813440302277,0.6185034467779232,31.90498126092527,0.0,0,0,0,0
wg,raw,44,100,17,1.5212651098676402,1.4026422691020546,0.11862284076558585,0.11642684509736112,0.07406159373814782,0.16825577589997684,7.132058488418779,0.0,0,0,0,0
wg,raw,44,105,17,1.51233423670534,1.402292893432156,0.11004134327318406,0.11702008940433672,0.07154997987299194,0.15213101641348684,6.721995418337827,0.0,0,0,0,0
wg,raw,44,267,17,1.471458298968654,1.364685951450021,0.10677234751863292,0.11088605022049713,0.07086865313600828,0.14696361144469758,6.774691567959884,0.0,0,0,0,0
wg,projected,44,100,17,1.5212651098676402,1.4026422691020546,0.11862284076558585,0.11642684509736112,0.07493439089802197,0.16776133498625095,7.132058488418779,0.0,0,0,0,0
wg,projected,44,105,17,1.51233423670534,1.402292893432156,0.11004134327318406,0.11702008940433672,0.07174443719986291,0.1523475826596981,6.721995418337827,0.0,0,0,0,0
wg,projected,44,267,17,1.471458298968654,1.364685951450021,0.10677234751863292,0.11088605022049713,0.07093684978375885,0.14658636890912335,6.774691567959884,0.0,0,0,0,0
wg,raw,45,100,17,1.5371820149703594,1.4026422691020546,0.13453974586830508,0.10919137912881349,0.07804021250832222,0.20124181959995707,7.974865198539345,0.0,0,0,0,0
wg,raw,45,105,17,1.5365930649413975,1.402292893432156,0.13430017150924148,0.1117396656055154,0.078123914078131,0.20124584363703474,8.002870086921464,0.0,0,0,0,0
wg,raw,45,267,17,1.546479219216918,1.364685951450021,0.1817932677668971,0.16790434726082037,0.12738259695401216,0.24953827685805874,12.06949472833889,0.0,0,0,0,0
wg,projected,45,100,17,1.5371820149703594,1.4026422691020546,0.13453974586830508,0.10919137912881349,0.07929585881034834,0.2023024375040639,7.974865198539345,0.0,0,0,0,0
wg,projected,45,105,17,1.5365930649413975,1.402292893432156,0.13430017150924148,0.1117396656055154,0.0789303455128787,0.20349645177084463,8.002870086921464,0.0,0,0,0,0
wg,projected,45,267,17,1.546479219216918,1.364685951450021,0.1817932677668971,0.16790434726082037,0.12631044120884768,0.2488911106507417,12.06949472833889,0.0,0,0,0,0
wg,raw,46,100,17,1.5464781041238,1.4026422691020546,0.1438358350217457,0.1403855812206265,0.12101499658443396,0.17002622446146543,10.389399134465355,0.0,0,0,0,0
wg,raw,46,105,17,1.554491915552825,1.402292893432156,0.1521990221206688,0.1512602324489032,0.1270945281641035,0.18012888247519593,10.867903871518061,0.0,0,0,0,0
wg,raw,46,267,17,1.5864732490734577,1.364685951450021,0.2217872976234366,0.20941662233976222,0.18312884286460576,0.26498336846055387,16.06953747382484,0.0,0,0,0,0
wg,projected,46,100,17,1.5464781041238,1.4026422691020546,0.1438358350217457,0.1403855812206265,0.1215818009981327,0.1696921698296974,10.389399134465355,0.0,0,0,0,0
wg,projected,46,105,17,1.554491915552825,1.402292893432156,0.1521990221206688,0.1512602324489032,0.12735922658287088,0.18048499869236964,10.867903871518061,0.0,0,0,0,0
wg,projected,46,267,17,1.5864732490734577,1.364685951450021,0.2217872976234366,0.20941662233976222,0.1833972393892079,0.26463107176356204,16.06953747382484,0.0,0,0,0,0
concat,raw,42,100,17,1.4461114014935574,1.4026422691020546,0.04346913239150289,0.042989012588460884,0.027919982896896102,0.06121696882597828,2.6520961182428455,0.0,0,0,0,0
concat,raw,42,105,17,1.4419837742639825,1.402292893432156,0.03969088083182648,0.04013961829877899,0.02471842157176101,0.05702210441224415,2.404307150917763,0.0,0,0,0,0
concat,raw,42,267,17,1.4257033493978353,1.364685951450021,0.06101739794781437,0.058976415529551796,0.05365770450603325,0.06946355497480547,4.629791820111488,0.0,0,0,0,0
