variant,execution,seed,candidate_id,days,event_days,event_rate,pf_fail_days,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate
tail_worst_group,raw,42,100,17,0,0.0,0,0.0,1.4912139098985964,0.0
tail_worst_group,raw,42,105,17,0,0.0,0,0.0,1.484753111157771,0.0
tail_worst_group,raw,42,267,17,0,0.0,0,0.0,1.4476271083850112,0.0
tail_worst_group,projected,42,100,17,0,0.0,0,0.0,1.4912139098985964,0.0
tail_worst_group,projected,42,105,17,0,0.0,0,0.0,1.484753111157771,0.0
tail_worst_group,projected,42,267,17,0,0.0,0,0.0,1.4476271083850112,0.0
tail_uniform,raw,42,100,17,6,0.35294117647058826,0,0.0,1.884572690974043,0.0
tail_uniform,raw,42,105,17,0,0.0,0,0.0,1.506724527499579,0.0
tail_uniform,raw,42,267,17,0,0.0,0,0.0,1.5235990873391079,0.0
tail_uniform,projected,42,100,17,5,0.29411764705882354,0,0.0,2.246803722028702,0.18321078431372548
tail_uniform,projected,42,105,17,0,0.0,0,0.0,1.506724527499579,0.0
tail_uniform,projected,42,267,17,0,0.0,0,0.0,1.5235990873391079,0.0
mean_worst_group,raw,42,100,17,0,0.0,0,0.0,1.5231254948095976,0.0
mean_worst_group,raw,42,105,17,0,0.0,0,0.0,1.5274434115999203,0.0
mean_worst_group,raw,42,267,17,0,0.0,0,0.0,1.5860225192837805,0.0
mean_worst_group,projected,42,100,17,0,0.0,0,0.0,1.5231254948095976,0.0
mean_worst_group,projected,42,105,17,0,0.0,0,0.0,1.5274434115999203,0.0
mean_worst_group,projected,42,267,17,0,0.0,0,0.0,1.5860225192837805,0.0
mean_uniform,raw,42,100,17,3,0.17647058823529413,0,0.0,1.7761291687188854,0.0
mean_uniform,raw,42,105,17,0,0.0,0,0.0,1.537146438993115,0.0
mean_uniform,raw,42,267,17,0,0.0,0,0.0,1.549736259957297,0.0
mean_uniform,projected,42,100,17,1,0.058823529411764705,0,0.0,1.8206379064206293,0.0392156862745098
mean_uniform,projected,42,105,17,0,0.0,0,0.0,1.537146438993115,0.0
mean_uniform,projected,42,267,17,0,0.0,0,0.0,1.549736259957297,0.0
tail_worst_group,raw,43,100,17,6,0.35294117647058826,0,0.0,2.047781322624507,0.0
tail_worst_group,raw,43,105,17,0,0.0,0,0.0,1.8936851320183674,0.0
tail_worst_group,raw,43,267,17,0,0.0,0,0.0,1.834229744442265,0.0
tail_worst_group,projected,43,100,17,3,0.17647058823529413,0,0.0,2.209023391218871,0.11151960784313723
tail_worst_group,projected,43,105,17,0,0.0,0,0.0,1.8936851320183674,0.0
tail_worst_group,projected,43,267,17,0,0.0,0,0.0,1.834229744442265,0.0
tail_uniform,raw,43,100,17,0,0.0,0,0.0,1.635611498448183,0.0
tail_uniform,raw,43,105,17,0,0.0,0,0.0,1.6410945369444876,0.0
tail_uniform,raw,43,267,17,0,0.0,0,0.0,1.5730234028044776,0.0
tail_uniform,projected,43,100,17,0,0.0,0,0.0,1.635611498448183,0.0
tail_uniform,projected,43,105,17,0,0.0,0,0.0,1.6410945369444876,0.0
tail_uniform,projected,43,267,17,0,0.0,0,0.0,1.5730234028044776,0.0
mean_worst_group,raw,43,100,17,12,0.7058823529411765,0,0.0,2.5848647986589977,0.0
mean_worst_group,raw,43,105,17,3,0.17647058823529413,0,0.0,1.8319401734428942,0.0
mean_worst_group,raw,43,267,17,0,0.0,0,0.0,1.4981055257673008,0.0
mean_worst_group,projected,43,100,17,4,0.23529411764705882,0,0.0,2.828630134428481,0.3376225490196078
mean_worst_group,projected,43,105,17,3,0.17647058823529413,0,0.0,1.9499002939713932,0.09926470588235294
mean_worst_group,projected,43,267,17,0,0.0,0,0.0,1.4981055257673008,0.0
mean_uniform,raw,43,100,17,0,0.0,0,0.0,1.5084547685337224,0.0
mean_uniform,raw,43,105,17,0,0.0,0,0.0,1.5107845062695995,0.0
mean_uniform,raw,43,267,17,0,0.0,0,0.0,1.4816951161247078,0.0
mean_uniform,projected,43,100,17,0,0.0,0,0.0,1.5084547685337224,0.0
mean_uniform,projected,43,105,17,0,0.0,0,0.0,1.5107845062695995,0.0
mean_uniform,projected,43,267,17,0,0.0,0,0.0,1.4816951161247078,0.0
tail_worst_group,raw,44,100,17,0,0.0,0,0.0,1.5212651098676402,0.0
tail_worst_group,raw,44,105,17,0,0.0,0,0.0,1.51233423670534,0.0
tail_worst_group,raw,44,267,17,0,0.0,0,0.0,1.471458298968654,0.0
tail_worst_group,projected,44,100,17,0,0.0,0,0.0,1.5212651098676402,0.0
tail_worst_group,projected,44,105,17,0,0.0,0,0.0,1.51233423670534,0.0
tail_worst_group,projected,44,267,17,0,0.0,0,0.0,1.471458298968654,0.0
tail_uniform,raw,44,100,17,0,0.0,0,0.0,1.4820047952147115,0.0
tail_uniform,raw,44,105,17,0,0.0,0,0.0,1.490266631100399,0.0
tail_uniform,raw,44,267,17,0,0.0,0,0.0,1.4471819244816537,0.0
tail_uniform,projected,44,100,17,0,0.0,0,0.0,1.4820047952147115,0.0
tail_uniform,projected,44,105,17,0,0.0,0,0.0,1.490266631100399,0.0
tail_uniform,projected,44,267,17,0,0.0,0,0.0,1.4471819244816537,0.0
mean_worst_group,raw,44,100,17,0,0.0,0,0.0,1.5031286334526612,0.0
mean_worst_group,raw,44,105,17,0,0.0,0,0.0,1.5151541726670648,0.0
mean_worst_group,raw,44,267,17,0,0.0,0,0.0,1.475650350777436,0.0
mean_worst_group,projected,44,100,17,0,0.0,0,0.0,1.5031286334526612,0.0
mean_worst_group,projected,44,105,17,0,0.0,0,0.0,1.5151541726670648,0.0
mean_worst_group,projected,44,267,17,0,0.0,0,0.0,1.475650350777436,0.0
mean_uniform,raw,44,100,17,0,0.0,0,0.0,1.5514028243680604,0.0
mean_uniform,raw,44,105,17,0,0.0,0,0.0,1.5540790689275195,0.0
