level,candidate_id,days,mismatch_replicates,episodes,event_days,event_rate,cluster_bootstrap_95_low,cluster_bootstrap_95_high,mean_intervention_rate,projection_failure_steps,mean_daily_loss_mwh,worst_actual_vmin,actual_vmin_p01,actual_vmin_p05,worst_actual_vmax
none,100,17,1,17,0,0.0,,,0.0,0,1.4912139098985964,0.9522938045562828,0.952514849614696,0.953399029848349,1.0148985591811557
none,105,17,1,17,0,0.0,,,0.0,0,1.484753111157771,0.9536555118339456,0.9538697797130538,0.9547268512294864,1.014931695045702
none,267,17,1,17,0,0.0,,,0.0,0,1.4476271083850112,0.9562305253989852,0.9563856542214986,0.9570061695115518,1.018884420026322
mild,100,17,20,340,0,0.0,0.0,0.0,0.0,0,1.495409354482079,0.9504779322791468,0.9510432671346811,0.9527438294158955,1.0159530522883216
mild,105,17,20,340,0,0.0,0.0,0.0,0.0,0,1.48895049133464,0.9524167695134348,0.9527525473829112,0.9540164446809613,1.0160033107008752
mild,267,17,20,340,0,0.0,0.0,0.0,0.0,0,1.4520497484168038,0.954885723555578,0.9552693675008731,0.9564070083015833,1.0199289716487885
design,100,17,20,340,5,0.014705882352941176,0.0058823529411764705,0.026470588235294117,0.0,0,1.5004354676139078,0.9486146905439784,0.9497741194489002,0.9523119114481533,1.0170289671156911
design,105,17,20,340,0,0.0,0.0,0.0,0.0,0,1.4939631123112405,0.9509961260407044,0.9518196735514936,0.953927898772414,1.0170849024682873
design,267,17,20,340,0,0.0,0.0,0.0,0.0,0,1.4573473218966064,0.953338001099695,0.9542513150113568,0.956298946323885,1.020964627295088
moderate,100,17,20,340,18,0.052941176470588235,0.03529411764705882,0.07058823529411765,0.00352328431372549,5,1.5389357572001456,0.9435137097673028,0.9460649946034629,0.9502411287972006,1.0508695610461092
moderate,105,17,20,340,7,0.020588235294117647,0.008823529411764706,0.03529411764705882,9.191176470588235e-05,0,1.5134204400102103,0.9463745404003884,0.9487621964033831,0.9522592144436164,1.0222077684006825
moderate,267,17,20,340,2,0.0058823529411764705,0.0,0.014705882352941176,0.0,0,1.4775179645502503,0.948779248105116,0.9510102349248751,0.9543629965895073,1.0260524667375708
topology_a,100,17,1,17,2,0.11764705882352941,,,0.0,0,1.6382508981433106,0.9470082741013244,0.9473886797929245,0.9489103025593248,1.0264734832180198
topology_a,105,17,1,17,1,0.058823529411764705,,,0.0,0,1.628932548360819,0.9490932707415828,0.9493091654641375,0.9501727443543563,1.0265189883496864
topology_a,267,17,1,17,0,0.0,,,0.0,0,1.5823782498853634,0.9534683807609148,0.9536785466929563,0.9545192104211222,1.0339333692590804
topology_b,100,17,1,17,0,0.0,,,0.0,0,1.4349845095241434,0.9524630669468538,0.9526664636619118,0.9534800505221439,1.0123612200659422
topology_b,105,17,1,17,0,0.0,,,0.0,0,1.4276025725940378,0.953736756634218,0.9539531300096513,0.9548186235113846,1.0123682888413124
topology_b,267,17,1,17,0,0.0,,,0.0,0,1.39938501409621,0.9562948993783246,0.9564470283368093,0.9570555441707481,1.0156648730392777
design_topology_a,100,17,20,340,54,0.1588235294117647,0.1411764705882353,0.17941176470588233,0.0,0,1.6487717915331093,0.943024756944905,0.9443582846752396,0.947079751084363,1.029832120202997
design_topology_a,105,17,20,340,32,0.09411764705882353,0.07352941176470587,0.11470588235294117,0.0,0,1.6393812350843098,0.9455883805706304,0.9468392590938755,0.9491980591605579,1.0298877488660028
design_topology_a,267,17,20,340,1,0.0029411764705882353,0.0,0.008823529411764706,0.0,0,1.5935013507591513,0.9499852741536534,0.9511123417051448,0.9535739100002176,1.0372790858619685
