variant,execution,days,candidate_count,event_days,pf_fail_days,mean_daily_loss_mwh,mean_intervention_rate,episodes_csv
centre,raw,17,3,0,0,1.4745313764804595,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\centre_raw\episodes.csv
centre,projected,17,3,0,0,1.4745313764804595,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\centre_projected\episodes.csv
alpha080,raw,17,3,12,0,1.5353354291011745,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\alpha080_raw\episodes.csv
alpha080,projected,17,3,2,0,1.7407961709054578,0.11907679738562091,data\results\opsd_secondary_evaluations\training_sensitivity_final\alpha080_projected\episodes.csv
alpha095,raw,17,3,2,0,1.4294250042083825,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\alpha095_raw\episodes.csv
alpha095,projected,17,3,0,0,1.429971712442938,0.005514705882352939,data\results\opsd_secondary_evaluations\training_sensitivity_final\alpha095_projected\episodes.csv
window032,raw,17,3,0,0,1.464772106645875,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\window032_raw\episodes.csv
window032,projected,17,3,0,0,1.464772106645875,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\window032_projected\episodes.csv
window128,raw,17,3,0,0,1.4912860930131464,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\window128_raw\episodes.csv
window128,projected,17,3,0,0,1.4912860930131464,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\window128_projected\episodes.csv
target0025,raw,17,3,23,0,1.781897572392351,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\target0025_raw\episodes.csv
target0025,projected,17,3,6,0,2.19959388520113,0.2508169934640523,data\results\opsd_secondary_evaluations\training_sensitivity_final\target0025_projected\episodes.csv
target0100,raw,17,3,7,0,1.7188799059333029,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\target0100_raw\episodes.csv
target0100,projected,17,3,5,0,1.8847814922454158,0.07536764705882353,data\results\opsd_secondary_evaluations\training_sensitivity_final\target0100_projected\episodes.csv
svc_bidirectional_matched,raw,17,3,0,0,1.7730280433179366,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\svc_bidirectional_matched_raw\episodes.csv
svc_bidirectional_matched,projected,17,3,0,0,1.7730280433179366,0.0,data\results\opsd_secondary_evaluations\training_sensitivity_final\svc_bidirectional_matched_projected\episodes.csv
