candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_risk,over_risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,raw_vmin,raw_vmax,intervention_steps,intervention_rate,projection_failures,mean_correction_norm,max_correction_norm,power_flow_previews,projection_iterations,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,actor_total_seconds,actor_mean_ms,projection_total_seconds,projection_mean_ms,preview_total_seconds,optimiser_total_seconds,execution_total_seconds,execution_mean_ms,balance_audit_total_seconds,online_path_total_seconds,completed_steps,max_p_balance_residual_mw,max_q_balance_residual_mvar
100,0,0,0,0.45,0.375,0.0,0,0,0,0,0,0,0.9998135189249433,0.9704594467616211,1.0013413280498282,0.9704594467616211,1.0013413280498282,0,0.0,0,0.0,0.0,0,0,0,0,0.027889100027095992,0.29051145861558325,0.0,0.0,0.0,0.0,1.6367204000416677,17.049170833767374,0.10609769998700358,1.6646095000687637,96,9.893926371760953e-08,3.637504325526564e-08
100,1,9,864,0.45,0.375,0.0,0,0,0,0,0,0,4.400024398516539,0.9587421810854918,1.020815692586243,0.9587421810854918,1.020815692586243,0,0.0,0,0.0,0.0,0,0,0,0,0.026684100048441906,0.2779593755046032,0.0,0.0,0.0,0.0,1.608096200019645,16.75100208353797,0.10233719999814639,1.634780300068087,96,9.256022604625658e-08,9.926005545279892e-08
100,2,41,3936,0.45,0.375,0.0,0,0,0,0,0,0,1.7997440441448593,0.9631224485327151,1.0008568394747706,0.9631224485327151,1.0008568394747706,0,0.0,0,0.0,0.0,0,0,0,0,0.02838459998019971,0.29567291646041366,0.0,0.0,0.0,0.0,1.7683570999870426,18.42038645819836,0.11195040000166046,1.7967416999672423,96,9.63546023524664e-08,8.311352814316386e-08
100,3,51,4896,0.45,0.375,0.0,0,0,0,0,0,0,3.4647190797224434,0.9596325354858066,1.016712588708376,0.9596325354858066,1.016712588708376,0,0.0,0,0.0,0.0,0,0,0,0,0.025315799939562567,0.2637062493704434,0.0,0.0,0.0,0.0,1.5442789000589983,16.086238542281233,0.0977243999732309,1.5695946999985608,96,8.899393617779088e-08,9.934702574487808e-08
100,4,71,6816,0.45,0.375,0.0,0,0,0,0,0,0,1.992623580866974,0.9608062473169343,1.0144841192560048,0.9608062473169343,1.0144841192560048,0,0.0,0,0.0,0.0,0,0,0,0,0.026629999971191864,0.2773958330332486,0.0,0.0,0.0,0.0,1.5740566999884322,16.396423958212836,0.10003929999948014,1.600686699959624,96,9.694383528574546e-08,9.753001059542576e-08
100,5,120,11520,0.45,0.375,0.0,0,0,0,0,0,0,0.9400955941056826,0.9705914245747803,1.0099266317359519,0.9705914245747803,1.0099266317359519,0,0.0,0,0.0,0.0,0,0,0,0,0.02484669999103062,0.2588197915732356,0.0,0.0,0.0,0.0,1.5730195999858552,16.385620833185992,0.10204599999997299,1.5978662999768858,96,9.981202336644887e-08,4.7094478386466854e-08
100,6,149,14304,0.45,0.375,0.0,0,0,0,0,0,0,1.539157645497473,0.9643107250828042,1.00907491604735,0.9643107250828042,1.00907491604735,0,0.0,0,0.0,0.0,0,0,0,0,0.02743910000572214,0.28582395839293895,0.0,0.0,0.0,0.0,1.6240316998810158,16.91699687376058,0.10486860005767085,1.651470799886738,96,9.89918069130985e-08,7.495039963667516e-08
100,7,175,16800,0.45,0.375,0.0,0,0,0,0,0,0,0.9087218794602706,0.9711633396453445,1.0067695890302804,0.9711633396453445,1.0067695890302804,0,0.0,0,0.0,0.0,0,0,0,0,0.025662099978944752,0.26731354144734115,0.0,0.0,0.0,0.0,1.5691305000218563,16.34510937522767,0.10104769997269614,1.594792600000801,96,9.497549378900683e-08,4.13564504170294e-08
100,8,201,19296,0.45,0.375,0.0,0,0,0,0,0,0,1.389313785680106,0.9661263608906322,1.0212706008135695,0.9661263608906322,1.0212706008135695,0,0.0,0,0.0,0.0,0,0,0,0,0.02859890001855092,0.2979052085265721,0.0,0.0,0.0,0.0,1.6681356000117376,17.376412500122267,0.10778729998855852,1.6967345000302885,96,9.940330368725381e-08,7.326268085250387e-08
100,9,209,20064,0.45,0.375,0.0,0,0,0,0,0,0,0.952562854364344,0.9720571053113557,1.0195563716360083,0.9720571053113557,1.0195563716360083,0,0.0,0,0.0,0.0,0,0,0,0,0.025650799965660553,0.26719583297563076,0.0,0.0,0.0,0.0,1.6033164999680594,16.701213541333953,0.10136280000733677,1.62896729993372,96,9.498562860733861e-08,6.023380846181814e-08
