candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,scenario_index,day_index,t0
100,0.45,0.375,0.0,0,2,192
100,0.45,0.375,0.0,1,3,288
100,0.45,0.375,0.0,2,4,384
100,0.45,0.375,0.0,3,5,480
100,0.45,0.375,0.0,4,6,576
100,0.45,0.375,0.0,5,7,672
100,0.45,0.375,0.0,6,8,768
100,0.45,0.375,0.0,7,10,960
100,0.45,0.375,0.0,8,11,1056
100,0.45,0.375,0.0,9,12,1152
100,0.45,0.375,0.0,10,13,1248
100,0.45,0.375,0.0,11,14,1344
100,0.45,0.375,0.0,12,16,1536
100,0.45,0.375,0.0,13,17,1632
100,0.45,0.375,0.0,14,18,1728
100,0.45,0.375,0.0,15,19,1824
100,0.45,0.375,0.0,16,20,1920
100,0.45,0.375,0.0,17,21,2016
100,0.45,0.375,0.0,18,22,2112
100,0.45,0.375,0.0,19,23,2208
100,0.45,0.375,0.0,20,24,2304
100,0.45,0.375,0.0,21,25,2400
100,0.45,0.375,0.0,22,26,2496
100,0.45,0.375,0.0,23,27,2592
100,0.45,0.375,0.0,24,28,2688
100,0.45,0.375,0.0,25,29,2784
100,0.45,0.375,0.0,26,30,2880
100,0.45,0.375,0.0,27,31,2976
100,0.45,0.375,0.0,28,32,3072
100,0.45,0.375,0.0,29,33,3168
100,0.45,0.375,0.0,30,34,3264
100,0.45,0.375,0.0,31,35,3360
100,0.45,0.375,0.0,32,36,3456
100,0.45,0.375,0.0,33,37,3552
100,0.45,0.375,0.0,34,40,3840
100,0.45,0.375,0.0,35,42,4032
100,0.45,0.375,0.0,36,43,4128
100,0.45,0.375,0.0,37,44,4224
100,0.45,0.375,0.0,38,45,4320
100,0.45,0.375,0.0,39,46,4416
100,0.45,0.375,0.0,40,47,4512
100,0.45,0.375,0.0,41,48,4608
100,0.45,0.375,0.0,42,50,4800
100,0.45,0.375,0.0,43,52,4992
100,0.45,0.375,0.0,44,53,5088
100,0.45,0.375,0.0,45,54,5184
100,0.45,0.375,0.0,46,55,5280
100,0.45,0.375,0.0,47,58,5568
100,0.45,0.375,0.0,48,59,5664
100,0.45,0.375,0.0,49,61,5856
100,0.45,0.375,0.0,50,62,5952
100,0.45,0.375,0.0,51,63,6048
100,0.45,0.375,0.0,52,64,6144
100,0.45,0.375,0.0,53,65,6240
100,0.45,0.375,0.0,54,66,6336
100,0.45,0.375,0.0,55,67,6432
100,0.45,0.375,0.0,56,68,6528
100,0.45,0.375,0.0,57,69,6624
100,0.45,0.375,0.0,58,70,6720
100,0.45,0.375,0.0,59,73,7008
100,0.45,0.375,0.0,60,74,7104
100,0.45,0.375,0.0,61,75,7200
100,0.45,0.375,0.0,62,76,7296
100,0.45,0.375,0.0,63,77,7392
100,0.45,0.375,0.0,64,78,7488
100,0.45,0.375,0.0,65,79,7584
100,0.45,0.375,0.0,66,80,7680
100,0.45,0.375,0.0,67,81,7776
100,0.45,0.375,0.0,68,82,7872
100,0.45,0.375,0.0,69,83,7968
100,0.45,0.375,0.0,70,84,8064
100,0.45,0.375,0.0,71,85,8160
100,0.45,0.375,0.0,72,86,8256
100,0.45,0.375,0.0,73,87,8352
100,0.45,0.375,0.0,74,88,8448
100,0.45,0.375,0.0,75,89,8544
100,0.45,0.375,0.0,76,90,8640
100,0.45,0.375,0.0,77,91,8736
100,0.45,0.375,0.0,78,93,8928
100,0.45,0.375,0.0,79,94,9024
100,0.45,0.375,0.0,80,95,9120
100,0.45,0.375,0.0,81,96,9216
100,0.45,0.375,0.0,82,97,9312
100,0.45,0.375,0.0,83,98,9408
100,0.45,0.375,0.0,84,99,9504
100,0.45,0.375,0.0,85,100,9600
100,0.45,0.375,0.0,86,101,9696
100,0.45,0.375,0.0,87,102,9792
100,0.45,0.375,0.0,88,103,9888
100,0.45,0.375,0.0,89,104,9984
100,0.45,0.375,0.0,90,105,10080
100,0.45,0.375,0.0,91,106,10176
100,0.45,0.375,0.0,92,108,10368
100,0.45,0.375,0.0,93,109,10464
100,0.45,0.375,0.0,94,110,10560
100,0.45,0.375,0.0,95,111,10656
100,0.45,0.375,0.0,96,112,10752
100,0.45,0.375,0.0,97,113,10848
100,0.45,0.375,0.0,98,115,11040
100,0.45,0.375,0.0,99,116,11136
100,0.45,0.375,0.0,100,117,11232
100,0.45,0.375,0.0,101,118,11328
100,0.45,0.375,0.0,102,121,11616
100,0.45,0.375,0.0,103,122,11712
100,0.45,0.375,0.0,104,123,11808
100,0.45,0.375,0.0,105,124,11904
100,0.45,0.375,0.0,106,125,12000
100,0.45,0.375,0.0,107,126,12096
100,0.45,0.375,0.0,108,127,12192
100,0.45,0.375,0.0,109,128,12288
100,0.45,0.375,0.0,110,130,12480
100,0.45,0.375,0.0,111,131,12576
100,0.45,0.375,0.0,112,132,12672
100,0.45,0.375,0.0,113,133,12768
100,0.45,0.375,0.0,114,134,12864
100,0.45,0.375,0.0,115,135,12960
100,0.45,0.375,0.0,116,136,13056
100,0.45,0.375,0.0,117,137,13152
100,0.45,0.375,0.0,118,139,13344
100,0.45,0.375,0.0,119,140,13440
100,0.45,0.375,0.0,120,141,13536
100,0.45,0.375,0.0,121,142,13632
100,0.45,0.375,0.0,122,144,13824
100,0.45,0.375,0.0,123,145,13920
100,0.45,0.375,0.0,124,146,14016
100,0.45,0.375,0.0,125,147,14112
100,0.45,0.375,0.0,126,148,14208
100,0.45,0.375,0.0,127,150,14400
100,0.45,0.375,0.0,128,152,14592
100,0.45,0.375,0.0,129,153,14688
100,0.45,0.375,0.0,130,154,14784
100,0.45,0.375,0.0,131,155,14880
100,0.45,0.375,0.0,132,156,14976
100,0.45,0.375,0.0,133,157,15072
100,0.45,0.375,0.0,134,158,15168
100,0.45,0.375,0.0,135,159,15264
100,0.45,0.375,0.0,136,160,15360
100,0.45,0.375,0.0,137,161,15456
100,0.45,0.375,0.0,138,162,15552
100,0.45,0.375,0.0,139,163,15648
100,0.45,0.375,0.0,140,165,15840
100,0.45,0.375,0.0,141,166,15936
100,0.45,0.375,0.0,142,168,16128
100,0.45,0.375,0.0,143,169,16224
100,0.45,0.375,0.0,144,170,16320
100,0.45,0.375,0.0,145,171,16416
100,0.45,0.375,0.0,146,172,16512
100,0.45,0.375,0.0,147,174,16704
100,0.45,0.375,0.0,148,176,16896
100,0.45,0.375,0.0,149,177,16992
100,0.45,0.375,0.0,150,178,17088
100,0.45,0.375,0.0,151,180,17280
100,0.45,0.375,0.0,152,181,17376
100,0.45,0.375,0.0,153,183,17568
100,0.45,0.375,0.0,154,184,17664
100,0.45,0.375,0.0,155,185,17760
100,0.45,0.375,0.0,156,187,17952
100,0.45,0.375,0.0,157,188,18048
100,0.45,0.375,0.0,158,189,18144
100,0.45,0.375,0.0,159,190,18240
100,0.45,0.375,0.0,160,191,18336
100,0.45,0.375,0.0,161,192,18432
100,0.45,0.375,0.0,162,193,18528
100,0.45,0.375,0.0,163,194,18624
100,0.45,0.375,0.0,164,195,18720
100,0.45,0.375,0.0,165,196,18816
100,0.45,0.375,0.0,166,197,18912
100,0.45,0.375,0.0,167,198,19008
100,0.45,0.375,0.0,168,199,19104
100,0.45,0.375,0.0,169,200,19200
100,0.45,0.375,0.0,170,202,19392
100,0.45,0.375,0.0,171,203,19488
100,0.45,0.375,0.0,172,204,19584
100,0.45,0.375,0.0,173,205,19680
100,0.45,0.375,0.0,174,206,19776
100,0.45,0.375,0.0,175,207,19872
100,0.45,0.375,0.0,176,208,19968
100,0.45,0.375,0.0,177,210,20160
100,0.45,0.375,0.0,178,211,20256
100,0.45,0.375,0.0,179,212,20352
100,0.45,0.375,0.0,180,213,20448
100,0.45,0.375,0.0,181,214,20544
100,0.45,0.375,0.0,182,215,20640
100,0.45,0.375,0.0,183,218,20928
100,0.45,0.375,0.0,184,220,21120
100,0.45,0.375,0.0,185,221,21216
100,0.45,0.375,0.0,186,222,21312
100,0.45,0.375,0.0,187,223,21408
100,0.45,0.375,0.0,188,224,21504
100,0.45,0.375,0.0,189,225,21600
100,0.45,0.375,0.0,190,226,21696
100,0.45,0.375,0.0,191,227,21792
