method,execution,seed,jobs,completed_steps,risk,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar,actor_mean_ms,actor_median_ms,actor_p95_ms,actor_p99_ms,actor_max_ms,projection_mean_ms,projection_median_ms,projection_p95_ms,projection_p99_ms,projection_max_ms,ac_execution_mean_ms,ac_execution_median_ms,ac_execution_p95_ms,ac_execution_p99_ms,ac_execution_max_ms,online_total_mean_ms,online_total_median_ms,online_total_p95_ms,online_total_p99_ms,online_total_max_ms
concat,projected,42,598,57408,0.0,1.5336728957529986,0.0009928929765886288,0,57,66,57738,123,254,0.9504999999451418,1.0368458334370207,9.999646452020505e-08,9.999981100128341e-08,0.21080360052057104,0.19270000484539196,0.31039999885251746,0.35468599460728006,1.43680000473978,5.367608599855632,4.372499999590218,8.7028999987524,9.219286001753062,112.51000000629574,12.354298453207422,10.304849998647114,19.491004996962136,20.684236998858978,45.32660000404576,17.932710653583626,15.253699999448145,27.94063500004994,29.90267198685615,124.64890001137974
concat,raw,42,598,57408,0.010033444816053512,1.5334829351385342,0.0,0,0,0,0,0,0,0.9486192172350544,1.0368458334370207,9.999646452020505e-08,9.999981100128341e-08,0.2317491238082739,0.22009999520378187,0.33629999961704016,0.37149999843677506,1.6834999987622723,0.0,0.0,0.0,0.0,0.0,14.07891617892651,13.66395000150078,20.360264999544597,20.925171998896985,28.289700007007923,14.310665302734785,13.890400001400849,20.67120000210707,21.244588001427474,28.591800000867806
concat,projected,43,598,57408,0.0016722408026755853,1.5214166099378126,0.0014980490523968785,10,86,151,58163,161,332,0.9472538447415321,1.0346346954990993,9.998388971789451e-08,9.997429065156105e-08,0.20821071453000398,0.1875000016298145,0.30819999665254727,0.3536000003805384,1.5347000007750466,5.3253678703387894,4.347900001448579,8.711100002983585,9.183771993775736,117.46259999927133,12.16360669941902,10.222600001725368,19.41916000032506,20.641572000386077,29.273099993588403,17.697185284287816,15.05590000670054,27.78686499077594,29.93015800595458,128.14359999174485
concat,raw,43,598,57408,0.011705685618729096,1.5198662295166798,0.0,0,0,0,0,0,0,0.9487285375093644,1.0346346954990993,9.998388971789451e-08,9.997429065156105e-08,0.2091459744329107,0.1903000011225231,0.30870000045979396,0.35249299973656895,2.9020000001764856,0.0,0.0,0.0,0.0,0.0,12.291294715016646,10.312999995221617,19.465964997652918,20.709710996379727,35.567699997045565,12.500440689449556,10.510049996810267,19.753544999912258,21.00768600095762,35.73649999452755
concat,projected,44,598,57408,0.0,1.52779420650505,0.002125139353400223,0,122,163,58223,242,442,0.950499999972053,1.0344680163978415,9.997043594854593e-08,9.999305661256841e-08,0.2027658200894131,0.1823999991756864,0.2998999989358708,0.3455000036774436,1.2732999966829084,5.184435998459524,4.29920000169659,8.448699998552911,9.092472003321745,105.49959999480052,11.824189882953043,10.053549998701783,18.898229999103933,20.30859299695294,40.49599999416387,17.21139170150198,14.788349999435013,26.973664998149605,29.453132004855433,125.08259998867288
concat,raw,44,598,57408,0.021739130434782608,1.5274660081939033,0.0,0,0,0,0,0,0,0.9481170966899194,1.0344680163978415,9.997043594854593e-08,9.999305661256841e-08,0.20668611690148703,0.1871999993454665,0.30419999529840425,0.35120000393362716,1.326999998127576,0.0,0.0,0.0,0.0,0.0,12.228354011645752,10.309050001524156,19.255765000343672,20.610486002769903,30.736000000615604,12.43504012854724,10.503149998839945,19.5490600021003,20.915093001167406,31.103000001166947
concat,projected,45,598,57408,0.0,1.5187597049597323,0.0011148272017837237,0,64,77,57793,138,308,0.9505000001331366,1.031641685227648,9.9982278393973e-08,9.999599674334614e-08,0.2486195356127564,0.23829999554436654,0.3510000024107285,0.38559999666176736,0.7737999985693023,6.801675108009915,7.290850000572391,9.651065000798553,9.968293000711128,132.70059999922523,15.551018793552656,16.517550000571646,21.78072999631695,22.379472005413845,24.408000004768837,22.601313437175325,23.76199999343953,31.571064997842768,32.449365007996676,153.51730000111274
concat,raw,45,598,57408,0.011705685618729096,1.5186002200528428,0.0,0,0,0,0,0,0,0.9486748244316368,1.031641685227648,9.9982278393973e-08,9.999599674334614e-08,0.20110861550210402,0.1810000030673109,0.29779999749735,0.34559999767225236,1.2962000037077814,0.0,0.0,0.0,0.0,0.0,11.903283211435289,10.181700003158767,18.725840003753525,20.40499299611838,23.25379999820143,12.104391826937391,10.370749994763173,18.99870500274118,20.69987199996831,23.419699995429255
concat,projected,46,598,57408,0.01839464882943144,1.5330449058068982,0.006567028985507246,103,377,1016,62488,451,613,0.947227606425086,1.0337089736038818,9.993545804255766e-08,9.999850843211977e-08,0.27623209308146307,0.2806999982567504,0.36610000097425655,0.40549300261773175,1.2055999977746978,8.242227022359998,7.769600000756327,9.915400002864772,10.436385999782942,156.2049999993178,17.39798543930805,17.86800000263611,22.226929996031686,22.95896500145318,24.885799997719005,25.916444554749507,25.91250000114087,32.24336500170466,33.631608006107854,178.8105999949039
concat,raw,46,598,57408,0.016722408026755852,1.5183226420709763,0.0,0,0,0,0,0,0,0.9345871022124993,1.0288718284077547,9.993545804255766e-08,9.999850843211977e-08,0.2381024247360446,0.22670000180369243,0.34359999699518085,0.3799929981323658,0.7763999965391122,0.0,0.0,0.0,0.0,0.0,14.828916482005301,15.611099996021949,21.519599999010097,22.174850997616886,24.955600005341694,15.067018906741342,15.844899997318862,21.838095003840863,22.508030002572923,25.335500002256595
