method,execution,seed,candidate_id,days,events,risk_hat,risk_upper_95,pf_fail_days,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar
concat,projected,42,100,299,0,0.0,0.009969146792899267,0,1.542385132716886,0.0014283723522853947,0,41,48,28944,92,182,0.9505000062924948,1.0345344584707827,9.994343135207029e-08,9.999515493408496e-08
concat,projected,42,101,299,0,0.0,0.009969146792899267,0,1.5249606587891114,0.0005574136008918613,0,16,18,28794,31,72,0.9504999999451418,1.0368458334370207,9.999646452020505e-08,9.999981100128341e-08
concat,raw,42,100,299,5,0.016722408026755852,0.03483729698331087,0,1.5420838015750156,0.0,0,0,0,0,0,0,0.9486192172350544,1.0345344584707827,9.994343135207029e-08,9.999515493408496e-08
concat,raw,42,101,299,1,0.0033444816053511705,0.015766783127611383,0,1.5248820687020532,0.0,0,0,0,0,0,0,0.949317578915894,1.0368458334370207,9.999646452020505e-08,9.999981100128341e-08
concat,projected,43,100,299,1,0.0033444816053511705,0.015766783127611383,0,1.5333129595458872,0.0024735228539576356,10,71,136,29384,130,254,0.947253844741532,1.032999302513908,9.9973446118784e-08,9.98322320297507e-08
concat,projected,43,101,299,0,0.0,0.009969146792899267,0,1.5095202603297377,0.0005225752508361197,0,15,15,28779,31,78,0.9505001409879996,1.0346346954990993,9.998388971789453e-08,9.997429065156105e-08
concat,raw,43,100,299,6,0.020066889632107024,0.03922051340630801,0,1.5302630480012724,0.0,0,0,0,0,0,0,0.9487285375093644,1.032999302513908,9.9973446118784e-08,9.98322320297507e-08
concat,raw,43,101,299,1,0.0033444816053511705,0.015766783127611383,0,1.5094694110320872,0.0,0,0,0,0,0,0,0.949578013380572,1.0346346954990993,9.998388971789453e-08,9.997429065156105e-08
concat,projected,44,100,299,0,0.0,0.009969146792899267,0,1.5416603710468668,0.0029960981047937553,0,86,113,29269,164,296,0.950499999972053,1.0321359525349965,9.994203611397857e-08,9.995315616850853e-08
concat,projected,44,101,299,0,0.0,0.009969146792899267,0,1.5139280419632337,0.0012541806020066881,0,36,50,28954,78,146,0.9505000000314564,1.0344680163978417,9.997043594854593e-08,9.999305661256841e-08
concat,raw,44,100,299,8,0.026755852842809364,0.0477575443005795,0,1.5411816706205692,0.0,0,0,0,0,0,0,0.9481170966899194,1.0321359525349965,9.994203611397857e-08,9.995315616850853e-08
concat,raw,44,101,299,5,0.016722408026755852,0.03483729698331087,0,1.5137503457672379,0.0,0,0,0,0,0,0,0.9487261021425484,1.0344680163978417,9.997043594854593e-08,9.999305661256841e-08
concat,projected,45,100,299,0,0.0,0.009969146792899267,0,1.5265201910918231,0.0017070791527313254,0,49,62,29014,109,235,0.9505000001331366,1.03012631425447,9.9982278393973e-08,9.999599674334615e-08
concat,projected,45,101,299,0,0.0,0.009969146792899267,0,1.5109992188276415,0.0005225752508361197,0,15,15,28779,29,73,0.9505001489788848,1.031641685227648,9.998172656976169e-08,9.999500179269649e-08
