method,execution,seed,candidate_id,days,events,risk_hat,risk_upper_95,pf_fail_days,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar
wg,raw,42,105,299,0,0.0,0.009969146792899267,0,1.5859188283401617,0.0,0,0,0,0,0,0,0.9521235025564224,1.0249908451287235,9.996895282936292e-08,9.997197916722379e-08
wg,projected,42,105,299,0,0.0,0.009969146792899267,0,1.5859188283401617,0.0,0,0,0,28704,0,0,0.9521235025564224,1.0249908451287235,9.996895282936292e-08,9.997197916722379e-08
wg,raw,43,105,299,0,0.0,0.009969146792899267,0,2.0398578787130615,0.0,0,0,0,0,0,0,0.9597969606008756,1.039545582982745,9.997876878817259e-08,9.994163774340593e-08
wg,projected,43,105,299,0,0.0,0.009969146792899267,0,2.0398578787130615,0.0,0,0,0,28704,0,0,0.9597969606008756,1.039545582982745,9.997876878817259e-08,9.994163774340593e-08
wg,raw,44,105,299,0,0.0,0.009969146792899267,0,1.6159969511185235,0.0,0,0,0,0,0,0,0.952579340728442,1.0237713694289186,9.999322455982175e-08,9.996226598210645e-08
wg,projected,44,105,299,0,0.0,0.009969146792899267,0,1.6159969511185235,0.0,0,0,0,28704,0,0,0.952579340728442,1.0237713694289186,9.999322455982175e-08,9.996226598210645e-08
wg,raw,45,105,299,0,0.0,0.009969146792899267,0,1.6460081997849796,0.0,0,0,0,0,0,0,0.9530640912134704,1.029205425158778,9.994601638495249e-08,9.999741597266355e-08
wg,projected,45,105,299,0,0.0,0.009969146792899267,0,1.6460081997849796,0.0,0,0,0,28704,0,0,0.9530640912134704,1.029205425158778,9.994601638495249e-08,9.999741597266355e-08
wg,raw,46,105,299,0,0.0,0.009969146792899267,0,1.6515074694243221,0.0,0,0,0,0,0,0,0.953591018866753,1.0402744577120158,9.999948297374772e-08,9.99826367531487e-08
wg,projected,46,105,299,0,0.0,0.009969146792899267,0,1.6515074694243221,0.0,0,0,0,28704,0,0,0.953591018866753,1.0402744577120158,9.999948297374772e-08,9.99826367531487e-08
concat,raw,42,105,299,0,0.0,0.009969146792899267,0,1.5369130937044204,0.0,0,0,0,0,0,0,0.950043644814896,1.0344175182629507,9.996481831545113e-08,9.999715167019475e-08
concat,projected,42,105,299,0,0.0,0.009969146792899267,0,1.536920552640325,0.0001741917502787067,0,5,5,28729,21,63,0.9505001266208648,1.0344175182629507,9.996481831545113e-08,9.999715167019475e-08
concat,raw,43,105,299,0,0.0,0.009969146792899267,0,1.5272499948641558,0.0,0,0,0,0,0,0,0.9508674271329878,1.032753209797729,9.999450619954665e-08,9.997347061307948e-08
concat,projected,43,105,299,0,0.0,0.009969146792899267,0,1.5272499948641558,0.0,0,0,0,28704,3,11,0.9508674271329878,1.032753209797729,9.999450619954665e-08,9.997347061307948e-08
concat,raw,44,105,299,0,0.0,0.009969146792899267,0,1.5408067615317644,0.0,0,0,0,0,0,0,0.950982728085372,1.031955853798403,9.999897748400045e-08,9.99561633463486e-08
concat,projected,44,105,299,0,0.0,0.009969146792899267,0,1.5408067615317644,0.0,0,0,0,28704,1,4,0.950982728085372,1.031955853798403,9.999897748400045e-08,9.99561633463486e-08
concat,raw,45,105,299,0,0.0,0.009969146792899267,0,1.5268615240486454,0.0,0,0,0,0,0,0,0.9508383413701166,1.030215336174536,9.999912575081593e-08,9.998507646824528e-08
concat,projected,45,105,299,0,0.0,0.009969146792899267,0,1.5268615240486454,0.0,0,0,0,28704,1,12,0.9508383413701166,1.030215336174536,9.999912575081593e-08,9.998507646824528e-08
concat,raw,46,105,299,0,0.0,0.009969146792899267,0,1.525118514719929,0.0,0,0,0,0,0,0,0.9501200728329164,1.0272542014096344,9.994481801195445e-08,9.997610322942665e-08
concat,projected,46,105,299,0,0.0,0.009969146792899267,0,1.5251252866128548,0.0001741917502787067,0,5,5,28729,16,37,0.9505000528640174,1.0272542014096344,9.994481801195445e-08,9.997610322942665e-08
