method,seed,execution,episodes_csv
wg,42,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\wg_seed42_projected\episodes.csv
wg,43,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\wg_seed43_projected\episodes.csv
wg,44,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\wg_seed44_projected\episodes.csv
wg,45,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\wg_seed45_projected\episodes.csv
wg,46,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\wg_seed46_projected\episodes.csv
concat,42,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\concat_seed42_projected\episodes.csv
concat,43,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\concat_seed43_projected\episodes.csv
concat,44,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\concat_seed44_projected\episodes.csv
concat,45,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\concat_seed45_projected\episodes.csv
concat,46,projected,data\results\opsd_supported_escalation\selection_evaluations_frozen_v2\concat_seed46_projected\episodes.csv
