kind,env,seed,gamma,episodes,scores_last10_mean,scores_first10_mean,violation_sum_s_last10_mean,violation_sum_s_first10_mean,violation_sum_M_s_last10_mean,violation_sum_M_s_first10_mean,violation_sum_N_s_last10_mean,violation_sum_N_s_first10_mean,grid_loss_sum_s_last10_mean,grid_loss_sum_s_first10_mean,scorest_last10_mean,scorest_first10_mean,violation_sum_st_last10_mean,violation_sum_st_first10_mean,violation_sum_M_st_last10_mean,violation_sum_M_st_first10_mean,violation_sum_N_st_last10_mean,violation_sum_N_st_first10_mean,grid_loss_sum_st_last10_mean,grid_loss_sum_st_first10_mean
train,33,555,0.9,300,-3.0128635951706584,-45.64150818829012,0.1,65.4,0.00013576142032472,2.2457237340896907,0.0,13.705379415822815,-3.012727833750334,-29.690405038377605,,,,,,,,,,
traintest,33,555,0.9,300,,,,,,,,,,,-2.896046581329727,-45.43679076971593,0.0,66.1,0.0,2.2678211376244954,0.0,13.548319110166437,-2.896046581329727,-29.620650521925008
train,33,777,0.9,300,-3.0075781956316665,-46.554571030286425,0.3,63.8,0.0013332035157931801,2.3516040472665343,0.0,14.845051054750808,-3.0062449921158736,-29.35791592826908,,,,,,,,,,
traintest,33,777,0.9,300,,,,,,,,,,,-2.891544108211709,-46.41565044724516,0.0,64.0,0.0,2.346421445393784,0.0,14.76187177296973,-2.891544108211709,-29.307357228881653
train,33,999,0.9,300,-2.986856159341053,-46.02806941003864,0.5,67.1,0.00104206932813537,2.1933165374096486,0.0,14.382125185071754,-2.985814090012918,-29.452627687557236,,,,,,,,,,
traintest,33,999,0.9,300,,,,,,,,,,,-2.8708646214482254,-45.987543464648084,0.0,66.6,0.0,2.161877413757286,0.0,14.404422982494006,-2.8708646214482254,-29.421243068396798
train,69,555,0.9,300,-3.1756198717006923,-26.548138937841365,0.3,27.5,0.0,0.47434701643927746,0.00013511444946251615,1.7161676700586388,-3.1754847572512297,-24.35762425134345,,,,,,,,,,
traintest,69,555,0.9,300,,,,,,,,,,,-3.096793295833047,-26.55017327805602,0.1,27.0,0.0,0.4804024044572441,3.54360632075e-05,1.711505973871423,-3.096757859769839,-24.358264899727352
train,69,777,0.9,300,-3.00839785178683,-26.29775917308378,0.0,29.5,0.0,0.35182894843011037,0.0,1.862690984559082,-3.00839785178683,-24.083239240094592,,,,,,,,,,
traintest,69,777,0.9,300,,,,,,,,,,,-2.9200254276457995,-26.285653043788564,0.0,29.5,0.0,0.35431021237111543,0.0,1.8616469780471678,-2.9200254276457995,-24.069695853370284
train,69,999,0.9,300,-3.01086723367287,-26.018996660033263,0.1,25.7,0.0,0.46215351788342973,9.283277972749001e-05,1.635747803847647,-3.0107744008931427,-23.921095338302184,,,,,,,,,,
traintest,69,999,0.9,300,,,,,,,,,,,-2.9245283866711884,-25.97840296310938,0.0,25.8,0.0,0.4597165181312125,0.0,1.6266249525648107,-2.9245283866711884,-23.892061492413358
train,118,555,0.9,300,-15.001701376145729,-80.31563955379862,0.5,63.8,0.0,0.04353960631193846,0.00287456217190739,19.15008823081211,-14.998826813973817,-61.12201171667456,,,,,,,,,,
traintest,118,555,0.9,300,,,,,,,,,,,-14.850333890843961,-80.3067493746797,0.3,63.4,0.0,0.04274317511713208,0.0024383373911086,19.169151705501612,-14.847895553452853,-61.094854494060954
train,118,777,0.9,300,-16.53166961960456,-81.71909017245243,0.7,66.5,0.0,0.04704623268228826,0.00502915416834242,19.317905746674725,-16.52664046543622,-62.35413819309541,,,,,,,,,,
traintest,118,777,0.9,300,,,,,,,,,,,-16.3721633576047,-81.67011437476823,0.5,66.5,0.0,0.04047708015446889,0.00052116962759143,19.322076708993215,-16.37164218797711,-62.30756058562055
train,118,999,0.9,300,-14.97671332049428,-79.78589466270816,0.6,65.8,0.0,0.0567495476397043,0.00294604190949323,18.449041641281866,-14.973767278584788,-61.28010347378658,,,,,,,,,,
traintest,118,999,0.9,300,,,,,,,,,,,-14.81794753847691,-79.88746731814712,0.6,65.8,0.0,0.055577744027817545,0.0017412062582804534,18.509105154893938,-14.816206332218627,-61.322784419225364
