scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s
-190.80633285432683,20.0,-10.621008075085104,0.0
-288.11686478949406,26.0,-8.793824748851844,0.0
-53.25305143442328,8.0,-8.112180890024058,0.0
-597.3197004561273,33.0,-10.854931631195011,0.0
-523.0622938740021,31.0,-11.157934163146013,0.0
-115.09420314872797,14.0,-6.679842824360857,0.0
-144.69555881827608,16.0,-7.567153142858121,0.0
-77.01651919697171,16.0,-6.211051557130922,0.0
-141.89027296357494,20.0,-9.404532986091827,0.0
-389.69503886195866,24.0,-9.941351513368916,0.0
-266.84806487447554,26.0,-8.717085207085951,0.0
-650.8544187421458,43.0,-16.143374473498678,0.0
-153.86925934714463,15.0,-6.647261608356339,0.0
-247.98712552642337,22.0,-7.72238100194332,0.0
-46.54064621308382,10.0,-7.547183833932379,0.0
-293.3639969106085,28.0,-9.74710634252623,0.0
-158.59890401878351,24.0,-8.543106496396021,0.0
-559.0531619069251,40.0,-15.137006453457232,0.0
-221.51778032196876,23.0,-11.048900809614395,0.0
-99.43208880370544,8.0,-5.690059771364981,0.0
-172.48103767527485,15.0,-8.069136354832354,0.0
-111.79080479303856,13.0,-6.758242011814319,0.0
-615.9016972624096,30.0,-10.61133256137585,0.0
-68.92930091429092,11.0,-5.534447095938071,0.0
-117.93101874076797,16.0,-8.148507472746894,0.0
-333.0817830649256,20.0,-7.889594159994949,0.0
-48.99072612959799,9.0,-5.861586003487852,0.0
-181.34120170053484,21.0,-9.627825963731878,0.0
-76.5676532709517,14.0,-9.294174168266213,0.0
-181.81972051757197,22.0,-7.352406080621874,0.0
-57.29997027380639,9.0,-7.465378555206063,0.0
-191.83944832237134,19.0,-9.951480019024132,0.0
-539.4497410810612,27.0,-13.583727865880846,0.0
-47.969792854857715,7.0,-5.4013566685335395,0.0
-146.05074765043284,18.0,-10.647560410383013,0.0
-753.822230126366,46.0,-11.91334230216507,0.0
-76.87732024818582,14.0,-6.800874672891475,0.0
-59.34073546408719,10.0,-6.6218345444833275,0.0
-582.984286021802,26.0,-10.756394326844228,0.0
-316.7190372929721,25.0,-10.656789128450235,0.0
-125.20745947187363,15.0,-7.173666922273134,0.0
-330.38535097929565,27.0,-9.582801243296107,0.0
-231.9701363949842,21.0,-8.749211414886062,0.0
-23.559125488268624,4.0,-7.106044426513655,0.0
-196.78759286437463,22.0,-8.779198132928821,0.0
-150.4999286374639,15.0,-6.950899840514967,0.0
-43.48918928571216,8.0,-7.426900532239277,0.0
-58.73631345312831,10.0,-8.065865861411737,0.0
-57.59854360753226,9.0,-4.826166209813756,0.0
-35.27037584259264,7.0,-7.181041068928894,0.0
-53.2214453057277,11.0,-7.931599920634186,0.0
-105.99276141917801,15.0,-8.09969568236403,0.0
-178.31848243165066,25.0,-8.807177476934784,0.0
-404.6355530192481,30.0,-9.773760305451088,0.0
-29.707854256970837,7.0,-7.972660646047704,0.0
-233.70192487885902,25.0,-8.893037945003297,0.0
-137.94525257942792,18.0,-8.81486903826918,0.0
-167.872604423446,16.0,-8.080554979777515,0.0
-188.63878777451725,17.0,-8.487534798656501,0.0
-237.15530970444001,19.0,-12.144368223451277,0.0
-276.69616348712754,30.0,-12.07327381317669,0.0
-298.4254523927939,28.0,-8.903347559300727,0.0
-157.48171135475565,22.0,-7.017588411849597,0.0
-266.3618075336382,27.0,-13.186904263274602,0.0
-100.92856058695246,14.0,-7.487162682933042,0.0
-50.745471439910595,8.0,-8.07384368738083,0.0
-94.32071786017495,13.0,-6.125790254445478,0.0
-70.6318952035383,11.0,-8.145540565038317,0.0
-56.35497330223038,8.0,-6.423200219919504,0.0
-428.81897093799046,30.0,-11.234662570193601,0.0
-30.997084506749413,5.0,-4.951301413095343,0.0
-38.43507469860032,9.0,-7.523412835756551,0.0
-30.097587068737578,5.0,-5.3635237899313,0.0
-36.063724704057584,7.0,-6.455479193988244,0.0
-148.22947326991803,23.0,-8.03958536886443,0.0
-61.497596951415915,10.0,-5.826261331375833,0.0
-114.18002499571304,18.0,-8.37151282507316,0.0
-77.16110994096897,18.0,-9.367148636475887,0.0
-128.8443941436462,20.0,-8.277254993530242,0.0
-392.482542712728,29.0,-12.589079282890436,0.0
-12.841220174538723,5.0,-5.778902205609482,0.0
-138.05234838264676,19.0,-9.306916706688906,0.0
-230.50832891111625,24.0,-10.370720863619807,0.0
-145.60505077702325,24.0,-9.931161125670076,0.0
-158.34436854303215,19.0,-9.985473585550475,0.0
-195.8309523356949,24.0,-9.737964262172754,0.0
-34.963559878888304,10.0,-6.654580769862536,0.0
-88.53460089874764,13.0,-6.626672969721258,0.0
-13.247043381450029,2.0,-4.434419713221259,0.0
-47.05424628118086,9.0,-6.770218064059324,0.0
-116.54970902620637,16.0,-10.143447372594883,0.0
-185.04592356672808,14.0,-7.846181992918563,0.0
-138.68228445414346,20.0,-9.464168314065954,0.0
-150.52758220069774,16.0,-7.28817252251502,0.0
-117.94559034952569,15.0,-5.9204681723768955,0.0
-88.82421954010869,16.0,-8.284002788235368,0.0
-51.282413844151755,6.0,-8.216715917073543,0.0
-51.52174710915691,15.0,-9.444089298749807,0.0
-67.54669767093185,15.0,-9.393094951030458,0.0
-45.05300573124792,6.0,-5.43511763299954,0.0
-42.959223736563885,9.0,-7.800278324774838,0.0
-15.79747542453151,4.0,-5.4977483401611815,0.0
-160.4953204530956,20.0,-10.677101858990305,0.0
-69.26178695382458,6.0,-5.552111008019136,0.0
-133.2743372185636,15.0,-10.7960174095703,0.0
-28.024909045453686,7.0,-6.675337835604904,0.0
-26.47314867940798,5.0,-6.28054513016312,0.0
-25.482550731051752,7.0,-5.521127284952223,0.0
-65.18880921195074,16.0,-7.480779348173527,0.0
-197.72443644806603,23.0,-10.167981786020956,0.0
