scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-42.965527674065065,6.0,-7.37665688826432,0.0
-16.948418873902842,5.0,-3.8262855480165228,0.0
-22.179310492795164,5.0,-6.2823660495127855,0.0
-47.70956524682485,8.0,-4.724924482559102,0.0
-25.475653025419952,5.0,-4.262804434833348,0.0
-14.649726406452546,5.0,-4.056540153686555,0.0
-27.48991025460526,5.0,-4.362866922640194,0.0
-12.10045372737428,5.0,-3.868139738364053,0.0
-30.16857079338192,6.0,-5.864415323094201,0.0
-24.120099406423233,6.0,-5.045797132818637,0.0
-15.955248852238915,5.0,-3.8578573115374324,0.0
-78.46063667420233,11.0,-8.904093284715131,0.0
-20.12774995497969,5.0,-3.813371466908827,0.0
-21.180690181737887,5.0,-3.762417410376639,0.0
-14.583916638090074,3.0,-6.037557390276365,0.0
-33.434214443680766,6.0,-4.606896512561465,0.0
-33.83720387513815,6.0,-4.850293665304909,0.0
-76.72819036938809,10.0,-8.625946889089604,0.0
-27.789690890608227,6.0,-6.582028397343968,0.0
-9.40253048826299,3.0,-3.3419964145337975,0.0
-29.945698773516618,6.0,-4.606598980719215,0.0
-7.3842747677436,4.0,-4.113730644889522,0.0
-12.527371323141995,3.0,-4.173968346260652,0.0
-6.2858910428787675,2.0,-3.922015688449132,0.0
-15.00340899555178,3.0,-5.4987151982679325,0.0
-7.8723067124243595,3.0,-3.9707262354874637,0.0
-8.038342744056573,2.0,-3.5675676922525303,0.0
-10.626266424200958,4.0,-5.451248076902188,0.0
-14.870963011406944,4.0,-6.412205095453762,0.0
-9.080348170881669,3.0,-3.516634014659658,0.0
-10.065716259813067,4.0,-4.533937830783171,0.0
-11.661211791296777,3.0,-5.662804342713464,0.0
-23.63047575001025,5.0,-6.908175687633972,0.0
-4.627274055857468,1.0,-3.6137860076899253,0.0
-14.677492744031534,1.0,-6.52775914927894,0.0
-15.304495840623522,6.0,-4.835871809352145,0.0
-9.83182637091051,2.0,-3.603300252647791,0.0
-6.29704321301544,2.0,-3.958865096362596,0.0
-9.543137853423687,2.0,-5.257626431914234,0.0
-7.448454688664094,1.0,-5.71200651622453,0.0
-9.301995856137651,2.0,-3.5990498540431624,0.0
-9.915156629562702,3.0,-4.167156542156715,0.0
-14.819290523568249,5.0,-4.087548046424127,0.0
-11.156635726532095,3.0,-5.455967524034452,0.0
-16.812577733729036,4.0,-5.342139361480407,0.0
-5.719271121968926,3.0,-3.849433699478031,0.0
-9.130746827246314,2.0,-5.7407050678062745,0.0
-9.03649969697588,2.0,-6.144175610633024,0.0
-3.3443352773950887,0.0,-3.3443352773950887,0.0
-8.91305361437831,2.0,-5.238632580058148,0.0
-12.032591241810882,4.0,-6.167557470927536,0.0
-11.087912359520281,3.0,-5.0813069094947,0.0
-7.393984873958235,3.0,-5.119347006509265,0.0
-24.257123337691876,4.0,-5.00724441954284,0.0
-13.537388719774613,3.0,-6.214932501339132,0.0
-7.6321317742897525,3.0,-4.52969884096516,0.0
-11.904566735349958,3.0,-6.096496260898672,0.0
-5.114925716960028,1.0,-4.77308465602303,0.0
-15.7272196847986,3.0,-4.887027322110507,0.0
-7.890013277735061,1.0,-7.2528020474652095,0.0
-20.484451735819025,3.0,-7.388452490435405,0.0
-20.030727184127603,4.0,-5.290375895335575,0.0
-7.839466640005091,3.0,-3.7878776688407814,0.0
-16.978795184672244,3.0,-8.473647970427821,0.0
-9.229871062138919,2.0,-4.465543117793423,0.0
-9.875577722717944,2.0,-6.433271891905241,0.0
-5.365604325165528,2.0,-3.981529031152586,0.0
-7.99932996608649,2.0,-6.025263852196474,0.0
-9.770457499155212,4.0,-4.699397808013224,0.0
-10.014960914829901,2.0,-5.078342582771624,0.0
-5.6965508053130876,2.0,-3.6052708665141266,0.0
-9.051116007989545,2.0,-5.814977651660245,0.0
-8.952159641426434,3.0,-4.015035751915638,0.0
-8.925873552677169,2.0,-5.180973437114054,0.0
-8.307539701872185,2.0,-4.509957688462224,0.0
-5.722716899010001,2.0,-3.975798991602869,0.0
-10.16539313975801,2.0,-4.516069114481159,0.0
-18.591540296151923,4.0,-7.024422472484063,0.0
-8.363425036327616,3.0,-5.530106698308829,0.0
-10.281373794765846,2.0,-7.33490259550945,0.0
-7.1893728663437875,2.0,-4.299171433274347,0.0
-11.787614857574084,3.0,-5.359102065694263,0.0
-14.080496707922842,5.0,-6.769467865036063,0.0
-13.235946454951394,3.0,-6.461678550915935,0.0
-12.108009889052573,4.0,-6.596184578332232,0.0
-6.918175386574787,1.0,-5.352765024307694,0.0
-4.601534503006207,0.0,-4.601534503006207,0.0
-4.880802938981477,2.0,-4.063337550247992,0.0
-3.2896180444013727,0.0,-3.2896180444013727,0.0
-6.162171093533556,1.0,-4.8291475819762475,0.0
-6.829996107775734,0.0,-6.829996107775734,0.0
-4.452726628884767,0.0,-4.452726628884767,0.0
-10.163561043507602,2.0,-5.651893696991448,0.0
-5.087314939786403,2.0,-4.539982277879773,0.0
-3.6821484651243335,0.0,-3.6821484651243335,0.0
-5.6370851562721676,1.0,-5.106126232918681,0.0
-9.33572709799442,2.0,-6.285455296631319,0.0
-8.103749588449464,2.0,-6.644120400308445,0.0
-7.561689635308383,2.0,-6.728300060838016,0.0
-5.0125285938375175,1.0,-4.073925700629078,0.0
-6.296976027309403,1.0,-5.966739455822395,0.0
-4.638858899150519,1.0,-3.9872566388352073,0.0
-9.302291530583371,4.0,-6.985559265772906,0.0
-5.714174777256989,2.0,-4.056086938461701,0.0
-7.824790387421143,2.0,-7.4269815402176365,0.0
-6.794637801510717,3.0,-4.833017458947919,0.0
-5.288616379485667,1.0,-4.855885546067629,0.0
-3.968770552498297,0.0,-3.968770552498297,0.0
-7.422918948944519,1.0,-5.131014287301416,0.0
-8.42437562540744,2.0,-6.793367324958419,0.0
-4.5546245917718675,0.0,-4.5546245917718675,0.0
-4.671686477987682,1.0,-4.266852160187918,0.0
-6.913509621670806,1.0,-6.848266294746881,0.0
-6.865485642096436,1.0,-6.187327287835219,0.0
-3.567886082846302,0.0,-3.567886082846302,0.0
