scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s,stage
-188.071939196169,14.0,-7.409358845062628,0.0,1
-150.6105085403977,14.0,-7.702645497560429,0.0,1
-75.67628570344164,14.0,-7.59540680247126,0.0,1
-308.0584734111711,19.0,-8.05615766868845,0.0,1
-171.77119574016518,15.0,-7.859677410420258,0.0,1
-194.85040264979938,21.0,-7.740969512726689,0.0,1
-101.2823458752071,11.0,-7.093476887218312,0.0,1
-171.11008027433974,18.0,-7.6032826024257325,0.0,1
-106.26435301562638,12.0,-7.452517040659708,0.0,1
-277.7503486941492,18.0,-8.294905438589872,0.0,1
-111.73904379586433,17.0,-7.420830299863148,0.0,1
-115.18756026577232,17.0,-7.63293526031479,0.0,1
-154.75923757512754,16.0,-7.290057356060029,0.0,1
-190.87687307529185,19.0,-7.694158243670548,0.0,1
-100.36659674557961,16.0,-7.195329057434605,0.0,1
-109.86244514577443,21.0,-7.508353272901262,0.0,1
-154.19898269313947,11.0,-7.066574553747758,0.0,1
-174.85105875283017,19.0,-7.973188463895122,0.0,1
-104.67224068634059,15.0,-7.279742486507556,0.0,1
-150.14125988682727,11.0,-7.396947965533482,0.0,1
-169.78905026499893,12.0,-7.758938232707092,0.0,1
-113.72094261287685,14.0,-6.998931306015276,0.0,1
-254.91691099540128,19.0,-7.587815302654799,0.0,1
-242.25245614762142,20.0,-7.488896212011588,0.0,1
-119.08473115666189,13.0,-6.355307701134359,0.0,1
-234.9283954260532,18.0,-7.3535260248422105,0.0,1
-130.73870898236092,16.0,-7.240517391836213,0.0,1
-91.78327262334783,11.0,-6.501511584948859,0.0,1
-39.885891934187406,12.0,-6.529597082570691,0.0,1
-125.62320870580817,18.0,-7.269109210282672,0.0,1
-54.70515850462837,9.0,-6.808894941363041,0.0,1
-93.70665285265108,10.0,-6.913030891331655,0.0,1
-218.89581432957087,18.0,-7.475927510534307,0.0,1
-119.78251346703003,11.0,-7.121535829649285,0.0,1
-71.56162012172393,10.0,-6.66616642268393,0.0,1
-237.56850574933776,27.0,-7.605703614081884,0.0,1
-98.81736529010982,11.0,-7.325321757416787,0.0,1
-74.28020118767746,11.0,-7.038459770021339,0.0,1
-215.82828954758418,12.0,-6.697874783330881,0.0,1
-133.82867512236587,18.0,-7.295700901233429,0.0,1
-96.15947577184123,12.0,-7.106857280350449,0.0,1
-184.15616411641182,16.0,-7.476487354505514,0.0,1
-125.80399318858497,12.0,-7.081605883991413,0.0,1
-41.28022094326299,11.0,-6.714057395678665,0.0,1
-62.11778152424323,6.0,-6.301366218698768,0.0,1
-117.35951405703909,10.0,-6.631431997374407,0.0,1
-77.08714923774932,10.0,-6.655447207810178,0.0,1
-127.8297672191073,14.0,-6.861883066655729,0.0,1
-175.3895533681734,10.0,-6.746596774541686,0.0,1
-74.04702380285259,9.0,-6.631542066399513,0.0,1
-106.97291387615016,12.0,-6.698357953331286,0.0,1
-120.64570269861731,9.0,-7.005164834541753,0.0,1
-131.469718238537,17.0,-7.004979279052523,0.0,1
-163.59836359871036,10.0,-6.783862606461056,0.0,1
-123.84029086297944,14.0,-7.017388949675973,0.0,1
-55.790148194256474,10.0,-6.35622354703111,0.0,1
-153.94738560412281,16.0,-6.562215579853641,0.0,1
-118.75071936777435,12.0,-6.502962700676586,0.0,1
-119.90500669488694,9.0,-7.044790326592731,0.0,1
-122.23503016384785,9.0,-7.077133793994678,0.0,1
-96.62266939937949,10.0,-6.442612149533171,0.0,2
-193.08245059014092,12.0,-7.354406797059218,0.0,2
-126.85849462212923,19.0,-7.616634574397282,0.0,2
-70.35867620030888,9.0,-6.857881348664919,0.0,2
-73.80545903737197,7.0,-6.3141992072108275,0.0,2
-67.70973724665423,14.0,-6.80998381490998,0.0,2
-82.74755979102699,11.0,-6.679752283518234,0.0,2
-44.47475417350869,8.0,-6.345729319904681,0.0,2
-79.69148063468486,9.0,-6.727426811513848,0.0,2
-105.28013018425288,15.0,-7.13737375842087,0.0,2
-58.11154088125163,7.0,-6.232264992397764,0.0,2
-68.81864307421382,10.0,-6.372873828018786,0.0,2
-26.258006035042104,6.0,-5.88715610050362,0.0,2
-36.32747766973522,8.0,-6.084256970741134,0.0,2
-64.95161669361619,13.0,-6.9272594726372265,0.0,2
-119.75321982707227,11.0,-6.850501704351257,0.0,2
-30.998449307613708,11.0,-6.437838464310883,0.0,2
-56.12761830687913,8.0,-6.400658684898823,0.0,2
-35.945074173695524,10.0,-5.814631439924474,0.0,2
-53.56924567340709,10.0,-6.311827251245677,0.0,2
-12.206926920333231,3.0,-6.03686722287833,0.0,2
-35.534471979657404,7.0,-6.70545298907038,0.0,2
-52.424382577547156,9.0,-5.928934968205636,0.0,2
-18.703507135390645,7.0,-5.949469109586296,0.0,2
-30.968021656137747,5.0,-6.190892287079453,0.0,2
-22.437235056075203,11.0,-6.113062910885404,0.0,2
-79.96568727535332,15.0,-7.111630347853474,0.0,2
-115.64672824821545,14.0,-7.335422256676681,0.0,2
-45.3795525673319,6.0,-6.24956219706635,0.0,2
-35.821611171344294,8.0,-5.787721860412019,0.0,2
-15.197348788225987,3.0,-5.884623292751159,0.0,2
-101.22317445363907,8.0,-6.156190601976345,0.0,2
-41.62051034587093,10.0,-6.289400828886728,0.0,2
-110.42199875417653,7.0,-6.329535802390783,0.0,2
-67.53411007247271,13.0,-6.046502983077084,0.0,2
-48.749954519839484,7.0,-6.409567016042929,0.0,2
-37.7165286518833,6.0,-5.722310192211335,0.0,2
-17.88424809988125,5.0,-5.892595122918758,0.0,2
-12.823034398709334,1.0,-5.5599547996869685,0.0,2
-45.96311784679091,5.0,-5.528351330882581,0.0,2
-71.19391247321805,8.0,-6.069406414412718,0.0,2
-6.205628132366006,2.0,-5.24933090493758,0.0,2
-42.59455430259844,5.0,-5.936558173595003,0.0,2
-211.38852291992455,12.0,-6.985848764334345,0.0,2
-27.595902089018388,8.0,-6.463653265315309,0.0,2
-31.258006765711528,7.0,-5.992635528424931,0.0,2
-27.986562570428863,5.0,-5.525823492497407,0.0,2
-65.57335847286168,10.0,-6.252173918151333,0.0,2
-29.66141555304021,5.0,-5.810949390326656,0.0,2
-65.0335544070137,9.0,-6.121424277064188,0.0,2
-10.119803425335395,3.0,-5.906453146689439,0.0,2
-47.49861633622373,6.0,-5.685838875924957,0.0,2
-12.684070764612109,4.0,-6.014684973597153,0.0,2
-11.639503355002608,2.0,-5.7035260350613,0.0,2
-25.145504723707017,2.0,-5.6589738324013785,0.0,2
-29.72857592620674,6.0,-6.0925189225582566,0.0,2
-12.230949551343436,2.0,-5.746143490953382,0.0,2
-7.718433050011746,1.0,-5.924721299979573,0.0,2
-104.86513426934141,7.0,-6.268255032726905,0.0,2
-15.909204350336685,4.0,-5.664649623832563,0.0,2
-44.857913957871084,5.0,-5.442947435676651,0.0,2
-52.65101722754818,5.0,-6.109745334068889,0.0,2
-57.19697904883447,5.0,-5.865041180555891,0.0,2
-27.80104954985135,7.0,-5.726464870957056,0.0,2
-14.122087139468878,3.0,-6.555411311750371,0.0,2
-23.850244317408876,6.0,-6.0000768359385175,0.0,2
-33.71549217265613,5.0,-6.021793617287373,0.0,2
-48.47657433594202,7.0,-6.301518856596552,0.0,2
-48.44546575759471,8.0,-5.42125183653954,0.0,2
-40.39203076109835,5.0,-5.827041088621872,0.0,2
-69.43836071382258,5.0,-6.629881656666564,0.0,2
-41.40714497828908,1.0,-5.041982977399784,0.0,2
-13.98937042688408,2.0,-5.191947099054073,0.0,2
-54.438326082230205,7.0,-5.907698708716828,0.0,2
-19.220427800288988,5.0,-5.413615963321186,0.0,2
-15.718815937181857,5.0,-5.270149423104628,0.0,2
-48.74133013017282,9.0,-6.577356424072563,0.0,2
-86.48508047199829,11.0,-6.434989333003978,0.0,2
-29.87595735341064,7.0,-5.81097477039172,0.0,2
-27.757615959350144,6.0,-5.720664297475855,0.0,2
-44.865142627647245,4.0,-5.322506729674053,0.0,2
-83.06907468316777,7.0,-5.493454410383953,0.0,2
-10.19509089531006,4.0,-5.54161825627422,0.0,2
-24.61599479676478,5.0,-5.950588981541281,0.0,2
-69.31011637552704,8.0,-6.26747171669971,0.0,2
-22.208991559138347,4.0,-5.659020639258704,0.0,2
-47.64980306618845,5.0,-6.0471322454088625,0.0,2
-23.656727303329088,4.0,-5.837064059090302,0.0,2
-39.122178190136495,4.0,-5.472911303155459,0.0,2
-5.4734895013143685,0.0,-5.4734895013143685,0.0,2
-29.891158319993504,2.0,-5.5447323788641505,0.0,2
-52.8395949085745,6.0,-5.4178456665814645,0.0,2
-5.9439932692001385,2.0,-5.4050769594663,0.0,2
-70.01051890307929,7.0,-5.71888493644992,0.0,2
-46.92207537763265,5.0,-5.247787467716086,0.0,2
-20.752880724547424,4.0,-5.55287975056845,0.0,2
-73.28386381034434,5.0,-5.42575562292195,0.0,2
-9.510842429640018,2.0,-5.606645924853047,0.0,2
-10.861752336801858,2.0,-5.01990537349807,0.0,2
-75.00331128601144,5.0,-6.026805257804398,0.0,2
-21.948239451927115,2.0,-5.317980731525235,0.0,2
-15.006445656843306,4.0,-5.210994732959497,0.0,2
-21.469881388851828,2.0,-5.101930393066545,0.0,2
-18.878668154403975,4.0,-5.239840837005948,0.0,2
-94.23454306534461,7.0,-5.739468749125745,0.0,2
-40.92886141964629,4.0,-5.3410444316338825,0.0,2
-83.68195973071019,7.0,-5.6668561885750695,0.0,2
-20.83333827282728,5.0,-4.878709723608595,0.0,2
-15.725766678846911,4.0,-5.79053200929285,0.0,2
-32.03310072618229,3.0,-5.482767985495279,0.0,2
-21.38675163950565,5.0,-5.225652035316025,0.0,2
-29.527032369727195,7.0,-5.324745094209561,0.0,2
-13.811114783319708,3.0,-5.190122714957291,0.0,2
-6.2797758402517045,1.0,-5.361137069026172,0.0,2
-46.113447321432915,5.0,-5.566366445389179,0.0,2
-13.093731326532241,3.0,-4.7701142346737475,0.0,2
-9.813031700839367,1.0,-5.05685249293452,0.0,2
-24.599868540123296,4.0,-5.370443710364091,0.0,2
-38.80522121032594,3.0,-5.503107644726444,0.0,2
-30.306676235393372,5.0,-5.568662456290968,0.0,2
-58.57478047168967,7.0,-8.857086394418047,0.0,3
-25.11696478934838,4.0,-7.228023506866006,0.0,3
-52.796120395791036,4.0,-7.4010017016151775,0.0,3
-10.351678650470092,2.0,-4.483214343185979,0.0,3
-13.196156537976405,1.0,-6.529992607517444,0.0,3
-4.829677729673426,0.0,-4.829677729673426,0.0,3
-40.33774296363467,5.0,-5.078204454620141,0.0,3
-9.183404517054825,3.0,-5.1654263149321125,0.0,3
-152.4861241830168,7.0,-7.17263358465413,0.0,3
-55.468061998080906,11.0,-6.2855902528534955,0.0,3
-11.737194544609336,2.0,-5.631807974163117,0.0,3
-125.19492582565893,16.0,-6.794226970495686,0.0,3
-27.311551671909083,6.0,-7.845866914661995,0.0,3
-39.701258873191286,7.0,-7.288658243095828,0.0,3
-62.55368313081478,8.0,-5.851145330426733,0.0,3
-4.882976876600301,1.0,-4.494125348572425,0.0,3
-11.876287206801246,1.0,-4.394916183016635,0.0,3
-66.85064147708172,5.0,-6.016573487600546,0.0,3
-69.63603415339813,10.0,-6.073145245941575,0.0,3
-12.948070475082206,4.0,-4.763491677372175,0.0,3
-6.631531224540874,2.0,-5.459631047601319,0.0,3
-5.261304977664833,0.0,-5.261304977664833,0.0,3
-136.64800692348106,15.0,-6.834571296517961,0.0,3
-97.85473440585798,10.0,-6.435771619797415,0.0,3
-60.282402732533896,9.0,-5.264355775749176,0.0,3
-7.8720440318801,2.0,-4.245621253536569,0.0,3
-63.62358830203988,10.0,-6.4299522772289,0.0,3
-83.97044232746113,5.0,-8.729807957918139,0.0,3
-53.25801062629952,4.0,-4.713954701984732,0.0,3
-8.372390526828868,1.0,-7.678874124579097,0.0,3
-32.397551108736174,5.0,-5.373094875372856,0.0,3
-6.2003747387620125,1.0,-4.9790536634061935,0.0,3
-55.9566801333081,6.0,-7.065967538642836,0.0,3
-21.451037540918275,6.0,-6.910061855015069,0.0,3
-4.826878371590236,0.0,-4.826878371590236,0.0,3
-5.832926802552238,0.0,-5.832926802552238,0.0,3
-43.00324935527061,10.0,-5.770988387793603,0.0,3
-30.13831486438883,9.0,-6.159827414451171,0.0,3
-10.851066369736728,3.0,-5.304905981916655,0.0,3
-4.870218023645118,0.0,-4.870218023645118,0.0,3
-4.179890060638958,0.0,-4.179890060638958,0.0,3
-15.501790096269849,6.0,-8.123349581718177,0.0,3
-19.744686965988137,3.0,-6.246551351860523,0.0,3
-13.8258558684062,3.0,-6.720160057032298,0.0,3
-17.901113431086358,3.0,-6.90324103601188,0.0,3
-5.037443276699678,1.0,-3.970553417570217,0.0,3
-6.403756770264021,1.0,-5.225758897975858,0.0,3
-27.964652986873144,7.0,-5.879215055083986,0.0,3
-4.642784641266503,0.0,-4.642784641266503,0.0,3
-18.008557947820684,6.0,-7.542579639378237,0.0,3
-55.84449064018548,5.0,-5.70045571826217,0.0,3
-8.900928360581364,1.0,-5.985857863767286,0.0,3
-16.654370830094216,4.0,-6.453049076496103,0.0,3
-10.002216263657253,3.0,-4.703655326533741,0.0,3
-5.651964026761279,0.0,-5.651964026761279,0.0,3
-30.51659054209828,4.0,-5.68190414871161,0.0,3
-21.249021220085215,4.0,-5.488258184926086,0.0,3
-9.278120015828838,1.0,-6.419564374585819,0.0,3
-7.090559897095283,0.0,-7.090559897095283,0.0,3
-5.868637957074573,0.0,-5.868637957074573,0.0,3
-47.04921476008402,6.0,-6.253421547503462,0.0,3
-26.495085206878244,3.0,-5.224918734184695,0.0,3
-10.66936618468112,1.0,-5.486558342580125,0.0,3
-17.50179919278847,2.0,-4.5235203945351685,0.0,3
-4.551595759680776,1.0,-4.2414214183115355,0.0,3
-24.52486966513752,6.0,-6.058646658545119,0.0,3
-27.469021550520594,4.0,-4.43569469392499,0.0,3
-23.138916673998946,8.0,-7.53848947267992,0.0,3
-17.981251648008843,3.0,-6.797829110445187,0.0,3
-6.601193698753886,0.0,-6.601193698753886,0.0,3
-4.453897805591388,0.0,-4.453897805591388,0.0,3
-6.765620069504309,1.0,-6.204489349960197,0.0,3
-21.698230683900714,4.0,-5.4326353496216475,0.0,3
-5.881601511245273,0.0,-5.881601511245273,0.0,3
-7.9287376489972665,1.0,-4.713886381866165,0.0,3
-6.164684706536707,1.0,-4.999305391409338,0.0,3
-6.092590888864162,0.0,-6.092590888864162,0.0,3
-4.9572009095655325,2.0,-4.539217683769351,0.0,3
-4.951212435219609,1.0,-4.038690808114694,0.0,3
-4.90842724391522,0.0,-4.90842724391522,0.0,3
-4.459896316076353,0.0,-4.459896316076353,0.0,3
-5.786767636414197,0.0,-5.786767636414197,0.0,3
-5.515071355128862,0.0,-5.515071355128862,0.0,3
-7.935183258589098,2.0,-5.181208043307763,0.0,3
-7.058943983063329,0.0,-7.058943983063329,0.0,3
-5.0124234497945785,1.0,-4.21620949828414,0.0,3
-14.697666710549939,4.0,-5.434697720699208,0.0,3
-8.773310487774799,1.0,-6.087264026827563,0.0,3
-35.36660619405241,3.0,-5.748338269391792,0.0,3
-8.645716262205278,2.0,-6.15304626685263,0.0,3
-6.81967145091303,0.0,-6.81967145091303,0.0,3
-8.407830342539313,2.0,-6.331671841742258,0.0,3
-28.1244903873086,5.0,-6.810754498216978,0.0,3
-6.9959729553392895,1.0,-4.929163882719289,0.0,3
-30.546247603621573,5.0,-7.90626062796869,0.0,3
-7.876691429639288,1.0,-4.5388769361909,0.0,3
-5.401118047912272,1.0,-4.133762922528955,0.0,3
-17.637436039106756,4.0,-6.658650421691685,0.0,3
-9.375187759764474,2.0,-5.184459710944504,0.0,3
-5.0377326091297725,1.0,-4.8243367997702,0.0,3
-6.449195008535281,1.0,-5.2544052629621145,0.0,3
-3.921908566535613,0.0,-3.921908566535613,0.0,3
-22.48984662625834,1.0,-7.072524956993611,0.0,3
-11.012519392727478,2.0,-6.114433273756767,0.0,3
-4.299241112194807,0.0,-4.299241112194807,0.0,3
-5.9666462184414035,2.0,-5.195030625718796,0.0,3
-5.267015704720699,1.0,-4.927981032320371,0.0,3
-12.090037417456593,3.0,-8.010039473379182,0.0,3
-6.079513559124782,0.0,-6.079513559124782,0.0,3
-5.434562593169029,2.0,-4.043391868492626,0.0,3
-22.48516087602712,4.0,-5.714844941109586,0.0,3
-5.810959148943939,0.0,-5.810959148943939,0.0,3
-6.264188483790681,0.0,-6.264188483790681,0.0,3
-13.57157770774497,2.0,-4.4376236231097765,0.0,3
-5.227784586626957,0.0,-5.227784586626957,0.0,3
-9.37259432122858,2.0,-4.734563803252362,0.0,3
-4.71986875277417,0.0,-4.71986875277417,0.0,3
-5.663984685573978,0.0,-5.663984685573978,0.0,3
-42.79123180786388,3.0,-5.378031204825954,0.0,3
-8.865414049312237,1.0,-5.955486421572169,0.0,3
