scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st,stage
-4.897124739557922,1.0,-4.080935840407404,0.0,1
-4.624238967487157,1.0,-4.072640646477874,0.0,1
-4.132827163706529,1.0,-4.094153523501417,0.0,1
-4.497895791583773,1.0,-4.057902980064389,0.0,1
-5.164573208601254,2.0,-4.073238410074754,0.0,1
-4.472192774879906,2.0,-4.060358628938226,0.0,1
-5.06922970661452,1.0,-4.060089929288367,0.0,1
-4.824260455915158,2.0,-4.0795427667320645,0.0,1
-6.9514548947286094,2.0,-4.051299871229205,0.0,1
-4.393766366979891,1.0,-4.088022444578122,0.0,1
-4.87284096990856,2.0,-4.042246548243806,0.0,1
-5.047182192632482,1.0,-4.077705060703809,0.0,1
-4.806814138717767,2.0,-4.056875146713193,0.0,1
-6.575946356227282,2.0,-4.0956723649458056,0.0,1
-4.6019778689331785,1.0,-4.0821823073415295,0.0,1
-4.226484380566623,1.0,-4.055326512238203,0.0,1
-5.866267602091387,2.0,-4.055092805459766,0.0,1
-4.815186106540984,1.0,-4.072047242754888,0.0,1
-5.012166674551992,2.0,-4.051295025479532,0.0,1
-4.897348506959377,1.0,-4.060432207179668,0.0,1
-4.505190223576343,2.0,-4.08066694438545,0.0,1
-3.9734557679024927,0.0,-3.9734557679024927,0.0,1
-3.88120898885539,0.0,-3.88120898885539,0.0,1
-6.157349238684485,1.0,-3.9404483551971214,0.0,1
-7.172844223421169,2.0,-3.8266427650093258,0.0,1
-3.8787655957074887,0.0,-3.8787655957074887,0.0,1
-5.008431841339719,2.0,-3.8842481686012413,0.0,1
-3.8571326700792907,0.0,-3.8571326700792907,0.0,1
-4.1228075567719555,1.0,-3.822627886424545,0.0,1
-7.186292839372249,1.0,-3.842573949723767,0.0,1
-4.437535576750372,1.0,-3.8146363559332856,0.0,1
-3.8440960775117543,0.0,-3.8440960775117543,0.0,1
-3.9325350605679175,0.0,-3.9325350605679175,0.0,1
-4.202749222922545,1.0,-3.8297592054415768,0.0,1
-4.885797180882959,1.0,-3.848049316412786,0.0,1
-3.9085707743199434,0.0,-3.9085707743199434,0.0,1
-5.2232638713690935,1.0,-3.8398888658402868,0.0,1
-4.331374722839259,1.0,-3.872256917975806,0.0,1
-3.855228573426029,0.0,-3.855228573426029,0.0,1
-3.9278427791497434,0.0,-3.9278427791497434,0.0,1
-8.099788155093608,1.0,-3.841559124299184,0.0,1
-6.232660040392711,1.0,-3.908575630449285,0.0,1
-9.061011395236621,2.0,-3.87382467262582,0.0,1
-3.917975747565937,0.0,-3.917975747565937,0.0,1
-3.9279435136681324,0.0,-3.9279435136681324,0.0,1
-3.9364319555914493,0.0,-3.9364319555914493,0.0,1
-3.9242816438050183,0.0,-3.9242816438050183,0.0,1
-3.9388237852676857,0.0,-3.9388237852676857,0.0,1
-3.9416110417057197,0.0,-3.9416110417057197,0.0,1
-3.9145732239711104,0.0,-3.9145732239711104,0.0,1
-3.92833109650039,0.0,-3.92833109650039,0.0,1
-4.368752092878296,1.0,-3.932463223537346,0.0,1
-3.938522172134077,0.0,-3.938522172134077,0.0,1
-3.9591584642327438,0.0,-3.9591584642327438,0.0,1
