episode,total_step,group_id,theta_pv,theta_svc,theta_cap,line_loss_mwh,violation_steps,event_day,pf_fail_steps
0,96,2,0.7060208916664124,1.2471929788589478,0.3046552836894989,1.9341442237658366,7,1,0
1,192,7,1.3723082542419434,1.1825200319290161,0.5921692252159119,3.6383713443925334,39,1,0
2,288,5,1.3670679330825806,0.952776312828064,0.7827057838439941,2.7220190491829563,28,1,0
3,384,1,0.9988033771514893,0.8287992477416992,0.7026103138923645,1.8621646085968402,18,1,0
4,480,3,0.9702596664428711,1.1904834508895874,0.9153904318809509,2.6404125568126258,28,1,0
5,576,0,1.03285813331604,0.8800110816955566,0.33132967352867126,2.1438022087290274,24,1,0
6,672,6,1.485233187675476,1.4269357919692993,0.2929218113422394,3.9997609283382074,39,1,0
7,768,4,1.436456561088562,0.8730066418647766,0.208247572183609,3.1743895035073293,34,1,0
8,864,2,0.9568731188774109,1.1483315229415894,0.33577266335487366,2.1218894020455488,13,1,0
9,960,5,1.2110861539840698,0.7555481791496277,0.7976258993148804,2.4641096499695134,27,1,0
10,1056,1,0.9778454303741455,0.8207682371139526,0.6872192621231079,1.8846358206560043,20,1,0
11,1152,6,1.1382523775100708,1.214935064315796,0.30913639068603516,2.674258250506338,24,1,0
12,1248,7,1.1707285642623901,1.3114326000213623,0.7210329174995422,2.9512938089343685,29,1,0
13,1344,3,0.7391071319580078,1.1120222806930542,0.9085433483123779,1.7905877817595646,9,1,0
14,1440,0,0.8083361983299255,1.0656917095184326,0.011052112095057964,1.819480755361789,14,1,0
15,1536,4,1.2950468063354492,1.01239812374115,0.03808979317545891,3.022005137537399,36,1,0
16,1632,2,0.7429501414299011,1.4663677215576172,0.43095362186431885,2.496332069287172,11,1,0
17,1728,6,1.1169546842575073,1.456749677658081,0.14320747554302216,2.9546467285837807,21,1,0
18,1824,3,1.0886528491973877,1.1989933252334595,0.9849675893783569,3.0468214373598785,36,1,0
19,1920,4,1.286217212677002,0.9771928191184998,0.40512993931770325,2.826346563239131,33,1,0
20,2016,0,0.8762863874435425,0.9347819685935974,0.11453752964735031,1.8702437413934359,13,1,0
21,2112,7,1.3086658716201782,1.4378154277801514,0.6315125823020935,3.7151279413176503,29,1,0
22,2208,5,1.2847223281860352,0.724457859992981,0.8663421869277954,2.5188777706123857,37,1,0
23,2304,1,0.7832460999488831,0.721668541431427,0.9959050416946411,1.4557682552021207,11,1,0
24,2400,4,1.137967824935913,0.9222871661186218,0.4017391502857208,2.12870525117232,21,1,0
25,2496,5,1.378319501876831,1.0733004808425903,0.807685136795044,3.2439765199495842,35,1,0
26,2592,1,1.0809818506240845,0.7887106537818909,0.8545505404472351,2.2077580668391747,24,1,0
27,2688,6,1.4458041191101074,1.17891263961792,0.09629277139902115,3.485976353625871,32,1,0
28,2784,0,0.9125086069107056,1.0658539533615112,0.4904329478740692,2.0279624204552693,18,1,0
29,2880,7,1.1154159307479858,1.3344998359680176,0.8122861385345459,3.0984131435207383,29,1,0
30,2976,2,0.956649661064148,1.4065383672714233,0.09342361241579056,2.4394996939558475,14,1,0
31,3072,3,0.7505494952201843,1.3612480163574219,0.9290676712989807,2.5249374582274604,18,1,0
32,3168,1,0.8542871475219727,0.9532855749130249,0.7157264351844788,1.6575535979083122,7,1,0
33,3264,3,1.0538889169692993,1.2576459646224976,0.7773094773292542,2.480591666339338,24,1,0
34,3360,7,1.3637781143188477,1.2693277597427368,0.7223224639892578,3.355522108616236,27,1,0
35,3456,4,1.20680570602417,0.7618182301521301,0.2900090217590332,2.1139914131715822,26,1,0
36,3552,0,1.0038964748382568,0.8269957900047302,0.3154442608356476,1.7200548839129934,12,1,0
37,3648,5,1.4916486740112305,0.9219518303871155,0.652317225933075,3.1191493418479412,26,1,0
38,3744,6,1.176655650138855,1.122429609298706,0.4376835525035858,2.7627385314635733,31,1,0
39,3840,2,0.9737474918365479,1.4895259141921997,0.473039835691452,2.592018164371721,11,1,0
40,3936,3,0.7911746501922607,1.3752654790878296,0.9245325326919556,2.4258520198176172,9,1,0
41,4032,0,0.9077653884887695,0.721329927444458,0.06954272836446762,1.5277884892661762,6,1,0
42,4128,7,1.2977007627487183,1.3010227680206299,0.5271120667457581,3.1784388556685874,23,1,0
43,4224,4,1.1856135129928589,0.7436048984527588,0.2674521505832672,2.0075903387847083,19,1,0
44,4320,1,0.8446376323699951,1.0904169082641602,0.5032875537872314,1.7004456486978947,8,1,0
45,4416,2,0.8735305666923523,1.3120399713516235,0.2568371295928955,2.0120286256246374,8,1,0
46,4512,6,1.428659200668335,1.239861249923706,0.027280168607831,3.301189719554908,26,1,0
47,4608,5,1.1467348337173462,0.9378085732460022,0.6268448829650879,2.0993547545327393,20,1,0
48,4704,7,1.4916987419128418,1.3899192810058594,0.6820887923240662,3.5316332028021304,30,1,0
49,4800,4,1.153461217880249,1.0015180110931396,0.006962903775274754,2.1266689642301695,11,1,0
50,4896,3,0.9103754758834839,1.1330113410949707,0.7663402557373047,1.9994341234143675,11,1,0
51,4992,1,0.7786687016487122,0.8970378637313843,0.6465682983398438,1.4695268804701362,5,1,0
52,5088,2,0.7539714574813843,1.4519217014312744,0.1407884806394577,2.1647251237523175,8,1,0
53,5184,0,0.723663866519928,0.8303337693214417,0.1584668606519699,1.2516557681418568,4,1,0
54,5280,6,1.124948263168335,1.3932247161865234,0.41388821601867676,2.5365952281916093,14,1,0
55,5376,5,1.3383570909500122,0.8765450119972229,0.9874439835548401,2.3930210425994076,22,1,0
56,5472,1,0.8103468418121338,0.9656912088394165,0.586284339427948,1.4403922838521657,9,1,0
57,5568,0,0.8325828313827515,1.0167797803878784,0.39195337891578674,1.6355305768447352,3,1,0
58,5664,2,1.0928288698196411,1.3330252170562744,0.06730775535106659,2.3116859614109,14,1,0
59,5760,6,1.3141119480133057,1.3288525342941284,0.49992835521698,2.76294887532899,19,1,0
60,5856,7,1.3049291372299194,1.3669553995132446,0.901862621307373,3.087813952802952,18,1,0
