scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s
-607.1902768039654,27.0,-11.766320372440985,0.0
-1272.5288516106036,34.0,-12.195891884434927,0.0
-121.88180707653487,15.0,-8.842949837676382,0.0
-1530.8751558813958,45.0,-14.755755071702167,0.0
-1760.2740635469775,35.0,-15.71699214109553,0.0
-323.6021582301861,28.0,-8.101605651323263,0.0
-548.9576111954939,30.0,-9.602117764684417,0.0
-353.21793849741357,26.0,-8.128193387686924,0.0
-533.507024040038,29.0,-11.675775226899393,0.0
-1228.7145077641023,37.0,-13.241151621272744,0.0
-1075.2637092686641,36.0,-11.327153368993438,0.0
-1525.4399079076115,42.0,-18.5903772225265,0.0
-437.41309575782594,24.0,-8.013871813949644,0.0
-828.436633363274,33.0,-10.297482388447749,0.0
-135.60118668070902,20.0,-8.978168324258572,0.0
-899.5314292582583,34.0,-12.021569778817357,0.0
-810.8435030913131,28.0,-10.93992844282749,0.0
-1322.3184089548058,36.0,-16.87564740806994,0.0
-1043.7024684909975,37.0,-14.040123790220898,0.0
-277.58457460987745,22.0,-7.48752305914111,0.0
-677.7594943782673,27.0,-9.99124950831158,0.0
-444.64039747878127,31.0,-9.324958379411534,0.0
-2072.9176297751283,42.0,-15.947247461245007,0.0
-193.92380632317256,24.0,-6.887519056437312,0.0
-447.42755131576587,22.0,-9.862192199093304,0.0
-809.5002116730562,27.0,-10.161412509213061,0.0
-307.06881362176057,21.0,-7.7201368100666645,0.0
-793.3103889561293,37.0,-12.06090662034623,0.0
-209.56466034148718,18.0,-10.257720540154116,0.0
-826.788905615799,36.0,-10.748018800451868,0.0
-325.6144991415997,24.0,-9.12276243628043,0.0
-405.5658699532178,31.0,-10.795855738156822,0.0
-1286.579839050733,43.0,-16.151827075041517,0.0
-193.24172848569967,16.0,-6.799655385867061,0.0
-606.6238698076914,28.0,-12.420661532061633,0.0
-2210.8927806484508,51.0,-17.456281572574277,0.0
-395.212231409165,29.0,-8.802768032726904,0.0
-284.4742841730694,22.0,-8.094676132886741,0.0
-1501.0989389357037,36.0,-14.679820448576011,0.0
-1063.9375045682355,36.0,-13.388818004437182,0.0
-537.5377255353714,31.0,-9.137154424343496,0.0
-998.6938808128648,40.0,-12.260648260783967,0.0
-806.1008648792306,31.0,-12.408056889274649,0.0
-812.6413826934534,31.0,-12.804389109423633,0.0
-693.5871405707768,31.0,-12.110245810444317,0.0
-559.522772999266,32.0,-11.632230061611732,0.0
-263.03880241175284,14.0,-10.810928269051349,0.0
-703.4420619355262,37.0,-10.11754748077647,0.0
-857.7392830875948,33.0,-10.595141147186704,0.0
-517.5944227157643,25.0,-11.536855905880108,0.0
-284.67570942688417,17.0,-8.297899103324086,0.0
-735.8468872182865,34.0,-9.921717850156435,0.0
-374.3080526444445,25.0,-7.9353498194944505,0.0
-450.184755880161,21.0,-9.29784094610155,0.0
-492.46229550383157,21.0,-11.010959543886658,0.0
-558.2859718569416,27.0,-9.037819716029594,0.0
-664.008412343073,29.0,-11.084452968015945,0.0
-679.4061655824894,31.0,-12.279289600764427,0.0
-135.31433830878382,13.0,-6.075685100134785,0.0
-540.3121695812266,24.0,-11.044175100406733,0.0
-1377.7494085932217,37.0,-16.33847070577773,0.0
-313.61298410647254,17.0,-6.5718505313619096,0.0
-261.1146998331992,20.0,-7.980343319824236,0.0
-232.38869511481766,24.0,-11.203446362336376,0.0
-751.8239079949286,30.0,-11.411517339629128,0.0
-138.13337532253158,17.0,-9.292893264950571,0.0
-324.982411849173,23.0,-11.296933353501132,0.0
-602.5026397940768,28.0,-10.438994191991668,0.0
-277.44520133807913,19.0,-8.524306236124513,0.0
-589.7618935276588,28.0,-11.99221181416975,0.0
-855.1924545906759,29.0,-12.051392918461238,0.0
-282.1817407194627,17.0,-9.838809513537699,0.0
-513.4559293446405,31.0,-14.375824671231198,0.0
-48.893775667404945,7.0,-8.17137008576872,0.0
-130.0458403110196,14.0,-6.121490045008816,0.0
-66.3225050372994,7.0,-7.377676726890078,0.0
-156.54669096095404,16.0,-9.008646764450077,0.0
-149.7751441768852,15.0,-9.218024652117522,0.0
-442.02261130497135,25.0,-9.502970376840057,0.0
-72.63979537227334,13.0,-7.61636076637853,0.0
-620.9316150005241,32.0,-12.100266010567957,0.0
-266.95799791985587,23.0,-9.306570415528615,0.0
-1081.0803473935132,34.0,-14.55294933495185,0.0
-176.689589495694,18.0,-10.350894460557296,0.0
-27.717825505150067,5.0,-6.335860395456048,0.0
-83.3984017253001,16.0,-6.888581961167322,0.0
-652.5232205134073,30.0,-13.032146370178006,0.0
-183.5688498644787,13.0,-8.770637677400419,0.0
-58.517276989006966,6.0,-6.90446695993059,0.0
-120.10074185506441,11.0,-5.86364869360376,0.0
-172.87688185529234,21.0,-8.663977123205887,0.0
-144.32158839600234,9.0,-6.163409963032516,0.0
-50.47503303819079,8.0,-7.254819277865773,0.0
-132.07751118609343,10.0,-9.07706967980543,0.0
-73.75296431334883,9.0,-7.832137636569207,0.0
-419.9234455395717,24.0,-11.007510859808507,0.0
-453.9598309226579,24.0,-10.499734644558512,0.0
-156.06466927956004,13.0,-7.006466808876358,0.0
-12.287123203632797,2.0,-7.039252723090609,0.0
-244.3710865272676,19.0,-7.508768961767406,0.0
-710.5326286562815,33.0,-11.895916455339098,0.0
-264.08971867585126,15.0,-10.085393731499991,0.0
-398.8967239139997,20.0,-10.332820764294668,0.0
-252.8133250434665,15.0,-7.021431656807341,0.0
-377.36594316300835,31.0,-9.696123561690326,0.0
-51.06381309837212,8.0,-8.971845306413234,0.0
-163.54088065819656,19.0,-8.442397868005333,0.0
-64.43090859129947,10.0,-7.255994135385427,0.0
-523.9447130196752,23.0,-9.29095480127119,0.0
-40.894838666927654,7.0,-7.5146196489819035,0.0
-75.9053882781663,13.0,-9.285486062221059,0.0
-36.74434828843403,6.0,-8.00651713059425,0.0
-303.6458948745801,20.0,-10.508126694467517,0.0
-17.970799750548338,4.0,-8.095094536967775,0.0
-109.32385708285722,8.0,-7.632700034917395,0.0
-419.5417644343175,23.0,-8.954571035374883,0.0
-106.10112909055653,11.0,-8.139647040576875,0.0
-53.94433075455284,11.0,-6.995224933917408,0.0
-333.94657356620075,18.0,-8.000642189187797,0.0
-27.29242300383084,4.0,-6.75983269611296,0.0
-453.99703208430884,25.0,-10.842374996042413,0.0
-353.4653041155783,20.0,-8.992745023005693,0.0
-161.50675290590246,14.0,-10.192070154829228,0.0
-21.91919688168718,4.0,-5.534292021206934,0.0
-255.71190716232755,21.0,-8.419565512477197,0.0
-25.231782892953184,8.0,-7.356513546829242,0.0
-332.85512859198985,25.0,-8.882029741600151,0.0
-20.889669466773377,4.0,-6.425769020272768,0.0
-62.780124002161116,7.0,-7.204068833930047,0.0
-123.4528690748913,9.0,-6.316004014463467,0.0
-144.74778061102216,10.0,-7.672262144913381,0.0
-97.14029065295843,9.0,-8.806769776420293,0.0
-150.20644275389787,12.0,-7.000100630777594,0.0
-182.9346134831589,16.0,-7.008618511376261,0.0
-23.967714821056735,5.0,-6.621310322187169,0.0
-23.163480485069716,6.0,-6.521496544417254,0.0
-122.8070224297305,15.0,-7.96448974447714,0.0
-667.9884346541452,31.0,-12.877694429753413,0.0
-191.98912542190078,18.0,-8.529966992809582,0.0
-70.14318489550395,9.0,-6.433416207364769,0.0
-35.82616318768512,4.0,-7.308191560770164,0.0
-204.08195989451028,12.0,-8.821178920512681,0.0
-47.16090770276828,8.0,-5.284034763796282,0.0
-78.70235012536413,9.0,-6.12998267204308,0.0
-49.35670147761156,10.0,-5.6006483092264,0.0
-20.933042012703112,4.0,-6.211144661854503,0.0
-114.27685432776914,11.0,-6.582281970809124,0.0
-10.646503924141129,2.0,-5.192405736497508,0.0
-135.7593911596005,16.0,-8.394897606248275,0.0
-11.678870362088908,2.0,-6.325905958467347,0.0
-124.56614204174609,11.0,-8.65556793868019,0.0
-12.524032773593818,4.0,-5.184354474038599,0.0
-42.20681889027333,6.0,-9.666170570571701,0.0
-73.84640231593845,8.0,-7.0792059637102005,0.0
-39.64219830245161,6.0,-7.160954320616017,0.0
-32.14225956122027,5.0,-7.318810448194862,0.0
-63.44535430452193,7.0,-8.35541687395188,0.0
-26.28951256239241,6.0,-8.004192528077304,0.0
-83.86540696568264,13.0,-6.921579662793672,0.0
-80.85274663988595,6.0,-6.406346912366072,0.0
-10.772444903109287,1.0,-5.798128136242115,0.0
-35.51369768192347,7.0,-6.117211061472447,0.0
-42.81173684858412,4.0,-6.457025091516953,0.0
-22.511149836469922,4.0,-6.741404822226715,0.0
-195.23508079530797,8.0,-10.649041198226733,0.0
-85.66564120159615,7.0,-7.245316057873543,0.0
-99.82855938309942,8.0,-7.894897174661709,0.0
-104.81813548554173,12.0,-8.086416926079115,0.0
-167.27477701111172,20.0,-8.325932411350987,0.0
-123.3984932037342,10.0,-8.313311242491233,0.0
-30.69216175114373,6.0,-6.651430288412002,0.0
-14.925781897672294,6.0,-5.614554817503646,0.0
-17.05521631323717,6.0,-6.573955671319559,0.0
-5.624448722875875,2.0,-5.426979531329102,0.0
-143.5879532136596,14.0,-8.449000343628594,0.0
-30.17792709188873,6.0,-7.684821314502181,0.0
-13.671531074742495,2.0,-5.307815020611895,0.0
-74.7786712083886,9.0,-8.675990112940548,0.0
-76.65193343133427,8.0,-6.582564401034692,0.0
-14.424122721896861,4.0,-5.225302849687079,0.0
-74.47405165168186,8.0,-8.137085873664137,0.0
-6.1095566707626325,1.0,-5.76764854646175,0.0
-37.166247609102435,4.0,-5.3872168163623675,0.0
-44.71062502186933,4.0,-6.776687435330611,0.0
-16.146728363409384,2.0,-5.3891710459950835,0.0
-8.02066150008586,1.0,-7.545735493895957,0.0
-39.86538263931673,6.0,-8.432892535136487,0.0
-39.280711937715395,5.0,-8.257839546078083,0.0
-45.21979443444146,4.0,-7.6279746658342,0.0
-86.15477577083738,13.0,-7.382705332967719,0.0
-10.160716895444958,2.0,-5.052463517513412,0.0
-85.48435606107002,16.0,-7.371609537645693,0.0
-33.33381672665433,7.0,-6.9132408138958885,0.0
-11.46383068899235,3.0,-6.032069000282106,0.0
-6.221801574632951,1.0,-5.327808009723552,0.0
-7.332845665809922,0.0,-7.332845665809922,0.0
-8.243708561155998,1.0,-7.504053167671004,0.0
-10.091316733221305,1.0,-4.974718120425315,0.0
-10.993358998462414,2.0,-4.694012696047173,0.0
-34.706476336897744,7.0,-8.062243426779863,0.0
-10.018883267096284,2.0,-5.68392167565273,0.0
-6.968730093751006,2.0,-6.843745560164825,0.0
-102.66347654751385,12.0,-7.687900977229921,0.0
-40.294865252217306,8.0,-8.258875832462868,0.0
-142.07364980758726,11.0,-7.114572094733937,0.0
-9.573709961764026,1.0,-7.938125146907122,0.0
-10.998151583310818,2.0,-5.258779236329031,0.0
-8.889555787233478,2.0,-5.575770888668038,0.0
-17.318487477036037,3.0,-5.416737044572206,0.0
-10.275746388936712,3.0,-7.221105448230605,0.0
-17.678858670989417,3.0,-4.89681960532005,0.0
-15.840810181144413,3.0,-9.43570627322881,0.0
-30.936327184841744,5.0,-6.514943857931576,0.0
-40.61828522806393,9.0,-9.387068564552944,0.0
-4.594945003851376,0.0,-4.594945003851376,0.0
-7.201421125316463,1.0,-5.962767505305829,0.0
-9.068456988741987,1.0,-6.403249474401206,0.0
-14.34609133936943,3.0,-5.731426685995713,0.0
-9.001959927106526,1.0,-5.913943156586065,0.0
-10.66358814099865,1.0,-8.927271430336912,0.0
-21.581240635964996,2.0,-6.346429164846792,0.0
-19.157288465047316,5.0,-7.241221736541673,0.0
-33.91955094458464,3.0,-7.185329309864413,0.0
-28.62094297037206,6.0,-8.323168975185869,0.0
-14.802769234771796,2.0,-5.668632326794244,0.0
-9.883911585643885,1.0,-5.52509337916363,0.0
-13.273664036734731,2.0,-7.653375231902678,0.0
-7.8007534907889875,1.0,-6.593078817403291,0.0
-7.144015418128531,2.0,-6.3607068965457385,0.0
-15.887211135886925,3.0,-8.379568236005438,0.0
-12.291699520550733,4.0,-7.7082424591119825,0.0
-54.73021475920552,10.0,-7.611351827013064,0.0
-11.25598008971779,4.0,-4.889567788499153,0.0
-40.87011072547231,8.0,-9.19395498973375,0.0
-5.21837310604459,0.0,-5.21837310604459,0.0
-6.286877647882648,1.0,-4.728672311740257,0.0
-20.028318998314468,5.0,-8.608810135011357,0.0
-6.755031132178244,1.0,-5.6797348786918995,0.0
-5.936417891315764,2.0,-5.746687061493065,0.0
-8.308692770835396,1.0,-8.179741775399359,0.0
-34.069692112260135,3.0,-6.84291191681604,0.0
-6.574412245170859,1.0,-5.658801110227298,0.0
-9.35029248932839,3.0,-5.680845358598378,0.0
-10.875967004260529,3.0,-4.837116334312504,0.0
-7.369530578840668,0.0,-7.369530578840668,0.0
