update,total_step,policy_loss,value_loss,entropy,approx_kl
1,2048,0.04100479930639267,3180.9417419433594,-2.323549836874008,0.10223807394504547
2,4096,0.017690887053807575,1494.0877304077148,-2.6110799809296927,0.028125524520874023
3,6144,-0.03251156606711447,654.8243980407715,-2.8956867158412933,0.03733247146010399
4,8192,-0.0033416644437238574,600.5847587585449,-3.1790389716625214,0.0316312238574028
5,10240,0.03402903427680334,170.66601181030273,-3.464528421560923,0.03466052934527397
6,12288,-0.022325629834085703,235.72051668167114,-3.7487077564001083,0.041637491434812546
7,14336,-0.025713569833897054,54.33507859706879,-4.033513367176056,0.031578466296195984
8,16384,0.022430317476391792,36.935184717178345,-4.316581726074219,0.025077760219573975
9,18432,-0.007075174798956141,8.971961095929146,-4.602999851107597,0.0548185333609581
10,20480,-0.011504411115311086,4.265548326075077,-4.884862959384918,0.049104586243629456
11,22528,0.030469002667814493,1.7065900340676308,-5.1689973175525665,0.05170215666294098
12,24576,0.020811310736462474,2.372699275612831,-5.453378051519394,0.035614922642707825
13,26624,0.037469375878572464,0.4433683790266514,-5.737381935119629,0.0245888140052557
14,28672,-0.017454840475693345,0.3169956093188375,-6.022589474916458,0.08993858098983765
15,28800,-0.2987949748833974,0.01843394214908282,-6.306636969248454,0.021390646696090698
