episode,total_step,group_id,theta_pv,theta_svc,theta_cap,line_loss_mwh,under_guard_excursion,over_guard_excursion,under_steps,over_steps,event_day,pf_fail_steps
0,96,4,1.1026259660720825,1.0176818370819092,0.4868961274623871,2.6212611202691307,0.055569517555555725,0.04073148875055166,6,17,1,0
1,192,5,1.333793044090271,0.7178369164466858,0.9194334149360657,2.842768353300353,0.042762065756336676,0.06334716064364887,5,27,1,0
2,288,0,0.974654495716095,0.9018738269805908,0.4285861849784851,1.9176536313021437,0.05587512751984858,0.0504165577343243,9,8,1,0
3,384,3,0.8571339249610901,1.435469627380371,0.7166582345962524,2.5073688653072264,0.017706225843717616,0.04493525916399865,1,7,1,0
4,480,6,1.1098872423171997,1.2059489488601685,0.1072092205286026,2.606751818441306,0.07445423046214061,0.04836359103830534,7,16,1,0
5,576,2,0.9820009469985962,1.279968023300171,0.44390082359313965,2.5255175721775234,0.0686147316889959,0.04985553341722615,4,17,1,0
6,672,7,1.3149422407150269,1.233778715133667,0.5923036336898804,3.1690904107839986,0.06076879890216802,0.09550560290473631,13,20,1,0
7,768,1,0.8429954648017883,1.0178393125534058,0.7892868518829346,1.9920870420968144,0.039071906230772724,0.03952991563255748,4,10,1,0
8,864,7,1.2419214248657227,1.471795916557312,0.7476926445960999,4.08918821659289,0.06750294692903558,0.05720341628598491,5,30,1,0
9,960,2,0.963524580001831,1.442952275276184,0.03418096899986267,2.3763672493931485,0.046558760915539676,0.06655044183766101,4,6,1,0
10,1056,0,1.0980168581008911,1.0120083093643188,0.3677677810192108,2.2663327195546135,0.05012327252630644,0.07204560068704913,6,11,1,0
11,1152,1,0.8013075590133667,0.9681749939918518,0.7205689549446106,2.0222574977442167,0.018509022435849065,0.0472990906653854,3,16,1,0
12,1248,6,1.2128249406814575,1.2251144647598267,0.11420919746160507,3.1019428944142455,0.0567843750132796,0.06537238966248893,6,29,1,0
13,1344,5,1.152099847793579,0.9922738671302795,0.7166303396224976,2.872466385542523,0.08576150037659147,0.053365421825857906,6,26,1,0
14,1440,4,1.3685479164123535,0.8059636950492859,0.16541339457035065,2.8234310748856424,0.05854640563442115,0.11787612432127004,8,22,1,0
15,1536,3,1.073185920715332,1.3298763036727905,0.8957392573356628,3.0468257501732485,0.06950152800541365,0.07739473026313082,5,18,1,0
16,1632,6,1.4231690168380737,1.4122684001922607,0.0774289220571518,3.6181666795856264,0.045803930685212935,0.05770403528793344,10,26,1,0
17,1728,4,1.234307050704956,0.9056338667869568,0.09696078300476074,2.6513797604756912,0.05658079930978255,0.06905416096816097,5,19,1,0
18,1824,5,1.2101937532424927,0.8599721193313599,0.8878419399261475,3.0939394914800653,0.13485863376818163,0.06586944265729633,6,22,1,0
19,1920,1,0.7365343570709229,0.8515640497207642,0.5634486675262451,1.4657015181206794,0.016087573102871122,0.03659912587292413,4,5,1,0
20,2016,7,1.460477590560913,1.4273014068603516,0.5517624020576477,4.2617141968848085,0.026370990021352014,0.12755291329614304,3,32,1,0
21,2112,3,1.0987648963928223,1.1104639768600464,0.7591000199317932,2.819884513747826,0.052317669181587645,0.06523893671902892,9,14,1,0
22,2208,2,1.030081868171692,1.456451654434204,0.11199229210615158,2.763460938049547,0.06039337098412734,0.05912128055808341,7,14,1,0
23,2304,0,1.065558910369873,0.7589454054832458,0.1375388205051422,1.7320535945428277,0.04489575405171953,0.037380613529492734,8,3,1,0
24,2400,1,0.7958770394325256,1.0457425117492676,0.7684545516967773,1.8224400362490019,0.02117249369711449,0.038586680022333786,5,8,1,0
25,2496,3,0.9986593723297119,1.2716864347457886,0.7316723465919495,2.6193415050289524,0.021278968488401717,0.06565612146099942,6,12,1,0
26,2592,7,1.4080690145492554,1.2774198055267334,0.9070351123809814,3.337002354342901,0.05550212420757328,0.05722327131584537,5,20,1,0
27,2688,0,0.9350402355194092,0.7850862741470337,0.31326964497566223,1.6892398929103436,0.04891150970064928,0.032502009339095306,5,7,1,0
28,2784,6,1.1475632190704346,1.301244854927063,0.42932674288749695,2.54850138280312,0.07418905016051536,0.06445265010247958,8,10,1,0
29,2880,5,1.488449215888977,1.0471192598342896,0.8244924545288086,3.3446791516524366,0.08902894831070873,0.10496810699333659,7,27,1,0
30,2976,4,1.2377490997314453,0.9467182159423828,0.3808192312717438,2.5607168496859356,0.06529209139697845,0.035800932904535676,21,7,1,0
31,3072,2,1.0426276922225952,1.2242271900177002,0.07662687450647354,2.3277724944204805,0.012133039244686117,0.06335387286466077,2,12,1,0
32,3168,3,0.8492353558540344,1.368322730064392,0.7675098776817322,2.3741911745485402,0.0,0.03451634544870652,0,9,1,0
33,3264,5,1.2484511137008667,0.7838494777679443,0.83383709192276,2.814477787669412,0.10884952597121877,0.06139771191340904,5,17,1,0
34,3360,2,1.0882200002670288,1.4974004030227661,0.2913622260093689,2.7912084296325994,0.061060537554354144,0.0314857182489201,6,13,1,0
35,3456,6,1.3633675575256348,1.140276551246643,0.17646300792694092,2.785782208521934,0.05920623232641131,0.07221687262822707,10,18,1,0
36,3552,1,1.0321993827819824,0.8085415959358215,0.5100083351135254,1.9151629663747554,0.1056896634900455,0.03490443229468476,6,11,1,0
37,3648,7,1.1316102743148804,1.1888506412506104,0.6897549033164978,2.653704663511152,0.03716540217389652,0.048486245154411245,6,17,1,0
38,3744,0,0.7113640308380127,1.0578007698059082,0.2800593078136444,1.527589108918898,0.02677920908003495,0.03938196963910934,4,4,1,0
39,3840,4,1.3787864446640015,0.9091170430183411,0.3317042291164398,2.8728111560948846,0.08379831490507539,0.049338893226249514,11,21,1,0
40,3936,6,1.4860105514526367,1.3404197692871094,0.3126351833343506,3.837611413474764,0.16543031104321848,0.04141032730094807,18,20,1,0
41,4032,4,1.2915955781936646,0.8267116546630859,0.30161216855049133,2.356551887621069,0.07160564951268822,0.05789458221150601,10,14,1,0
