update,total_step,policy_loss,reward_value_loss,under_value_loss,over_value_loss,entropy,approx_kl,group_weight_g0,cvar_g0_under,lambda_g0_under,history_n_g0_under,cvar_g0_over,lambda_g0_over,history_n_g0_over,group_weight_g1,cvar_g1_under,lambda_g1_under,history_n_g1_under,cvar_g1_over,lambda_g1_over,history_n_g1_over,group_weight_g2,cvar_g2_under,lambda_g2_under,history_n_g2_under,cvar_g2_over,lambda_g2_over,history_n_g2_over,group_weight_g3,cvar_g3_under,lambda_g3_under,history_n_g3_under,cvar_g3_over,lambda_g3_over,history_n_g3_over,group_weight_g4,cvar_g4_under,lambda_g4_under,history_n_g4_under,cvar_g4_over,lambda_g4_over,history_n_g4_over,group_weight_g5,cvar_g5_under,lambda_g5_under,history_n_g5_under,cvar_g5_over,lambda_g5_over,history_n_g5_over,group_weight_g6,cvar_g6_under,lambda_g6_under,history_n_g6_under,cvar_g6_over,lambda_g6_over,history_n_g6_over,group_weight_g7,cvar_g7_under,lambda_g7_under,history_n_g7_under,cvar_g7_over,lambda_g7_over,history_n_g7_over
1,2048,0.5055435746908188,0.2257076557725668,0.006141133315395564,0.005973963707219809,-2.3260878324508667,0.027510683983564377,0.12690754558680817,0.05587512751984858,3.543756375992429,2,0.07204560068704913,4.3522800343524555,2,0.11164718089234275,0.039071906230772724,2.703595311538636,3,0.0472990906653854,3.11495453326927,3,0.12690754558680817,0.0686147316889959,4.180736584449795,2,0.06655044183766101,4.077522091883051,2,0.12690754558680817,0.06950152800541365,4.225076400270682,2,0.07739473026313082,4.619736513156541,2,0.12690754558680817,0.05854640563442115,3.6773202817210575,3,0.11787612432127004,6.643806216063502,3,0.12690754558680817,0.13485863376818163,7.492931688409081,3,0.06586944265729633,4.043472132864816,3,0.12690754558680817,0.07445423046214061,4.47271152310703,3,0.06537238966248893,4.018619483124446,3,0.12690754558680817,0.06750294692903558,4.1251473464517785,3,0.12755291329614304,7.127645664807152,3
2,4096,1.5436900109052658,0.06860460061579943,0.0006746888684574515,0.0004941400911775418,-2.6099757254123688,0.03818034008145332,0.12690754558680817,0.05587512751984858,6.087512751984858,5,0.07204560068704913,7.704560068704911,5,0.11164718089234274,0.1056896634900455,7.73807848604091,5,0.0472990906653854,5.22990906653854,5,0.12690754558680817,0.0686147316889959,7.36147316889959,5,0.06655044183766101,7.155044183766101,5,0.12690754558680817,0.06950152800541365,7.450152800541364,5,0.07739473026313082,8.239473026313082,5,0.12690754558680817,0.08379831490507539,7.617236026974826,6,0.11787612432127004,12.287612432127004,6,0.12690754558680817,0.13485863376818163,13.985863376818163,5,0.10496810699333659,9.041877482531646,5,0.12690754558680817,0.16543031104321848,12.494227075267954,6,0.07221687262822707,7.379463114535799,6,0.12690754558680817,0.06750294692903558,7.250294692903557,5,0.12755291329614304,13.255291329614304,5
3,6144,1.8212354891002178,0.0505338036455214,0.00036140327938483097,0.00034296162993996404,-2.8943454921245575,0.07850426435470581,0.12690754558680817,0.05587512751984858,8.631269127977287,8,0.07204560068704913,11.056840103057366,8,0.11164718089234274,0.1056896634900455,12.772561660543186,8,0.062037656844076805,8.08179190874238,8,0.12690754558680817,0.0686147316889959,10.542209753349384,8,0.06655044183766101,10.232566275649152,8,0.12690754558680817,0.06950152800541365,10.675229200812046,8,0.07739473026313082,11.859209539469623,8,0.12690754558680817,0.08379831490507539,11.557151772228595,8,0.11787612432127004,17.931418648190505,8,0.12690754558680817,0.13485863376818163,20.0,8,0.10496810699333659,14.040282832198475,8,0.12690754558680817,0.16543031104321848,20.0,8,0.07221687262822707,10.740306745947152,8,0.12690754558680817,0.08900719475171603,11.450654430489358,8,0.12755291329614304,19.382936994421456,8
4,8192,1.136420525610447,0.03897305368445814,0.0002701544878315569,0.0001820298418048575,-3.180406163136164,0.025364549830555916,0.12690754558680817,0.05299920002307751,11.031229129131162,11,0.06123107921068671,13.868394063591701,11,0.11164718089234274,0.07238078486040911,16.141600903563642,11,0.0546683737547311,10.565210596478934,11,0.12690754558680817,0.06483763462167502,13.534091484433135,11,0.06495215735116089,13.230174143207197,11,0.12690754558680817,0.06950152800541365,13.900305601082728,10,0.07739473026313082,15.478946052626164,10,0.12690754558680817,0.08223002849327754,15.418653196892471,11,0.09747809962055176,20.0,11,0.12690754558680817,0.1218540798697002,20.0,11,0.08541877482531646,18.061221573464298,11,0.12690754558680817,0.16543031104321848,20.0,10,0.07221687262822707,14.101150377358504,10,0.12690754558680817,0.08900719475171603,15.651014168075159,10,0.12755291329614304,20.0,10
5,10240,0.8665505150953928,0.031905001029372215,0.00018411187011224683,0.00010673594958158598,-3.465809017419815,0.02364441752433777,0.12690754558680817,0.055021501150978425,13.532304186680083,13,0.06123107921068671,16.679948024126038,13,0.11164718089234271,0.07630264469502107,19.706733138314696,13,0.0546683737547311,13.04862928421549,13,0.12690754558680817,0.06483763462167502,16.525973215516885,13,0.06495215735116089,16.227782010765242,13,0.12690754558680817,0.06671714006207924,16.98616260418669,14,0.07152542586206512,18.805217345729417,14,0.12690754558680817,0.08223002849327754,19.28015462155635,14,0.09747809962055176,20.0,14,0.12690754558680817,0.1218540798697002,20.0,13,0.08541877482531646,20.0,13,0.12690754558680817,0.12277976317189004,20.0,13,0.068794631145358,17.290881934626405,13,0.12690754558680817,0.08128318906794602,19.46517362147246,13,0.11152925810043968,20.0,13
6,12288,0.19508999958634377,0.02549481566529721,0.00011062312751164427,7.06964565324597e-05,-3.749006927013397,0.026664413511753082,0.12690754558680817,0.055021501150978425,16.033379244229003,16,0.06123107921068671,19.491501984660374,16,0.11164718089234271,0.07630264469502107,20.0,16,0.0546683737547311,15.532047971952046,16,0.12690754558680817,0.06483763462167502,19.517854946600636,16,0.06495215735116089,19.225389878323288,16,0.12690754558680817,0.06671714006207924,20.0,16,0.07152542586206512,20.0,16,0.12690754558680817,0.08223002849327754,20.0,16,0.09747809962055176,20.0,16,0.12690754558680817,0.1218540798697002,20.0,16,0.08541877482531646,20.0,16,0.12690754558680817,0.12277976317189004,20.0,16,0.068794631145358,20.0,16,0.12690754558680817,0.08128318906794602,20.0,16,0.11152925810043968,20.0,16
7,14336,1.0203759372234344,0.017714409506879747,7.202208826129208e-05,3.745051844816771e-05,-4.031443893909454,0.02116045355796814,0.12690754558680817,0.055021501150978425,18.534454301777924,19,0.06123107921068671,20.0,19,0.11164718089234271,0.07630264469502107,20.0,18,0.0546683737547311,18.015466659688602,18,0.12690754558680817,0.06483763462167502,20.0,18,0.06495215735116089,20.0,18,0.12690754558680817,0.06671714006207924,20.0,19,0.07152542586206512,20.0,19,0.12690754558680817,0.08223002849327754,20.0,19,0.09747809962055176,20.0,19,0.12690754558680817,0.1218540798697002,20.0,18,0.08541877482531646,20.0,18,0.12690754558680817,0.12277976317189004,20.0,19,0.068794631145358,20.0,19,0.12690754558680817,0.08128318906794602,20.0,19,0.11152925810043968,20.0,19
8,16384,-1.4173187265793483,0.015796117872620623,2.1054284350915015e-05,2.4473769144606194e-05,-4.3189142147699995,0.03397533297538757,0.12495991032138445,0.053388758276087765,20.0,21,0.05394804268682759,20.0,21,0.11189066352595604,0.06422446788305758,20.0,21,0.05150730586910764,20.0,21,0.12719157102544326,0.06335621340915913,20.0,22,0.06300853175346839,20.0,22,0.12719157102544326,0.061917316435248705,20.0,21,0.06942992948105305,20.0,21,0.12719157102544326,0.08113357013947353,20.0,22,0.08864673181337324,20.0,22,0.12719157102544326,0.11347719118413084,20.0,21,0.07806157009809393,20.0,21,0.12719157102544326,0.10667125226864023,20.0,21,0.0673473041310652,20.0,21,0.12719157102544326,0.0771661009871553,20.0,21,0.09652922964646742,20.0,21
9,18432,-1.3277416378259659,0.015591550152748823,1.5635670592928363e-05,1.9834126533169183e-05,-4.600431740283966,0.020111076533794403,0.12304276965654862,0.053388758276087765,20.0,24,0.05394804268682759,20.0,24,0.11213033389256337,0.06422446788305758,20.0,24,0.05150730586910764,20.0,24,0.12747114940848134,0.06335621340915913,20.0,24,0.06300853175346839,20.0,24,0.12747114940848134,0.061917316435248705,20.0,24,0.06942992948105305,20.0,24,0.12747114940848134,0.08113357013947353,20.0,24,0.08864673181337324,20.0,24,0.12747114940848134,0.11347719118413084,20.0,24,0.07806157009809393,20.0,24,0.12747114940848134,0.10667125226864023,20.0,24,0.0673473041310652,20.0,24,0.12747114940848134,0.0771661009871553,20.0,24,0.09652922964646742,20.0,24
10,20480,0.26391976326704025,0.014368970121722668,9.679437198428786e-06,1.2412260161909217e-05,-4.885924905538559,0.05130420997738838,0.12115582735813188,0.053388758276087765,20.0,27,0.05394804268682759,20.0,27,0.11236622902572886,0.06422446788305758,20.0,27,0.05150730586910764,20.0,27,0.1277463239360232,0.06335621340915913,20.0,26,0.06300853175346839,20.0,26,0.1277463239360232,0.061917316435248705,20.0,27,0.06942992948105305,20.0,27,0.1277463239360232,0.08113357013947353,20.0,27,0.08864673181337324,20.0,27,0.1277463239360232,0.11347719118413084,20.0,27,0.07806157009809393,20.0,27,0.1277463239360232,0.10667125226864023,20.0,26,0.0673473041310652,20.0,26,0.1277463239360232,0.0771661009871553,20.0,26,0.09652922964646742,20.0,26
11,22528,0.7941696494817734,0.01735773333348334,9.275123147745035e-06,1.3896126461077074e-05,-5.1693578362464905,0.0389714278280735,0.11929878329459626,0.053388758276087765,20.0,29,0.05394804268682759,20.0,29,0.11259838644624431,0.06422446788305758,20.0,29,0.05150730586910764,20.0,29,0.12801713837652656,0.06335621340915913,20.0,30,0.06300853175346839,20.0,30,0.12801713837652656,0.061917316435248705,20.0,29,0.06942992948105305,20.0,29,0.12801713837652656,0.08113357013947353,20.0,29,0.08864673181337324,20.0,29,0.12801713837652656,0.11347719118413084,20.0,29,0.07806157009809393,20.0,29,0.12801713837652656,0.10667125226864023,20.0,29,0.0673473041310652,20.0,29,0.12801713837652656,0.0771661009871553,20.0,30,0.09652922964646742,20.0,30
12,24576,-1.2216524243354798,0.012172071915119886,2.319604780609552e-06,1.0374465659879206e-05,-5.457406914234161,0.049436964094638824,0.11461581865093029,0.05226944613222814,20.0,32,0.049806185397493874,20.0,32,0.11318382489295979,0.057936327469986365,20.0,32,0.0485129583099701,20.0,32,0.12870005940935164,0.059948831229222094,20.0,32,0.059720282169407835,20.0,32,0.12870005940935164,0.05515792024424332,20.0,32,0.06489745170358963,20.0,32,0.12870005940935164,0.07992785944447273,20.0,32,0.08374858910207017,20.0,32,0.12870005940935164,0.10736513046577531,20.0,32,0.0738956055519227,20.0,32,0.12870005940935164,0.09855070174160901,20.0,32,0.06493648692028225,20.0,32,0.12870005940935164,0.07479771687647258,20.0,32,0.08750499232534203,20.0,32
13,26624,-0.269615039229393,0.012010193429887295,2.71480479341335e-06,9.42468568609911e-06,-5.7381831407547,0.04169227182865143,0.11012683167460031,0.05226944613222814,20.0,35,0.049806185397493874,20.0,35,0.11374501332010353,0.057936327469986365,20.0,34,0.0485129583099701,20.0,34,0.1293546925008827,0.059948831229222094,20.0,34,0.059720282169407835,20.0,34,0.1293546925008827,0.05515792024424332,20.0,35,0.06489745170358963,20.0,35,0.1293546925008827,0.07992785944447273,20.0,35,0.08374858910207017,20.0,35,0.1293546925008827,0.10736513046577531,20.0,35,0.0738956055519227,20.0,35,0.1293546925008827,0.09855070174160901,20.0,35,0.06493648692028225,20.0,35,0.1293546925008827,0.07479771687647258,20.0,34,0.08750499232534203,20.0,34
14,28672,0.45262838900089264,0.012082717148587108,1.1119429785821922e-06,2.567403612374619e-06,-6.022577404975891,0.046121254563331604,0.10582629883829116,0.05226944613222814,20.0,37,0.049806185397493874,20.0,37,0.11428264224863774,0.057936327469986365,20.0,37,0.0485129583099701,20.0,37,0.1299818431521785,0.059948831229222094,20.0,37,0.059720282169407835,20.0,37,0.1299818431521785,0.05515792024424332,20.0,37,0.06489745170358963,20.0,37,0.1299818431521785,0.07992785944447273,20.0,37,0.08374858910207017,20.0,37,0.1299818431521785,0.10736513046577531,20.0,38,0.0738956055519227,20.0,38,0.1299818431521785,0.09855070174160901,20.0,37,0.06493648692028225,20.0,37,0.1299818431521785,0.07479771687647258,20.0,38,0.08750499232534203,20.0,38
15,28800,-12.542995929718018,0.00896063819527626,8.055235980464204e-07,1.0718826501943113e-06,-6.306541681289673,0.02001183107495308,0.10170861224947456,0.05226944613222814,20.0,37,0.049806185397493874,20.0,37,0.11479741274639893,0.057936327469986365,20.0,38,0.0485129583099701,20.0,38,0.1305823291673544,0.059948831229222094,20.0,37,0.059720282169407835,20.0,37,0.1305823291673544,0.05515792024424332,20.0,37,0.06489745170358963,20.0,37,0.1305823291673544,0.07992785944447273,20.0,38,0.08374858910207017,20.0,38,0.1305823291673544,0.10736513046577531,20.0,38,0.0738956055519227,20.0,38,0.1305823291673544,0.09855070174160901,20.0,37,0.06493648692028225,20.0,37,0.1305823291673544,0.07479771687647258,20.0,38,0.08750499232534203,20.0,38
