candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,solve_total_seconds,inherited_steps,direct_fallback_steps
0,0,1,96,0.225,0.0,0.0,1,0,0,1,0.6149064346276991,0.9510000026375353,1.0000000000028597,8.837156699999468,0,0
1,0,1,96,0.3,0.0,0.0,1,0,0,1,0.9873497507771175,0.9510000011870654,1.0163721321697774,10.60573519996251,11,0
2,0,1,96,0.3,0.1875,0.0,0,0,0,0,1.9694027321287242,0.9510000006244519,1.0000000000045821,21.670835699973395,0,0
3,0,1,96,0.3,0.375,0.0,0,0,0,0,1.7395269320681357,0.9518435773451517,1.0000000000044003,21.873926399974152,0,0
4,0,1,96,0.45,0.375,0.0,0,0,0,0,1.7366912403892873,0.9518122926313085,1.000000000002287,21.370250800071517,45,0
5,0,1,96,0.45,0.5625,0.0,0,0,0,0,1.7360325292179881,0.9518122926313085,1.0000000000014133,21.225328100146726,58,0
6,0,1,96,0.45,0.75,0.0,0,0,0,0,1.736041001959998,0.9518122926313085,1.0000000000014333,20.966895499965176,75,0
7,0,1,96,0.6,0.75,0.0,0,0,0,0,1.736051929966671,0.9518122926313085,1.0000000000011735,20.901736399740912,75,0
8,0,1,96,0.75,0.75,0.0,0,0,0,0,1.736151049618815,0.9518122926313085,1.0000000000006477,20.965403000242077,82,0
0,1,15,1440,0.225,0.0,0.0,1,0,0,1,0.46974943759097487,0.9510000019442685,0.9999999999998271,5.745495899958769,0,0
1,1,15,1440,0.3,0.0,0.0,1,0,0,1,0.6347409642371469,0.9509994661713806,1.0104209667374944,6.065414600074291,10,0
2,1,15,1440,0.3,0.1875,0.0,1,0,0,1,1.9805129228882046,0.9510000010514519,1.0082534884771261,15.285971199715277,0,0
3,1,15,1440,0.3,0.375,0.0,0,0,0,0,2.286330157158374,0.9510000120095617,1.0000000000043208,21.86828170006629,0,0
4,1,15,1440,0.45,0.375,0.0,0,0,0,0,2.287165361444175,0.9510000673259701,1.000000000001583,21.37769930009381,78,0
5,1,15,1440,0.45,0.5625,0.0,0,0,0,0,2.284366822539375,0.9510749068912304,1.000000000001065,21.280295600241516,82,0
6,1,15,1440,0.45,0.75,0.0,0,0,0,0,2.2839477534425776,0.9510749068912304,1.0000000000010203,21.266672899975674,85,0
7,1,15,1440,0.6,0.75,0.0,0,0,0,0,2.283592210905271,0.9510749068912304,1.0000000000008669,21.180120499891927,85,0
8,1,15,1440,0.75,0.75,0.0,0,0,0,0,2.283664079605382,0.9510749068912304,1.000000000000788,21.336164200038183,84,0
0,2,38,3648,0.225,0.0,0.0,1,0,0,1,0.5383602109073738,0.9510000017229139,1.0107001207013762,5.913965799991274,0,0
1,2,38,3648,0.3,0.0,0.0,1,0,0,1,0.7003683459783868,0.9510000089968309,1.0104824283853018,6.180408599961083,6,0
2,2,38,3648,0.3,0.1875,0.0,1,0,0,1,2.1121709647360367,0.951000003055772,1.0178400375472616,15.989983200008282,0,0
3,2,38,3648,0.3,0.375,0.0,0,0,0,0,2.253356424092771,0.9510000292499649,1.0000000000044065,21.716531599930022,0,0
4,2,38,3648,0.45,0.375,0.0,0,0,0,0,2.2533113496616055,0.9510848732777645,1.0000000000015865,21.48246489992016,50,0
5,2,38,3648,0.45,0.5625,0.0,0,0,0,0,2.252051911207485,0.9510848732777645,1.000000000001029,21.15466369994101,82,0
6,2,38,3648,0.45,0.75,0.0,0,0,0,0,2.2512842515068283,0.9510848732777645,1.0000000000012998,21.650521499919705,71,0
7,2,38,3648,0.6,0.75,0.0,0,0,0,0,2.2510165716199713,0.9510848732777645,1.0000000000009763,21.178426199854584,84,0
8,2,38,3648,0.75,0.75,0.0,0,0,0,0,2.2510749523703915,0.9510848732777645,1.0000000000009635,21.443618299788795,83,0
0,3,39,3744,0.225,0.0,0.0,1,0,0,1,0.5208305244748568,0.9510000019557825,1.0085218307279722,5.5232189999951515,0,0
1,3,39,3744,0.3,0.0,0.0,1,0,0,1,0.6935466937418872,0.9509994921542891,1.0181010483291595,5.985637700010557,7,0
2,3,39,3744,0.3,0.1875,0.0,1,0,0,1,2.420745107194302,0.9510000008384405,1.0148266436607725,18.17246370005887,0,0
3,3,39,3744,0.3,0.375,0.0,0,0,0,0,2.218084227365336,0.9510000025607751,1.000751369158116,21.722503600118216,0,0
4,3,39,3744,0.45,0.375,0.0,0,0,0,0,2.2164505688854232,0.9510000526234194,1.000730325991199,21.42206729997997,47,0
5,3,39,3744,0.45,0.5625,0.0,0,0,0,0,2.210037133743702,0.9510706467953463,1.0007157995957099,21.550863300042693,69,0
6,3,39,3744,0.45,0.75,0.0,0,0,0,0,2.20951306445365,0.9510706467953463,1.0007163708851954,21.706205899856286,63,0
7,3,39,3744,0.6,0.75,0.0,0,0,0,0,2.20922258095642,0.9510706467953463,1.0007176008627325,21.254074800031958,72,0
8,3,39,3744,0.75,0.75,0.0,0,0,0,0,2.2093477475094305,0.9510706467953463,1.0007172167597085,21.536286499875132,75,0
0,5,56,5376,0.225,0.0,0.0,0,0,0,0,1.4236008534790376,0.9510000008852414,1.003426988960696,20.902859999914654,0,0
1,5,56,5376,0.3,0.0,0.0,0,0,0,0,1.4234149332641572,0.9509994900269058,1.0034361304608894,21.22933209995972,35,0
2,5,56,5376,0.3,0.1875,0.0,0,0,0,0,1.1147480958186757,0.9568827317248889,1.0033548329314834,21.034973900095792,0,0
3,5,56,5376,0.3,0.375,0.0,0,0,0,0,1.0850770485450385,0.9590205387155528,1.0033150130509554,20.539628099882975,0,0
4,5,56,5376,0.45,0.375,0.0,0,0,0,0,1.0844756223141387,0.9583544496557053,1.0033252541900088,21.03437799983658,9,0
5,5,56,5376,0.45,0.5625,0.0,0,0,0,0,1.0844822831885768,0.9584693276911299,1.0033186552969755,21.62345009992714,23,0
6,5,56,5376,0.45,0.75,0.0,0,0,0,0,1.084512335293932,0.9584352393998143,1.0033186633395375,21.19365300014033,36,0
7,5,56,5376,0.6,0.75,0.0,0,0,0,0,1.0844947852091378,0.9583690347455347,1.0033186088432695,21.14203199997428,39,0
8,5,56,5376,0.75,0.75,0.0,0,0,0,0,1.084501144279138,0.958413276848282,1.0033186088432695,20.662032099906355,41,0
0,6,57,5472,0.225,0.0,0.0,1,0,0,1,0.5111118462951835,0.9510000008844305,1.0000000000013485,7.101577700028429,0,0
1,6,57,5472,0.3,0.0,0.0,1,0,0,1,1.2472101805491191,0.9510000010821992,1.034135067478695,11.356823000009172,5,0
2,6,57,5472,0.3,0.1875,0.0,0,0,0,0,1.8054566979648154,0.9510000015051059,1.0049901415198363,21.39810190006392,0,0
3,6,57,5472,0.3,0.375,0.0,0,0,0,0,1.645809266411871,0.9519716649158653,1.004903790652212,21.735927799978526,0,0
4,6,57,5472,0.45,0.375,0.0,0,0,0,0,1.643981362094587,0.9519399611420013,1.0049021659889972,21.875114100199426,37,0
5,6,57,5472,0.45,0.5625,0.0,0,0,0,0,1.6437690248537105,0.9519399611420013,1.0048977046347198,21.45201659979648,51,0
6,6,57,5472,0.45,0.75,0.0,0,0,0,0,1.6437586597139549,0.9519399611420013,1.0048985519691753,21.287296900060028,50,0
7,6,57,5472,0.6,0.75,0.0,0,0,0,0,1.6437827089681936,0.9519399611420013,1.0048996315455019,21.302066700329306,56,0
8,6,57,5472,0.75,0.75,0.0,0,0,0,0,1.6437926745880571,0.9519399611420013,1.0048984776658076,21.30965619997005,52,0
0,7,60,5760,0.225,0.0,0.0,1,0,0,1,0.5590553270610407,0.9510000013808817,0.9999999999997775,6.290226700075436,0,0
1,7,60,5760,0.3,0.0,0.0,1,0,0,1,0.7179293151992977,0.9509994827969984,1.0104097965392758,6.681712800025707,7,0
2,7,60,5760,0.3,0.1875,0.0,1,0,0,1,2.1658619169968576,0.9510000004526927,1.0085352966279404,20.084544400218874,0,0
3,7,60,5760,0.3,0.375,0.0,0,0,0,0,1.9337429689630006,0.9511325118202218,1.003877259918409,21.837038100027712,0,0
4,7,60,5760,0.45,0.375,0.0,0,0,0,0,1.9322087981220442,0.9511066599380696,1.0038771192631208,21.582348499970976,51,0
5,7,60,5760,0.45,0.5625,0.0,0,0,0,0,1.931854589981967,0.9511066599380696,1.0038771192631208,21.62858800002141,72,0
6,7,60,5760,0.45,0.75,0.0,0,0,0,0,1.9318090111003057,0.9511066599380696,1.0038771192631208,21.207056300074328,72,0
7,7,60,5760,0.6,0.75,0.0,0,0,0,0,1.9318181681053337,0.9511066599380696,1.0038771192631208,20.707621199981077,78,0
8,7,60,5760,0.75,0.75,0.0,0,0,0,0,1.9318283960540314,0.9511066599380696,1.0038771192631208,21.05486879986711,78,0
0,8,72,6912,0.225,0.0,0.0,1,0,0,1,0.5267891920639807,0.9510000100542236,1.0037116771333763,7.08107580000069,0,0
1,8,72,6912,0.3,0.0,0.0,1,0,0,1,1.2257680709866754,0.9510000009292032,1.03707318414791,11.219071300060023,7,0
2,8,72,6912,0.3,0.1875,0.0,0,0,0,0,1.8708101707346492,0.9510000006168153,1.007073529134509,21.489864399976796,0,0
3,8,72,6912,0.3,0.375,0.0,0,0,0,0,1.6519447543995196,0.95134582569627,1.0070055611443722,21.740240999904927,0,0
4,8,72,6912,0.45,0.375,0.0,0,0,0,0,1.6507720067790916,0.9513166102738624,1.0070053474666854,21.60359290006454,45,0
5,8,72,6912,0.45,0.5625,0.0,0,0,0,0,1.6502427423146497,0.9513166102738624,1.007003245135714,21.20508339992375,55,0
6,8,72,6912,0.45,0.75,0.0,0,0,0,0,1.6502008367654286,0.9513166102738624,1.0070033561671208,20.886398299975554,53,0
7,8,72,6912,0.6,0.75,0.0,0,0,0,0,1.6502325626543741,0.9513166102738624,1.0070054731422555,21.295386800105916,61,0
8,8,72,6912,0.75,0.75,0.0,0,0,0,0,1.650230329279754,0.9513166102738624,1.0070060999108708,21.607498100143857,60,0
0,10,107,10272,0.225,0.0,0.0,1,0,0,1,0.6023446725885242,0.9510000074707334,1.0170477101679667,8.328800900024362,0,0
1,10,107,10272,0.3,0.0,0.0,1,0,0,1,1.3430903020768692,0.9510000013240805,1.0315734424468357,12.956765699811513,15,0
2,10,107,10272,0.3,0.1875,0.0,0,0,0,0,1.557842640670295,0.951298556461946,1.0046236520472545,21.034787299926393,0,0
3,10,107,10272,0.3,0.375,0.0,0,0,0,0,1.4777706674541842,0.9549521243734441,1.0045600962924996,21.45650310011115,0,0
4,10,107,10272,0.45,0.375,0.0,0,0,0,0,1.476746518491935,0.9549182464357412,1.0045628965661788,21.072576199861942,42,0
5,10,107,10272,0.45,0.5625,0.0,0,0,0,0,1.4757451787924447,0.9549182464357412,1.0045595107022829,21.21603809981025,44,0
6,10,107,10272,0.45,0.75,0.0,0,0,0,0,1.47573938219334,0.9549182464357412,1.0045596707856517,21.26753669977188,46,0
