epoch,training_mse,validation_mse
1,0.0028035257294374916,0.0007913506706245244
2,0.0002000567458578319,0.00011172548693139106
3,7.958061602645709e-05,6.146313535282388e-05
4,5.031259210920238e-05,3.973840284743346e-05
5,3.223125566451234e-05,3.310539250378497e-05
6,3.24647186235303e-05,3.51905582647305e-05
7,2.571278987705314e-05,2.5323490262962878e-05
8,2.66054237597148e-05,2.310707168362569e-05
9,2.2548650208807973e-05,2.08996279980056e-05
10,2.2529766738443868e-05,4.483642624109052e-05
11,3.108268670292178e-05,3.356705929036252e-05
12,2.360222643325133e-05,1.8710898075369187e-05
13,2.5026197449949993e-05,2.048115129582584e-05
14,2.4096508067963268e-05,2.2913236534805037e-05
15,2.3801821845111027e-05,2.0454746845643967e-05
16,2.2810843217614873e-05,3.338195529067889e-05
17,2.367038914166014e-05,3.5459681384963915e-05
18,2.7680929363105817e-05,2.121600482496433e-05
19,2.0937208167500405e-05,2.2820420781499706e-05
20,2.2797839132441107e-05,2.5618810468586162e-05
21,2.327824774641028e-05,2.8195396225783043e-05
22,2.3873557243600123e-05,1.9590848751249723e-05
23,2.3358775988093666e-05,2.656456308613997e-05
24,2.299064098700737e-05,1.9842353140120395e-05
25,2.0076228360093885e-05,3.684213515953161e-05
26,2.9751206944811636e-05,3.983674105256796e-05
27,3.3111548851766636e-05,2.487671372364275e-05
28,1.9679407982732212e-05,2.2656402506981976e-05
29,1.893727681774527e-05,2.6112264094990678e-05
30,2.0423162801480864e-05,2.195892739109695e-05
31,2.151274185009589e-05,2.367297201999463e-05
32,1.9036151938746028e-05,2.6719377274275757e-05
33,2.1312280296115205e-05,1.757795507728588e-05
34,2.38128045783101e-05,1.8376487787463702e-05
35,1.8920066568604116e-05,2.2648451704299077e-05
36,1.88244845005448e-05,1.67246580531355e-05
37,1.737275007534273e-05,2.3484926714445464e-05
38,1.9155729443723213e-05,1.6703499568393454e-05
39,1.8501727200124324e-05,1.7339665646431968e-05
40,1.7141471506052075e-05,1.7295982615905814e-05
41,2.0441150852656436e-05,1.532113310531713e-05
42,2.110015800228991e-05,3.4727017919067293e-05
43,2.0003921820586713e-05,1.4461001228482928e-05
44,1.8537646123409752e-05,1.6084524759207852e-05
45,1.6572871053150656e-05,1.3678240065928549e-05
46,1.945580875361061e-05,2.7089405193692073e-05
47,2.2003969661454903e-05,2.7790705644292757e-05
48,2.0004089080993298e-05,1.6021453120629303e-05
49,1.7908248255913523e-05,1.682754373177886e-05
50,2.111602341193204e-05,1.9403922124183737e-05
51,2.067804851841564e-05,1.6912039427552372e-05
52,1.9757428769177448e-05,1.7896134522743523e-05
53,1.840547244163255e-05,1.6950103599810973e-05
54,1.7247301782065604e-05,1.5442348740180023e-05
55,1.9887966616460334e-05,2.0422878151293844e-05
56,2.0630682770604923e-05,2.146224505850114e-05
57,1.7241723721131814e-05,2.796176886477042e-05
58,1.8635710559811697e-05,3.867945270030759e-05
59,2.266386779107658e-05,1.5889352653175592e-05
60,1.7343795120506823e-05,1.9439115931163542e-05
61,1.6614326904389254e-05,1.3532482626033016e-05
62,1.7091907942639884e-05,1.515907388238702e-05
63,1.853608661067916e-05,1.6949370547081344e-05
64,1.7899809314431402e-05,1.8731523596215993e-05
65,1.769115316987847e-05,1.417452313035028e-05
66,1.8577534926104516e-05,2.5218347218469717e-05
67,1.9323648605980754e-05,1.3778652828477789e-05
68,1.7158310389017322e-05,1.3355851478991099e-05
69,1.6900856540555003e-05,1.6069763660198078e-05
70,1.951123894763268e-05,6.214769382495433e-05
71,2.8356793141678543e-05,2.25984986172989e-05
72,1.673957058301312e-05,1.7152582586277276e-05
73,1.6454972518702215e-05,1.3925307939643972e-05
74,1.6480484462244066e-05,1.146335944213206e-05
75,1.5415112838603645e-05,2.165101068385411e-05
76,1.6144106276832254e-05,1.7928032320924103e-05
77,1.7259220666823066e-05,2.30881469178712e-05
78,2.091655580573258e-05,1.34969759528758e-05
79,1.5824300394992212e-05,1.1484955393825658e-05
80,1.624328623014056e-05,1.2048928510921542e-05
81,1.5193563031278332e-05,1.1564829947019462e-05
82,1.3066678764603456e-05,1.5203280781861395e-05
83,1.4858340450917326e-05,1.6128013157867827e-05
84,1.6881688701514142e-05,2.205240525654517e-05
85,1.9280467248401173e-05,1.3222093002696056e-05
