seed,day,event,under_event,over_event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
42,0,0,0,0,0,0,0,0.9636681350789765,1.0026071149686286,0.8702871890497997,0.08539984359716375,0.12069619416002762,0.0,23.03218688172464,0.5273779630661011
42,9,0,0,0,0,0,0,0.9525966971285851,1.0,2.477434773747808,0.14615205791778862,0.19108687061413562,0.0,42.36774417903838,0.8835622156715309
42,41,0,0,0,0,0,0,0.9549203857693256,1.002700684850209,1.4801595348063135,0.11344200807313125,0.16006269602195763,0.0,30.66232077082435,0.7073431015014648
42,51,0,0,0,0,0,0,0.9526070785315228,1.0,2.1393887655857426,0.13355449315470955,0.1813737271830106,0.0,37.36379963480968,0.75
42,71,0,0,0,0,0,0,0.9530386141307553,1.009760491652632,1.5544602602788609,0.12103186462384959,0.17024817765339326,0.0,32.89491649824246,0.7477296590805054
42,120,0,0,0,0,0,0,0.9631656226780542,1.0068888013831074,0.8279106138486712,0.08993266988545656,0.1275109713093156,0.0,24.23238547897105,0.5545161366462708
42,149,0,0,0,0,0,0,0.9583945285495977,1.0080349522337222,1.3537557600613395,0.11739988749225934,0.16574659945533052,0.0,31.79165992580447,0.7077699303627014
42,175,0,0,0,0,0,0,0.963800364232835,1.0056476910230756,0.8032879689537797,0.09010343323461711,0.12769253664839814,0.0,24.27180188070375,0.5503118634223938
42,201,0,0,0,0,0,0,0.9600206019352104,1.0163590097061168,1.236072428399265,0.11255320891117056,0.15900006342302345,0.0,30.4174264380488,0.6871280670166016
42,209,0,0,0,0,0,0,0.9659124989306052,1.0149355130141697,0.8529963117209473,0.09323197657552858,0.13208078515244911,0.0,25.110967188889674,0.5894948244094849
42,216,0,0,0,0,0,0,0.965946150156605,1.0079772361118082,0.8303609440623866,0.09206095508610208,0.13051248925638878,0.0,24.795853017592552,0.5798225402832031
