"path_index","label","pv","svc","events","max_seed_events","all_zero","loss","worst_vmin","worst_vmax"
"0","P00_pv0225_svc0000","0.225","0.0","35","7","False","1.824247","0.932434","1.01374"
"1","P01_pv030_svc0000","0.3","0.0","15","3","False","1.946893","0.93776","1.015101"
"2","P02_pv030_svc01875","0.3","0.1875","15","3","False","2.036201","0.938804","1.017422"
"3","P03_pv030_svc0375","0.3","0.375","15","3","False","2.137885","0.939793","1.017101"
"4","P04_pv045_svc0375","0.45","0.375","5","1","False","1.960116","0.948338","1.018006"
"5","P05_pv045_svc05625","0.45","0.5625","2","1","False","1.949089","0.948548","1.017432"
"6","P06_pv045_svc0750","0.45","0.75","1","1","False","1.953659","0.948903","1.016854"
"7","P07_pv060_svc0750","0.6","0.75","0","0","True","1.801276","0.95134","1.017224"
"8","P08_pv075_svc0750","0.75","0.75","0","0","True","1.799707","0.952175","1.017596"
"9","P09_pv075_svc1000","0.75","1.0","0","0","True","1.800398","0.952263","1.016824"
"10","P10_pv100_svc1000","1.0","1.0","0","0","True","1.799944","0.952277","1.017435"
"11","P11_pv100_svc1250","1.0","1.25","0","0","True","1.800392","0.95232","1.01667"
"12","P12_pv125_svc1250","1.25","1.25","0","0","True","1.800147","0.95227","1.017294"
"13","P13_pv125_svc1500","1.25","1.5","0","0","True","1.800423","0.952292","1.016576"
"14","P14_pv150_svc1500","1.5","1.5","0","0","True","1.800648","0.952239","1.017165"
