capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar,evaluated_seed_days,all_seeds_zero_events,total_event_days,maximum_seed_event_days,mean_seed_loss_mwh,worst_vmin,worst_vmax
P00_pv0225_svc0000,0.225,0.0,0.0,0,4.024922359499618,0.0,0.0,50,False,41,9,1.6243348477208213,0.9287985967220983,1.0097110413012593
P01_pv030_svc0000,0.3,0.0,0.0,1,5.36656314599949,0.0,0.0,50,False,39,9,1.6207515770429541,0.9319962534297367,1.011746861858635
P02_pv030_svc01875,0.3,0.1875,0.0,2,5.36656314599949,0.375,0.0,50,False,36,8,1.619628111939738,0.9336791768704695,1.013265206647678
P03_pv030_svc0375,0.3,0.375,0.0,3,5.36656314599949,0.75,0.0,50,False,35,8,1.6189979230987295,0.9336778464365539,1.0132768309787055
P04_pv045_svc0375,0.45,0.375,0.0,4,8.049844718999235,0.75,0.0,50,False,35,8,1.7015922122049083,0.9369931482710394,1.0133265623418277
P05_pv045_svc05625,0.45,0.5625,0.0,5,8.049844718999235,1.125,0.0,50,False,35,8,1.7007566393031077,0.9369564623033592,1.0133292663960713
P06_pv045_svc0750,0.45,0.75,0.0,6,8.049844718999235,1.5,0.0,50,False,35,8,1.7007687058928576,0.9369584983252381,1.0133215461200016
P07_pv060_svc0750,0.6,0.75,0.0,7,10.73312629199898,1.5,0.0,50,False,35,8,1.7604240292775728,0.9372749440244409,1.013353209762552
P08_pv075_svc0750,0.75,0.75,0.0,8,13.416407864998725,1.5,0.0,50,False,34,8,1.7700613680472739,0.9376103704274401,1.0133684908167375
P09_pv075_svc1000,0.75,1.0,0.0,9,13.416407864998725,2.0,0.0,50,False,34,8,1.7725285174860883,0.9376175572765467,1.0132077979069456
P10_pv100_svc1000,1.0,1.0,0.0,10,17.8885438199983,2.0,0.0,50,False,33,8,1.7783686175766351,0.9381444584938561,1.0131894073467236
P11_pv100_svc1250,1.0,1.25,0.0,11,17.8885438199983,2.5,0.0,50,False,33,8,1.7819111414711355,0.9381935704858934,1.013006239538852
P12_pv125_svc1250,1.25,1.25,0.0,12,22.36067977499788,2.5,0.0,50,False,29,8,1.7885792059210393,0.9387537712941694,1.012969625462209
P13_pv125_svc1500,1.25,1.5,0.0,13,22.36067977499788,3.0,0.0,50,False,31,8,1.7932456795713398,0.9388374770162551,1.0128535248223214
P14_pv150_svc1500,1.5,1.5,0.0,14,26.83281572999745,3.0,0.0,50,False,27,8,1.7998270600473283,0.9394398315215856,1.0130519032462522
