lower_candidate_id,upper_candidate_id,paired_converged_days,mean_lower_loss_mwh,mean_upper_loss_mwh,mean_upper_minus_lower_loss_mwh,maximum_positive_increase_mwh,maximum_relative_increase,days_exceeding_tolerance,nonincreasing_within_tolerance
0,1,3,0.9426792564393421,0.9419675077003529,-0.0007117487389891597,0.0,0.0,0,True
1,2,11,1.3020277583290971,1.2897696129316556,-0.012258145397441704,0.0,0.0,0,True
2,3,13,1.3207383856760215,1.317440729469721,-0.003297656206300472,0.0,0.0,0,True
3,4,14,1.3669433801396498,1.3360568695995114,-0.03088651054013803,0.0,0.0,0,True
4,5,24,1.6678219581012208,1.6645569756546408,-0.0032649824465804758,0.0001629358866810371,0.00012672447030944714,0,True
5,6,26,1.7421822023057933,1.7386176680524676,-0.0035645342533250825,0.00013264567817339312,8.412218612516233e-05,0,True
6,7,27,1.804933738793672,1.7438369387886459,-0.0610968000050262,0.001004253705725322,0.0005759760790156333,0,True
7,8,34,2.0796602008877176,2.062121461782399,-0.01753873910531909,0.00011437569467487307,5.2692695165958194e-05,0,True
8,9,35,2.071354615383684,2.0689293894231535,-0.0024252259605305414,0.0005862994751772987,0.0003362636472795413,0,True
9,10,36,2.0675891100606005,2.06489442437511,-0.0026946856854901976,0.0011901341833318035,0.0006823549245478738,0,True
10,11,36,2.06489442437511,2.0648994564355676,5.03206045748519e-06,0.00026742399424861674,0.00010150499097821386,0,True
11,12,36,2.0663620170297197,2.0664454113486785,8.339431895896316e-05,0.0010301467695046362,0.0004746082017628832,0,True
12,13,37,2.077161381531996,2.0771387418965666,-2.2639635429429768e-05,0.0003249972105585641,0.00019719877011154224,0,True
13,14,32,2.07203028877602,2.072193437581456,0.00016314880543618487,0.000911092820758741,0.00046913763972156777,0,True
