candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,evaluated_days,mean_daily_loss_mwh,worst_vmin,worst_vmax,loss_increase_from_previous_mwh
0,0.225,0.0,0.0,3,0.9426792564393421,0.9562427907645045,1.0141736028369812,
1,0.3,0.0,0.0,3,0.9419675077003529,0.9562422405412702,1.0142853016079885,-0.0007117487389892707
2,0.3,0.1875,0.0,3,0.9376976467329053,0.9563853228933497,1.0143020948829296,-0.004269860967447525
3,0.3,0.375,0.0,3,0.9376363549404244,0.9563749966966696,1.0143026047639054,-6.129179248093308e-05
4,0.45,0.375,0.0,3,0.9376182687076905,0.9563735059550397,1.014310690334603,-1.8086232733915963e-05
5,0.45,0.5625,0.0,3,0.9376145102026258,0.9563735059550397,1.014310684403147,-3.7585050647326312e-06
6,0.45,0.75,0.0,3,0.9376147344283332,0.9563735059550397,1.014310684403147,2.2422570744584647e-07
7,0.6,0.75,0.0,3,0.9376160774818415,0.9563735059550397,1.014310684403147,1.3430535082958883e-06
8,0.75,0.75,0.0,3,0.9376046900580771,0.9563735059550397,1.014310684403147,-1.1387423764386284e-05
9,0.75,1.0,0.0,3,0.9376047337394379,0.9563735059550397,1.014310684403147,4.368136075072471e-08
10,1.0,1.0,0.0,3,0.9376010087789255,0.9563735059550397,1.0233097468284533,-3.7249605123745866e-06
11,1.0,1.25,0.0,3,0.9376010118880881,0.9563735059550397,1.0233096635648482,3.109162594050474e-09
12,1.25,1.25,0.0,3,0.937616091314106,0.9563735059550397,1.0233096635648482,1.5079426017861053e-05
13,1.25,1.5,0.0,3,0.9376185512289625,0.9563735059550397,1.0233096635648482,2.4599148565895845e-06
14,1.5,1.5,0.0,3,0.9376465121572708,0.9563735059550397,1.0233096635648482,2.7960928308257138e-05
