epoch,training_mse,validation_mse
1,0.0017047130843690997,0.0002356440672883764
2,9.922556429436164e-05,2.8273612770135514e-05
3,2.5809782571394906e-05,1.5364970749942586e-05
4,1.5345989335660954e-05,1.0905276212724857e-05
5,1.340707790188303e-05,9.914187103277072e-06
6,1.256668398733988e-05,1.0366272363171447e-05
7,1.2333306553305842e-05,9.609166227164678e-06
8,1.1666685384712072e-05,8.756431270739995e-06
9,1.179260882400697e-05,1.5833371435292065e-05
10,1.1872989922440389e-05,8.661176252644509e-06
11,1.0958530408190978e-05,8.098225407593418e-06
12,1.1031375866618223e-05,9.288369255955331e-06
13,1.019778571952927e-05,7.993124199856538e-06
14,9.755139195649895e-06,8.25797633297043e-06
15,9.710993210665903e-06,7.240328613988822e-06
16,1.0190507834652505e-05,1.0674282748368569e-05
17,1.0051067485099857e-05,7.147169071686221e-06
18,9.273309896819964e-06,7.95549203758128e-06
19,9.849521856743931e-06,6.8974327405157965e-06
20,9.416430895639461e-06,9.346919796371367e-06
21,1.022725402998774e-05,6.575149654963752e-06
22,9.877749562292593e-06,6.990453584876377e-06
23,9.913754725164922e-06,1.4517370800604112e-05
24,1.065399709702996e-05,7.750218173896428e-06
25,1.0350528273626142e-05,6.6191228142997716e-06
26,8.87133732941861e-06,8.177394192898646e-06
27,9.51007467890685e-06,6.667270099569578e-06
28,9.348805427916454e-06,1.094650633604033e-05
29,1.0883664106672985e-05,8.141790203808341e-06
30,1.022720172321507e-05,7.0983433033688925e-06
31,9.255493404496173e-06,8.697946213942487e-06
32,1.0178412183103363e-05,1.1196043487871066e-05
33,1.010012644136233e-05,6.737706826243084e-06
34,9.097653121768548e-06,9.174245860776864e-06
35,9.92683390861549e-06,6.575515271833865e-06
36,8.285862339194172e-06,6.759208645235049e-06
37,8.837005853343899e-06,1.0939602361759171e-05
38,1.0217650458885363e-05,2.095160562021192e-05
39,1.21744668766561e-05,7.767082934151404e-06
40,9.14774406217995e-06,1.2502932804636657e-05
41,1.1313912593669512e-05,9.461768968321849e-06
42,8.994629708814456e-06,1.4977058526710607e-05
43,9.1591695460617e-06,9.938076800608542e-06
44,8.914393967123552e-06,9.051199413079303e-06
45,9.601911155446682e-06,2.156605842174031e-05
46,1.0716030904707926e-05,1.0704461601562798e-05
47,8.496219617795542e-06,6.3109737311606295e-06
48,7.752385553907343e-06,9.533217053103726e-06
49,9.18322442495472e-06,7.475050551875029e-06
