action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
0.14,0.94,0.98,1.02,1.06,40,34,0,1.9916651684000712,0.9234487366231571,1.0204391660696979
0.12,0.94,0.98,1.02,1.06,40,34,0,1.9932576538588243,0.9231226135630003,1.020528403321757
0.08,0.95,0.98,1.02,1.05,40,34,0,1.998336878072148,0.922016998525365,1.020594088391533
0.08,0.94,0.98,1.02,1.06,40,34,0,2.0135566867362824,0.9219717969233748,1.0207403046982717
0.06,0.95,0.98,1.02,1.05,40,34,0,2.0169676634636162,0.9211300179760603,1.0207403046982717
0.12,0.95,0.98,1.02,1.05,40,34,0,2.027149225479918,0.9236987292653873,1.0203610884160672
0.06,0.94,0.98,1.02,1.06,40,34,0,2.0338550828066047,0.9210931995244189,1.0208629396986826
0.08,0.94,0.97,1.03,1.06,40,34,0,2.0377238340792716,0.921814660757744,1.021297380618913
0.04,0.95,0.98,1.02,1.05,40,34,0,2.050708143936478,0.9202101823253478,1.0209062858238946
0.06,0.94,0.97,1.03,1.06,40,34,0,2.0542914510339836,0.9209695817880265,1.021297380618913
0.12,0.94,0.97,1.03,1.06,40,34,0,2.0606632771836257,0.9222546253671948,1.021297380618913
0.04,0.94,0.98,1.02,1.06,40,34,0,2.0660032953263405,0.9201834562003639,1.0209966760030544
0.16,0.94,0.98,1.02,1.06,40,34,0,2.0789453342903528,0.9224671103778069,1.0203610884160672
0.04,0.94,0.97,1.03,1.06,40,34,0,2.081187516997525,0.9200969022345518,1.021297380618913
0.14,0.94,0.97,1.03,1.06,40,35,0,2.091148719012951,0.9219065964633267,1.021297380618913
0.18,0.94,0.98,1.02,1.06,40,35,0,2.1317287969994285,0.9220357551022161,1.0202941819268454
0.14,0.95,0.98,1.02,1.05,40,36,0,2.075316849894501,0.9240174255801297,1.0202743640839227
0.2,0.94,0.98,1.02,1.06,40,37,0,2.1827217710165554,0.9214021417607701,1.0202384567284724
0.16,0.94,0.97,1.03,1.06,40,38,0,2.1212445815357177,0.9212907439928936,1.021297380618913
0.16,0.95,0.98,1.02,1.05,40,38,0,2.1224493730434313,0.9237132528011152,1.0202075229404433
0.18,0.94,0.97,1.03,1.06,40,38,0,2.154095530727343,0.9203954907971423,1.021297380618913
0.18,0.95,0.98,1.02,1.05,40,38,0,2.1778763705332116,0.9231061584912494,1.0201605846507296
0.2,0.94,0.97,1.03,1.06,40,38,0,2.1912631523250656,0.9181337049467738,1.021297380618913
0.22,0.94,0.97,1.03,1.06,40,38,0,2.2327218002512477,0.914836453626321,1.021297380618913
0.22,0.94,0.98,1.02,1.06,40,38,0,2.2360597802075195,0.9205558389285177,1.0201939217943772
0.2,0.95,0.98,1.02,1.05,40,38,0,2.240650492802338,0.9218799340646363,1.0201424850271585
0.22,0.95,0.98,1.02,1.05,40,38,0,2.3093238556258227,0.9212109118370396,1.0201424850271585
