method,action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
pilot_droop,0.4,0.94,0.97,1.03,1.06,40,23,0,3.077807215053536,0.9325584517938376,1.0435669084685264
pilot_droop,0.5,0.94,0.97,1.03,1.06,40,23,0,3.3567652173532103,0.9325584517938376,1.0485979435478612
pilot_droop,0.4,0.94,0.98,1.02,1.06,40,24,0,3.44345492518069,0.9325584517938376,1.0501998543414681
pilot_droop,0.3,0.95,0.98,1.02,1.05,40,24,0,3.44345492518069,0.9325584517938376,1.0501998543414681
pilot_droop,0.25,0.95,0.98,1.02,1.05,40,25,0,2.898127980293735,0.9305651426419242,1.0446048767781977
pilot_droop,0.25,0.95,0.99,1.01,1.05,40,25,0,3.006004404992175,0.9305651426419242,1.0470770146230688
pilot_droop,0.35,0.94,0.98,1.02,1.06,40,25,0,3.195314101816917,0.9325584517938376,1.046333128603768
pilot_droop,0.35,0.94,0.97,1.03,1.06,40,26,0,2.8934244901380675,0.9325584517938376,1.0396713606332741
pilot_droop,0.6,0.94,0.97,1.03,1.06,40,26,0,3.585678738816392,0.9325584517938376,1.0511775315255116
pilot_droop,0.35,0.95,0.98,1.02,1.05,40,26,0,3.683581437782121,0.9325584517938376,1.0535479841241129
pilot_droop,0.5,0.94,0.98,1.02,1.06,40,26,0,3.7763440010612905,0.9325584517938376,1.0535704265306494
pilot_droop,0.4,0.95,0.98,1.02,1.05,40,26,0,3.857838821486889,0.9325584517938376,1.0535704265306494
pilot_droop,0.6,0.94,0.98,1.02,1.06,40,26,0,3.9942090608644607,0.9325584517938376,1.0535704265306494
pilot_droop,0.3,0.94,0.98,1.02,1.06,40,27,0,2.891131519777865,0.9325584517938376,1.0409890678456222
pilot_droop,0.3,0.95,0.99,1.01,1.05,40,27,0,3.616490615693413,0.9325584517938376,1.05317205476518
pilot_droop,0.35,0.95,0.99,1.01,1.05,40,27,0,3.9061287324688108,0.9325584517938376,1.0543851693876585
pilot_droop,0.5,0.95,0.98,1.02,1.05,40,27,0,4.102220481476364,0.9325584517938376,1.0535704265306494
pilot_droop,0.4,0.95,0.99,1.01,1.05,40,27,0,4.114991756873776,0.9325584517938376,1.0579983642985307
pilot_droop,0.8,0.94,0.98,1.02,1.06,40,28,0,4.260632624496555,0.9325584517938376,1.0550734817001006
pilot_droop,0.6,0.95,0.98,1.02,1.05,40,28,0,4.260632624496555,0.9325584517938376,1.0550734817001006
pilot_droop,0.2,0.95,0.98,1.02,1.05,40,31,0,2.43227256708584,0.9284311074795263,1.0374943619679573
pilot_droop,0.2,0.95,0.99,1.01,1.05,40,31,0,2.4894510056555603,0.9284311074795263,1.0421070832030646
pilot_droop,0.25,0.94,0.98,1.02,1.06,40,31,0,2.5226348597469452,0.9305651426419242,1.035745858021225
pilot_droop,0.3,0.94,0.97,1.03,1.06,40,31,0,2.674445504625659,0.9325584517938376,1.0353464206598326
pilot_droop,0.5,0.95,0.99,1.01,1.05,40,31,0,4.380977749359305,0.9325584517938376,1.0644427618332528
pilot_droop,1.0,0.94,0.98,1.02,1.06,40,31,0,4.4162021346678815,0.9325584517938376,1.0709282863873175
pilot_droop,0.8,0.95,0.98,1.02,1.05,40,31,0,4.441235274238744,0.9325584517938376,1.0709282863873175
pilot_droop,0.8,0.94,0.97,1.03,1.06,40,32,0,3.9369284675595653,0.9325584517938376,1.0569400428132274
pilot_droop,1.0,0.94,0.97,1.03,1.06,40,32,0,4.058825520035668,0.9325584517938376,1.0606140188653044
pilot_droop,1.0,0.95,0.98,1.02,1.05,40,32,0,4.491738593142634,0.9325584517938376,1.0709282863873175
pilot_droop,0.6,0.95,0.99,1.01,1.05,40,32,0,4.501612646425217,0.9325584517938376,1.067703560054351
pilot_droop,0.8,0.95,0.99,1.01,1.05,40,32,0,4.57842318380479,0.9325584517938376,1.070828267545332
pilot_droop,1.0,0.95,0.99,1.01,1.05,40,32,0,4.590807877859514,0.9325584517938376,1.0709282863873175
pilot_droop,0.15,0.95,0.98,1.02,1.05,40,33,0,2.0896891481050255,0.9261465878486078,1.03226041550665
pilot_droop,0.15,0.95,0.99,1.01,1.05,40,33,0,2.1129194640965077,0.9261465878486078,1.0373479464428128
pilot_droop,0.2,0.94,0.98,1.02,1.06,40,33,0,2.2161325636613936,0.9284311074795263,1.03226041550665
pilot_droop,0.25,0.94,0.97,1.03,1.06,40,33,0,2.389966657720511,0.9305651426419242,1.0305099058158085
pilot_droop,0.1,0.94,0.98,1.02,1.06,40,34,0,1.892075894529843,0.9237001433900013,1.0270672960124825
pilot_droop,0.1,0.94,0.97,1.03,1.06,40,34,0,1.8974932039949386,0.9237001433900013,1.021391716515697
pilot_droop,0.1,0.95,0.98,1.02,1.05,40,34,0,1.9075727224236085,0.9237001433900013,1.0286697989007296
pilot_droop,0.1,0.95,0.99,1.01,1.05,40,34,0,1.911645443114314,0.9237001433900013,1.0326540370780217
pilot_droop,0.15,0.94,0.97,1.03,1.06,40,34,0,1.97531757503632,0.9261465878486078,1.0221773951231345
pilot_droop,0.15,0.94,0.98,1.02,1.06,40,34,0,1.9961401970376123,0.9261465878486078,1.0295126609528207
pilot_droop,0.2,0.94,0.97,1.03,1.06,40,34,0,2.1490647318702534,0.9284311074795263,1.0253167425399154
