action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
0.14,0.94,0.98,1.02,1.06,40,31,0,1.7639218059086914,0.9330436677146088,1.0207326565644013
0.1,0.95,0.98,1.02,1.05,40,31,0,1.783845914002449,0.9299992778991096,1.0207501762092923
0.12,0.94,0.98,1.02,1.06,40,33,0,1.784177699993328,0.9314308766591572,1.0208137172652854
0.12,0.95,0.98,1.02,1.05,40,33,0,1.798144326355939,0.9321520335189174,1.0208026246218052
0.1,0.94,0.98,1.02,1.06,40,33,0,1.8148428950081097,0.9296846715457572,1.0208976898862354
0.08,0.95,0.98,1.02,1.05,40,33,0,1.8212722295855803,0.9278014245514282,1.0208706880493688
0.16,0.94,0.98,1.02,1.06,40,33,0,1.8390907693512653,0.9331042382485452,1.0208026246218052
0.12,0.94,0.97,1.03,1.06,40,33,0,1.867686761758448,0.930356350103929,1.0212994132374138
0.1,0.94,0.97,1.03,1.06,40,34,0,1.853993981580502,0.9294116189703416,1.0213010110858427
0.08,0.94,0.98,1.02,1.06,40,34,0,1.8542928750824248,0.9277583390627347,1.0209764730389348
0.06,0.95,0.98,1.02,1.05,40,34,0,1.8742053145605853,0.925559132547681,1.0209764730389348
0.08,0.94,0.97,1.03,1.06,40,34,0,1.8883305656671452,0.9276086023902422,1.0213020136574222
0.06,0.94,0.98,1.02,1.06,40,34,0,1.9053030397252944,0.9255236076263114,1.021055038468217
0.06,0.94,0.97,1.03,1.06,40,34,0,1.933627675550681,0.9254043553537996,1.0213023223177535
0.04,0.95,0.98,1.02,1.05,40,34,0,1.947751845896664,0.9232702017224969,1.0210814607246224
0.04,0.94,0.98,1.02,1.06,40,34,0,1.973141320442373,0.92324410371229,1.021137127336174
0.04,0.94,0.97,1.03,1.06,40,34,0,1.9939220370333424,0.9231595915906486,1.0213017939643874
0.14,0.95,0.98,1.02,1.05,40,35,0,1.8249644788913204,0.933302252233289,1.0208933829995044
0.18,0.94,0.98,1.02,1.06,40,35,0,1.8744492401058983,0.9327430438081216,1.0208708680448018
0.14,0.94,0.97,1.03,1.06,40,35,0,1.8795761998539184,0.9312138440779486,1.021297380618913
0.2,0.94,0.98,1.02,1.06,40,37,0,1.912950756521686,0.9276793203220068,1.0209382840875258
0.16,0.95,0.98,1.02,1.05,40,38,0,1.8561124470570955,0.9341751458146256,1.0209832883233718
0.16,0.94,0.97,1.03,1.06,40,38,0,1.89586758272692,0.9276606592709205,1.021297380618913
0.18,0.95,0.98,1.02,1.05,40,38,0,1.899232857947481,0.9333208067065988,1.021070035399854
0.18,0.94,0.97,1.03,1.06,40,38,0,1.918555745179041,0.922786414792716,1.021297380618913
0.2,0.94,0.97,1.03,1.06,40,38,0,1.950006721120581,0.9188798196863592,1.021297380618913
0.2,0.95,0.98,1.02,1.05,40,38,0,1.9556177311648544,0.9286321407050196,1.0211476976191598
0.22,0.94,0.98,1.02,1.06,40,38,0,1.9577923709973997,0.9229686908996284,1.0210059411378107
0.22,0.94,0.97,1.03,1.06,40,38,0,1.9931208373909943,0.918957882381824,1.021297380618913
0.22,0.95,0.98,1.02,1.05,40,38,0,2.0248213075967696,0.9236836832732594,1.0212154778447384
0.25,0.94,0.98,1.02,1.06,40,38,0,2.039971214848181,0.919442007559921,1.0211000484887
0.25,0.94,0.97,1.03,1.06,40,38,0,2.0840734579775755,0.9189792224089706,1.021297380618913
0.25,0.95,0.98,1.02,1.05,40,38,0,2.156633379074348,0.920312567922546,1.0214641648785283
0.5,0.94,0.97,1.03,1.06,40,40,0,10.592552321416957,0.7360286960809349,1.1136870399745158
0.5,0.94,0.98,1.02,1.06,40,40,0,13.675704424116423,0.7337180945953683,1.131618160647378
0.5,0.95,0.98,1.02,1.05,40,40,0,14.77242424320224,0.7150261319059611,1.131618160647378
1.0,0.94,0.98,1.02,1.06,40,40,40,0.1431502223518791,0.9858957710890348,1.112405839006989
0.75,0.95,0.98,1.02,1.05,40,40,40,0.1431502223518791,0.9858957710890348,1.112405839006989
0.75,0.94,0.98,1.02,1.06,40,40,40,0.1437128443434908,0.70519140088063,1.123965926449176
1.0,0.94,0.97,1.03,1.06,40,40,40,0.1656826175873309,0.8195974670851157,1.1228456261519992
1.0,0.95,0.98,1.02,1.05,40,40,40,0.1755990691038411,0.9859563045864772,1.1188943311472326
0.75,0.94,0.97,1.03,1.06,40,40,40,0.2864584224342411,0.6586543962209791,1.1187076203923232
