capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar,method,selection_event_days,selection_pf_fail_days,selection_mean_daily_loss_mwh,passed_selection_gate,selected_for_confirmation,adjacent_rejected_for_confirmation
P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,droop,15,0,1.9529190806651944,False,False,False
P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,no_control,17,0,2.140814912573652,False,False,False
P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,pilot_droop,13,0,2.470618598601474,False,False,False
P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,droop,15,0,1.9529190806651944,False,False,False
P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,no_control,17,0,2.140814912573652,False,False,False
P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,pilot_droop,12,0,2.99238745346904,False,False,False
P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,droop,13,0,1.7269036087111531,False,False,False
P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,no_control,17,0,2.140814912573652,False,False,False
P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,pilot_droop,1,0,2.570050983824224,False,False,True
P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,droop,13,0,1.7269036087111531,False,False,False
P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,no_control,17,0,2.140814912573652,False,False,False
P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,pilot_droop,0,0,2.475239385907643,True,True,False
P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,droop,13,0,1.7269036087111531,False,False,False
P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,no_control,17,0,2.140814912573652,False,False,False
P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,pilot_droop,0,0,2.475239385907643,True,False,False
P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,droop,13,0,1.7269036087111531,False,False,False
P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,no_control,17,0,2.140814912573652,False,False,False
P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,pilot_droop,0,0,2.475239385907643,True,False,False
P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,droop,13,0,1.7269036087111531,False,False,False
P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,no_control,17,0,2.140814912573652,False,False,False
P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,pilot_droop,0,0,2.475239385907643,True,False,False
P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,droop,13,0,1.7269036087111531,False,False,False
P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,no_control,17,0,2.140814912573652,False,False,False
P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,pilot_droop,0,0,2.475239385907643,True,False,False
P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,droop,13,0,1.7269036087111531,False,False,False
P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,no_control,17,0,2.140814912573652,False,False,False
P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,pilot_droop,0,0,2.475239385907643,True,False,False
