scenario_index,day_index,t0,capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar,candidate_id
0,4,384,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
0,4,384,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
0,4,384,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
0,4,384,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
0,4,384,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
0,4,384,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
0,4,384,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
0,4,384,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
0,4,384,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
1,38,3648,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
1,38,3648,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
1,38,3648,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
1,38,3648,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
1,38,3648,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
1,38,3648,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
1,38,3648,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
1,38,3648,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
1,38,3648,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
2,77,7392,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
2,77,7392,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
2,77,7392,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
2,77,7392,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
2,77,7392,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
2,77,7392,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
2,77,7392,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
2,77,7392,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
2,77,7392,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
3,85,8160,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
3,85,8160,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
3,85,8160,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
3,85,8160,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
3,85,8160,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
3,85,8160,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
3,85,8160,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
3,85,8160,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
3,85,8160,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
4,105,10080,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
4,105,10080,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
4,105,10080,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
4,105,10080,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
4,105,10080,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
