level,evaluated_shift_days,event_days,event_rate,seed_mean_event_rate,seed_level_event_rate_ci95_low,seed_level_event_rate_ci95_high,replicate_mean_event_rate,replicate_level_event_rate_ci95_low,replicate_level_event_rate_ci95_high,uncertainty_unit,plot_mean_event_rate,plot_event_rate_ci95_low,plot_event_rate_ci95_high,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
nominal,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training_seed,0.0,0.0,0.0,0,1.4249381846064548,0.9522897792887409,1.0209819363376664
mild,1700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shift_replicate,0.0,0.0,0.0,0,1.425968826874209,0.9510820965095351,1.0215980827924636
design,1700,1,0.000588235294117647,0.000588235294117647,0.0,0.0017647058823529412,0.000588235294117647,0.0,0.0017647058823529412,shift_replicate,0.000588235294117647,0.0,0.0017647058823529412,0,1.4282061451808303,0.9499266724911684,1.022214884729665
moderate,1700,41,0.02411764705882353,0.02411764705882353,0.02117647058823529,0.027058823529411767,0.02411764705882353,0.011764705882352941,0.03705882352941177,shift_replicate,0.02411764705882353,0.011764705882352941,0.03705882352941177,0,1.444110390108547,0.942819231347807,1.023957339717115
telemetry,1700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shift_replicate,0.0,0.0,0.0,0,1.4252791027874976,0.9500908514122529,1.0212645939413405
delay_1_step,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training_seed,0.0,0.0,0.0,0,1.4249563502705962,0.9504637374867047,1.0212696915386303
delay_4_steps,85,20,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,training_seed,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,1.4272155904282657,0.9473885255347265,1.0216664133907758
topology_a,85,25,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,training_seed,0.29411764705882354,0.29411764705882354,0.29411764705882354,0,1.5362076129058961,0.9476979442918966,1.03139067911349
topology_b,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training_seed,0.0,0.0,0.0,0,1.3880575001121571,0.9523464474164673,1.0144391362305423
design_topology_a,1700,468,0.2752941176470588,0.2752941176470588,0.26352941176470585,0.28764705882352937,0.2752941176470588,0.26117647058823523,0.2894117647058823,shift_replicate,0.2752941176470588,0.26117647058823523,0.2894117647058823,0,1.5401712647113148,0.9450599910870241,1.0329864678481302
