seed,day,shift_id,random_seed,event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,load_multiplier,pv_multiplier,mean_r_multiplier,mean_x_multiplier,topology_reconfiguration,observation_delay_steps
42,4,0,2026096037,0,0,0,0,0.9528811680729893,1.0,1.4912208039655779,1.0,1.0,1.0,1.0,tie32_open18,0
42,38,0,2026130343,1,18,0,0,0.9488239136146642,1.0,2.427581867280357,1.0,1.0,1.0,1.0,tie32_open18,0
42,77,0,2026169694,1,8,0,0,0.9490358362467771,1.0,2.219065678983875,1.0,1.0,1.0,1.0,tie32_open18,0
42,85,0,2026177766,1,12,0,0,0.9489139727500826,1.0,2.2364170148557427,1.0,1.0,1.0,1.0,tie32_open18,0
42,105,0,2026197946,0,0,0,0,0.9520335860634431,1.025085557132207,1.413258584305365,1.0,1.0,1.0,1.0,tie32_open18,0
42,133,0,2026226198,0,0,0,0,0.9527497662847928,1.0130471445285085,1.4530661220660834,1.0,1.0,1.0,1.0,tie32_open18,0
42,137,0,2026230234,0,0,0,0,0.9609233519347736,1.0247286990442577,0.9503308561122051,1.0,1.0,1.0,1.0,tie32_open18,0
42,147,0,2026240324,0,0,0,0,0.9527411291584513,1.0200592525522447,1.474244783544966,1.0,1.0,1.0,1.0,tie32_open18,0
42,159,0,2026252432,0,0,0,0,0.9593810839224446,1.0208975389766783,0.8747583731880899,1.0,1.0,1.0,1.0,tie32_open18,0
42,220,0,2026313981,0,0,0,0,0.9557984189953966,1.0058485442711993,1.3594796474269835,1.0,1.0,1.0,1.0,tie32_open18,0
42,236,0,2026330125,0,0,0,0,0.9606742215704979,1.0278212984261725,0.8553648956077704,1.0,1.0,1.0,1.0,tie32_open18,0
42,241,0,2026335170,0,0,0,0,0.9543695683602319,1.0,1.4778236829389788,1.0,1.0,1.0,1.0,tie32_open18,0
42,245,0,2026339206,0,0,0,0,0.9516211433994716,1.0036315229119384,1.5399891672533592,1.0,1.0,1.0,1.0,tie32_open18,0
42,257,0,2026351314,0,0,0,0,0.9582080362409425,1.0303141044955102,0.9207945537963956,1.0,1.0,1.0,1.0,tie32_open18,0
42,282,0,2026376539,1,9,0,0,0.9488298150519702,1.0086575761793162,1.7458560359947153,1.0,1.0,1.0,1.0,tie32_open18,0
42,295,0,2026389656,1,15,0,0,0.9488388914950748,1.0,2.319787161802374,1.0,1.0,1.0,1.0,tie32_open18,0
42,299,0,2026393692,0,0,0,0,0.9539309041186697,1.0,1.365886408254594,1.0,1.0,1.0,1.0,tie32_open18,0
43,4,0,2026096037,0,0,0,0,0.9529236434274853,1.0,1.4906723955005707,1.0,1.0,1.0,1.0,tie32_open18,0
43,38,0,2026130343,1,14,0,0,0.9489604606226035,1.0,2.4310618256371823,1.0,1.0,1.0,1.0,tie32_open18,0
43,77,0,2026169694,1,9,0,0,0.949163577348015,1.0,2.2214946960441413,1.0,1.0,1.0,1.0,tie32_open18,0
43,85,0,2026177766,1,13,0,0,0.9491117060381606,1.0,2.2351273973663144,1.0,1.0,1.0,1.0,tie32_open18,0
43,105,0,2026197946,0,0,0,0,0.952086396105931,1.0252718441507518,1.4129019124785487,1.0,1.0,1.0,1.0,tie32_open18,0
43,133,0,2026226198,0,0,0,0,0.9528079444726671,1.0128525277460774,1.4526193798263611,1.0,1.0,1.0,1.0,tie32_open18,0
43,137,0,2026230234,0,0,0,0,0.960643111716866,1.0251764059630206,0.9499341989153568,1.0,1.0,1.0,1.0,tie32_open18,0
43,147,0,2026240324,0,0,0,0,0.952834830723431,1.0199105626141256,1.473372697191254,1.0,1.0,1.0,1.0,tie32_open18,0
43,159,0,2026252432,0,0,0,0,0.959194647145971,1.0212318052305724,0.8743446860343951,1.0,1.0,1.0,1.0,tie32_open18,0
43,220,0,2026313981,0,0,0,0,0.9559057833417901,1.0059097246511761,1.3590877378337185,1.0,1.0,1.0,1.0,tie32_open18,0
43,236,0,2026330125,0,0,0,0,0.9604398836547541,1.0278233925825326,0.8549049451097027,1.0,1.0,1.0,1.0,tie32_open18,0
43,241,0,2026335170,0,0,0,0,0.9543316050318518,1.0,1.477420769877945,1.0,1.0,1.0,1.0,tie32_open18,0
43,245,0,2026339206,0,0,0,0,0.9516761028189519,1.0033926437706553,1.5397710356210805,1.0,1.0,1.0,1.0,tie32_open18,0
43,257,0,2026351314,0,0,0,0,0.9580675693174818,1.0304229161592102,0.9203251061682909,1.0,1.0,1.0,1.0,tie32_open18,0
43,282,0,2026376539,1,10,0,0,0.9490136800125459,1.0084598429922782,1.7454689298646153,1.0,1.0,1.0,1.0,tie32_open18,0
43,295,0,2026389656,1,16,0,0,0.9489419269041326,1.0,2.3179154609482677,1.0,1.0,1.0,1.0,tie32_open18,0
43,299,0,2026393692,0,0,0,0,0.9538466872132724,1.0,1.3651517494243417,1.0,1.0,1.0,1.0,tie32_open18,0
44,4,0,2026096037,0,0,0,0,0.9528136130158257,1.0,1.4901079183593795,1.0,1.0,1.0,1.0,tie32_open18,0
44,38,0,2026130343,1,15,0,0,0.9485741965194959,1.0,2.428511316041112,1.0,1.0,1.0,1.0,tie32_open18,0
44,77,0,2026169694,1,8,0,0,0.9488608028483733,1.0,2.22231764447392,1.0,1.0,1.0,1.0,tie32_open18,0
44,85,0,2026177766,1,12,0,0,0.9487322312638236,1.0,2.23315477195541,1.0,1.0,1.0,1.0,tie32_open18,0
44,105,0,2026197946,0,0,0,0,0.9519206028984885,1.0246540024080408,1.4122137803978743,1.0,1.0,1.0,1.0,tie32_open18,0
44,133,0,2026226198,0,0,0,0,0.9526757593801185,1.012488810092387,1.4519006989662517,1.0,1.0,1.0,1.0,tie32_open18,0
44,137,0,2026230234,0,0,0,0,0.9608016545905715,1.0245250848809866,0.9496979887826633,1.0,1.0,1.0,1.0,tie32_open18,0
44,147,0,2026240324,0,0,0,0,0.9526980951739339,1.019585409969743,1.4725979176222,1.0,1.0,1.0,1.0,tie32_open18,0
44,159,0,2026252432,0,0,0,0,0.9593543443615933,1.0206688829068984,0.8741157443064702,1.0,1.0,1.0,1.0,tie32_open18,0
44,220,0,2026313981,0,0,0,0,0.9559086975984027,1.0054651265261092,1.358499303481909,1.0,1.0,1.0,1.0,tie32_open18,0
44,236,0,2026330125,0,0,0,0,0.9606088028845817,1.0276328800277779,0.8547201294870674,1.0,1.0,1.0,1.0,tie32_open18,0
44,241,0,2026335170,0,0,0,0,0.9543809263251507,1.0,1.476659422073396,1.0,1.0,1.0,1.0,tie32_open18,0
