epoch,training_mse,validation_mse
1,0.0015877989152657044,0.0001456801692256704
2,6.212109231758707e-05,1.9540162611519918e-05
3,1.7828271817658486e-05,6.53080041956855e-06
4,1.0451946515050145e-05,4.40132180301589e-06
5,8.810336523657453e-06,3.410688350413693e-06
6,9.044320276665357e-06,5.2957057050662115e-06
7,8.47560750116827e-06,5.950103968643816e-06
8,7.775050042775028e-06,5.295406481309328e-06
9,7.865920072921048e-06,3.212514457118232e-06
10,7.62453452721058e-06,3.1258891795005184e-06
11,7.043649680954764e-06,3.0691326173837297e-06
12,7.585287459646463e-06,4.9384957492293324e-06
13,6.861389400520628e-06,2.539733031881042e-06
14,6.9011376538020114e-06,2.1355747321649687e-06
15,6.802097232139204e-06,7.131787242542487e-06
16,6.842570217356427e-06,2.8797428512916667e-06
17,6.511403182143806e-06,2.2835126856080024e-06
18,6.420220664776502e-06,3.881774773617508e-06
19,6.862221501554207e-06,3.245074140068027e-06
20,8.418654168790021e-06,5.041311396780657e-06
21,6.542688132477841e-06,2.3841807887947652e-06
22,7.810869560455017e-06,4.054392320540501e-06
23,6.626537848812101e-06,1.897509946502396e-06
24,6.204636157408891e-06,4.4749358494300395e-06
25,6.658270108129641e-06,2.5542344701534603e-06
26,5.835824021276148e-06,1.955121433638851e-06
27,6.171130437559484e-06,2.4105727334244875e-06
28,6.90272658435528e-06,2.352962610530085e-06
29,6.734937593526931e-06,2.2454751160694286e-06
30,6.326305364858681e-06,1.9747398255276494e-05
31,8.365196371024857e-06,2.316185828021844e-06
32,7.432361988841356e-06,1.7978053392653237e-06
33,7.795791426750448e-06,5.317034720064839e-06
34,7.587755406001677e-06,3.0099099603830837e-06
35,5.490231455409923e-06,2.7277001208858564e-06
36,6.80848770462901e-06,3.0198978038242785e-06
37,6.204888331055935e-06,4.586326213029679e-06
38,6.185486735635745e-06,2.0174340988887707e-06
39,6.313902028003733e-06,3.0049163797229994e-06
40,5.301439416814988e-06,1.9433775833022082e-06
