epoch,training_mse,validation_mse
1,0.0021163028452844757,0.00036522827576845884
2,0.00013881798510001752,8.151907240971923e-05
3,6.579469871732207e-05,4.145551429246552e-05
4,3.550670044205617e-05,3.8023641536710784e-05
5,2.7308770876559374e-05,2.7053574740421027e-05
6,2.4191234496399938e-05,2.6766036171466112e-05
7,2.28855779997026e-05,2.5080644263653085e-05
8,2.652618771511091e-05,2.0097282686037943e-05
9,2.725487595290317e-05,2.367969682381954e-05
10,2.3650658022233984e-05,2.0585233869496733e-05
11,3.001101064607307e-05,0.00015618550241924822
12,4.824566065595025e-05,2.6744615752249956e-05
13,2.2023798811417128e-05,3.439811916905455e-05
14,2.3953258603017146e-05,1.7426697013434023e-05
15,2.000792621748544e-05,2.5385088520124555e-05
16,2.1604179112598232e-05,2.488926656951662e-05
17,2.195018654068311e-05,2.7141197278979234e-05
18,2.1388380034858572e-05,2.8073311113985255e-05
19,2.1763355432215447e-05,1.727121343719773e-05
20,3.268999987648429e-05,3.935684799216688e-05
21,2.5115310910180033e-05,2.384113031439483e-05
22,2.1619095973403003e-05,2.0036453861393966e-05
23,1.9746777871616705e-05,2.276695340697188e-05
24,1.9380091793036192e-05,1.606376281415578e-05
25,1.9554659307427107e-05,2.869019954232499e-05
26,2.3234054835830604e-05,2.077336648653727e-05
27,2.0404855441873743e-05,5.127886470290832e-05
28,2.518925130278235e-05,1.591199907124974e-05
29,2.1426172744603328e-05,1.7325557564618066e-05
30,1.951812209015424e-05,3.9032929635141045e-05
31,2.274844196325007e-05,6.30944559816271e-05
32,3.099755951466033e-05,2.1839676264789887e-05
33,1.8479185525523333e-05,1.4647752323071472e-05
34,1.9037628633322173e-05,1.616053850739263e-05
35,1.880106321463938e-05,1.733407043502666e-05
36,2.1412871774373343e-05,1.4646276213170495e-05
37,2.047205909894685e-05,2.0012772438349202e-05
38,2.4908889870511347e-05,4.697620533988811e-05
39,2.3801106159399276e-05,1.3976515219837893e-05
40,1.9207650114237496e-05,1.9001819964614697e-05
41,2.2367188042456593e-05,3.865457983920351e-05
42,2.380243011300211e-05,1.343388794339262e-05
43,1.8196157617196496e-05,2.348380621697288e-05
44,1.8674825469133793e-05,1.4665914932265878e-05
45,1.6366871802477234e-05,1.6938758562901057e-05
46,1.637547518926329e-05,1.2924228030897211e-05
47,1.86687786611271e-05,1.2878648703917861e-05
48,1.737175621418005e-05,2.5555757019901648e-05
49,2.349563529995586e-05,5.7733173889573663e-05
50,2.5238519875918947e-05,6.158444011816755e-05
51,3.013859995484208e-05,2.4836715965648182e-05
52,1.786288081954505e-05,1.2160493497503921e-05
53,1.59770484710212e-05,1.7909607777255587e-05
54,1.9907279779761754e-05,1.3438267160381656e-05
55,1.633629513196952e-05,1.769986374711152e-05
56,1.796741497899001e-05,1.6136065823957324e-05
57,1.7763802004213047e-05,1.8194967196905054e-05
58,1.621189990362923e-05,1.4090640434005763e-05
59,1.622685978678159e-05,1.619745307834819e-05
60,1.6879097421180978e-05,2.04197258426575e-05
61,2.02919623656531e-05,7.153525803005323e-05
62,2.641791243582875e-05,1.2576326298585627e-05
63,1.6573084048147957e-05,2.9647975679836236e-05
64,1.9809425772282773e-05,1.3144385775376577e-05
65,1.688950240869807e-05,1.3080175449431408e-05
66,1.5643097218084483e-05,1.4317099157779012e-05
67,1.9421500469650798e-05,1.9024559151148424e-05
68,1.5858916477944668e-05,1.8254375390824862e-05
69,2.108005596060788e-05,1.9485059965518303e-05
70,1.6662531455343316e-05,1.4517066119879019e-05
71,1.5832226348980578e-05,1.1617335076152813e-05
72,1.600999742853067e-05,1.15291459223954e-05
73,1.58800066423109e-05,1.0898756045207847e-05
74,1.562809075039695e-05,6.214404857018963e-05
75,2.3706875124064807e-05,1.0135641787201166e-05
76,1.4369301089529818e-05,1.6877162124728784e-05
77,1.4096356748961539e-05,1.850963781180326e-05
78,1.4802476925979136e-05,2.479320755810477e-05
79,1.4888013711675913e-05,1.0073043085867539e-05
80,1.3674203241212776e-05,1.0611473953758832e-05
81,1.3940021365973129e-05,1.557527866680175e-05
82,1.4227982817482415e-05,1.2935864106111694e-05
83,1.3563882952266362e-05,9.42456790653523e-06
84,1.5055227950575673e-05,1.875455018307548e-05
85,1.6229957141366046e-05,7.412108971038833e-05
86,3.252832201334448e-05,1.6168878573807888e-05
87,1.4011054374696825e-05,1.373809664073633e-05
88,1.3547497235863592e-05,1.1467000149423257e-05
89,1.6087993247180877e-05,1.1468960110505577e-05
90,1.3257375853538092e-05,1.29879872474703e-05
91,1.2828751854006745e-05,9.712800419947598e-06
92,1.247119630101051e-05,1.2650501957978122e-05
93,1.3320575568459822e-05,1.6421248801634647e-05
94,1.5965669869425863e-05,1.0734612260421272e-05
95,1.2656576007516595e-05,1.0685006600397173e-05
96,1.4578037670227267e-05,9.278071047447156e-06
97,1.4038457893981277e-05,2.5403562176506966e-05
98,1.5447181491860345e-05,8.892538971849717e-06
99,1.320616969938523e-05,1.2149625945312437e-05
100,1.4830198779236525e-05,2.8428545192582533e-05
101,1.742179144804097e-05,1.2942619832756463e-05
102,1.1994100792175491e-05,8.056018486968242e-06
103,1.2524617193862686e-05,9.883408893074375e-06
104,1.4019857633770915e-05,1.1383494893379975e-05
105,1.2508126928878482e-05,1.1846405868709553e-05
106,1.4867669408756359e-05,1.0822051990544423e-05
107,1.6723973301070926e-05,1.1635042937996332e-05
108,1.181758959016103e-05,1.165023149951594e-05
109,1.2494028819024347e-05,6.550219040946104e-06
110,1.1614472885499016e-05,1.2610034900717437e-05
111,1.2107425510250669e-05,7.320980785152642e-06
112,1.1234770248674544e-05,1.2357670129858889e-05
113,1.2212023420943297e-05,6.574718099727761e-06
114,1.237580116659436e-05,1.3257295904622879e-05
115,1.2103610093358189e-05,7.495203135476913e-06
116,1.0911497102348394e-05,9.20485399547033e-06
117,1.12507206419347e-05,2.3263170078280382e-05
118,1.3901205734544506e-05,1.0039225344371516e-05
119,1.2762974230489427e-05,7.503043434553547e-06
120,1.0709365358793765e-05,3.340195326018147e-05
121,1.6601862073782415e-05,7.059666586428648e-06
122,1.2024956374391746e-05,7.377402653219178e-06
123,1.2769116589576393e-05,1.9620356397354044e-05
124,1.400654635593431e-05,7.458529125869973e-06
125,1.0583357888684813e-05,6.645427674811799e-06
126,1.0398876069995735e-05,1.1017846190952696e-05
127,1.1744097026253475e-05,5.8597065617504995e-06
128,9.209442049766603e-06,1.0387666407041252e-05
