seed,day,step,maximum_active_balance_residual_mw,maximum_reactive_balance_residual_mvar
42,4,0,2.1735397075922647e-08,2.2302603236434848e-08
42,4,1,2.0083103925531975e-08,2.0496272595815768e-08
42,4,2,1.9577223817762723e-08,1.9990381641687982e-08
42,4,3,1.853595226093685e-08,1.8881591359876104e-08
42,4,4,1.6515680086558182e-08,1.673622025688548e-08
42,4,5,1.5536604589666547e-08,1.578610804575664e-08
42,4,6,1.450263845646782e-08,1.4742072979023746e-08
42,4,7,1.4524793026313154e-08,1.4836898515335761e-08
42,4,8,1.4701210479008131e-08,1.503911571665295e-08
42,4,9,1.487281739171592e-08,1.5217158783054074e-08
42,4,10,1.4812078542869589e-08,1.5140293810333993e-08
42,4,11,1.4544373505044617e-08,1.4852361215900167e-08
42,4,12,1.5502141666699776e-08,1.5910212036729376e-08
42,4,13,1.5593547247720607e-08,1.595388966768585e-08
42,4,14,1.5553503190240958e-08,1.5895317978520396e-08
42,4,15,1.537274803547345e-08,1.5698000052633e-08
42,4,16,1.6141883281417524e-08,1.65511424010667e-08
42,4,17,1.5794406962865715e-08,1.6126514637559985e-08
42,4,18,1.497043115774449e-08,1.5242554579630863e-08
42,4,19,1.4352002082433646e-08,1.4623512886724477e-08
42,4,20,1.502453396504816e-08,1.539547690720955e-08
42,4,21,1.604586944217723e-08,1.648181306712626e-08
42,4,22,1.694077000208294e-08,1.7397304361010946e-08
42,4,23,1.843117963373081e-08,1.8972571361186574e-08
42,4,24,2.198896457712013e-08,2.277720290155827e-08
42,4,25,2.4139026203254255e-08,2.490882396177785e-08
42,4,26,2.5357173496359797e-08,2.6071995395948733e-08
42,4,27,2.756053850850454e-08,2.8376625979542602e-08
42,4,28,3.124830890138125e-08,3.222564881610879e-08
42,4,29,3.2440808936731735e-08,3.3291701340143476e-08
42,4,30,3.4121124914236745e-08,3.494393822911501e-08
42,4,31,3.529376001090018e-08,3.600625339550412e-08
42,4,32,3.7725986379993914e-08,3.839377260561605e-08
42,4,33,3.9883404313531545e-08,4.033650136125999e-08
42,4,34,3.954747133071146e-08,3.975431976666055e-08
42,4,35,3.823349208412208e-08,3.832756056976194e-08
42,4,36,3.8464499198601065e-08,3.8545520872346195e-08
42,4,37,3.762236727884727e-08,3.7501380750759594e-08
42,4,38,3.6420499879841195e-08,3.6131943548234347e-08
42,4,39,3.5770433811158076e-08,3.539346891956452e-08
42,4,40,3.6584082065832524e-08,3.6183901083730596e-08
42,4,41,3.788223959348691e-08,3.749563513844034e-08
42,4,42,4.003357027826393e-08,3.9679670660319744e-08
42,4,43,3.9791493130006406e-08,3.922999099181812e-08
42,4,44,3.99941935732423e-08,3.935980728841937e-08
42,4,45,4.146607409868941e-08,4.0865566902636985e-08
42,4,46,3.9948250436794286e-08,3.914733044674268e-08
42,4,47,3.875286648871712e-08,3.7924178103443396e-08
42,4,48,3.854002514694366e-08,3.778459642389542e-08
42,4,49,3.877520657856459e-08,3.81176941399719e-08
42,4,50,3.755989138633231e-08,3.690430815106449e-08
42,4,51,3.6131673191580616e-08,3.5538454679073794e-08
42,4,52,3.515737538768715e-08,3.466011637420774e-08
42,4,53,3.7077512084898734e-08,3.6859782864828716e-08
42,4,54,3.851381985033042e-08,3.840908396890441e-08
42,4,55,3.9447801353578726e-08,3.93610602444916e-08
42,4,56,4.2213219248257716e-08,4.213297460919918e-08
42,4,57,4.5794082042041606e-08,4.569821993039014e-08
42,4,58,5.0038583892728083e-08,4.987178690851746e-08
42,4,59,5.435410753429348e-08,5.4112267652839385e-08
42,4,60,5.9457437254911705e-08,5.9175676997424986e-08
42,4,61,6.584535100322142e-08,6.539835756269596e-08
42,4,62,7.640521066526462e-08,7.551222570845173e-08
42,4,63,8.800505325347319e-08,8.622350389231315e-08
42,4,64,1.9054632004189553e-09,6.458178228307965e-09
42,4,65,2.0685676956067045e-09,6.9500805111033515e-09
42,4,66,2.2325061764527643e-09,7.451621680809595e-09
42,4,67,2.4403544723189396e-09,8.060052208991308e-09
42,4,68,2.659723413733772e-09,8.68433519540801e-09
42,4,69,2.5256989121674733e-09,8.269962492590821e-09
42,4,70,2.4379852563843896e-09,8.015121760740485e-09
42,4,71,2.2949399498817247e-09,7.574637028717746e-09
42,4,72,2.240640104012037e-09,7.420750125497477e-09
42,4,73,2.0622339079456875e-09,6.8493509475242575e-09
42,4,74,9.852525167247661e-08,9.518394974983302e-08
42,4,75,8.995697424810101e-08,8.735028228512576e-08
42,4,76,7.925322694987691e-08,7.745846554441105e-08
42,4,77,6.68304868649966e-08,6.588118252326414e-08
42,4,78,5.847103400416498e-08,5.810584791099416e-08
42,4,79,5.519300165339469e-08,5.5188613609646886e-08
42,4,80,5.073126610639911e-08,5.083231613411954e-08
42,4,81,4.680318238005354e-08,4.704367194408032e-08
42,4,82,4.498269230192309e-08,4.537486268663127e-08
42,4,83,4.212993063787418e-08,4.255974378475358e-08
42,4,84,4.413804100857066e-08,4.474505335694268e-08
42,4,85,4.075632740151158e-08,4.120561378218035e-08
42,4,86,3.7835824369392146e-08,3.83506538331746e-08
42,4,87,3.3527258911855706e-08,3.399274542403852e-08
42,4,88,2.997531310406504e-08,3.0417536475702e-08
42,4,89,2.645462281094385e-08,2.6825675708552765e-08
42,4,90,2.374475280460253e-08,2.409681461312818e-08
42,4,91,2.113270002566947e-08,2.1423924786989623e-08
42,4,92,1.8600452237477194e-08,1.8824814970730408e-08
42,4,93,1.6221897566545684e-08,1.6392452534264024e-08
42,4,94,1.4705881625290407e-08,1.490123288649947e-08
42,4,95,1.3693483248353178e-08,1.3917502358906653e-08
42,38,0,6.532497535960413e-08,6.633173156578298e-08
42,38,1,5.6811816709356755e-08,6.10185874050373e-08
42,38,2,5.869492295841605e-08,6.003161773238119e-08
42,38,3,5.728159150134027e-08,5.758056649540766e-08
42,38,4,5.46052625945842e-08,5.4717160802297826e-08
42,38,5,5.425074510283234e-08,5.443470681154583e-08
42,38,6,5.56025627710538e-08,5.581327275350212e-08
42,38,7,5.5854573639824157e-08,5.600859789844925e-08
42,38,8,5.592819915523073e-08,5.606833844429282e-08
42,38,9,5.649709273330972e-08,5.663317738380247e-08
42,38,10,5.657298527209087e-08,5.668555493054672e-08
42,38,11,5.685483093868793e-08,5.6963085776073896e-08
42,38,12,5.878731325521802e-08,5.885848849973563e-08
42,38,13,6.20174314333588e-08,6.193583895752752e-08
42,38,14,6.512257445974445e-08,6.481737840902113e-08
42,38,15,6.700710541984733e-08,6.65147533579491e-08
42,38,16,7.162192085068131e-08,7.090648949936718e-08
42,38,17,7.687523811972241e-08,7.576812822984724e-08
42,38,18,8.870170861707827e-08,8.689845482079406e-08
42,38,19,1.930880039191507e-09,6.536011384894458e-09
42,38,20,2.809531132047516e-09,9.081453089532232e-09
42,38,21,3.957981468613592e-09,1.2037155439070801e-08
42,38,22,5.170182294442216e-09,1.49044701580614e-08
42,38,23,6.482931075649234e-09,1.7804511476260387e-08
42,38,24,8.283809454362467e-09,2.1440276914974632e-08
42,38,25,1.0512699755854671e-08,2.4778711027462208e-08
42,38,26,1.3848746958228242e-08,2.8589936529321847e-08
42,38,27,1.5898199284825054e-08,3.015213800861005e-08
42,38,28,1.886753752365633e-08,3.30360530598206e-08
42,38,29,2.1343807086321442e-08,3.8278610420272585e-08
42,38,30,1.7621512183457755e-08,3.369552248333463e-08
42,38,31,1.0691146019696507e-08,2.7011735903581524e-08
42,38,32,7.30671634524907e-09,2.3367301427157372e-08
42,38,33,5.918121825931877e-09,2.093028986238643e-08
42,38,34,5.704345849844028e-09,1.9879732859884314e-08
42,38,35,5.570096744955677e-09,1.9180674132313058e-08
42,38,36,4.792323725355541e-09,1.6637382999062922e-08
42,38,37,4.152346869124024e-09,1.4461730840631404e-08
42,38,38,3.838811143963561e-09,1.3399501230804134e-08
42,38,39,3.612076505954409e-09,1.2625105544339377e-08
42,38,40,3.5229666406344506e-09,1.2304693097764385e-08
42,38,41,3.541451229494008e-09,1.2348506522874558e-08
42,38,42,3.3805335961090144e-09,1.1799985433214033e-08
42,38,43,3.3128794846293275e-09,1.1572224428713085e-08
42,38,44,3.1409595931120027e-09,1.098523397247142e-08
42,38,45,3.1633973478911726e-09,1.1064730104370923e-08
42,38,46,3.1592716463746395e-09,1.1035947017346004e-08
42,38,47,2.988370219683678e-09,1.0365090175046276e-08
42,38,48,3.0179615403969073e-09,1.0473308054148589e-08
42,38,49,2.889348664839031e-09,9.971177633572026e-09
42,38,50,2.9403065312377796e-09,1.0168641761953978e-08
42,38,51,2.8458066545639094e-09,9.79587799765369e-09
42,38,52,2.8966579482259114e-09,9.976157400171104e-09
42,38,53,3.0243819514746972e-09,1.0471524203303773e-08
42,38,54,3.157363728106821e-09,1.098424101675377e-08
42,38,55,3.254917047695871e-09,1.1329136240245674e-08
42,38,56,3.5859512581559727e-09,1.2625335360505474e-08
42,38,57,3.875654111876181e-09,1.3817646332681122e-08
42,38,58,4.073885560493262e-09,1.4637984574461527e-08
42,38,59,4.3076513883688605e-09,1.5696473842918834e-08
42,38,60,4.713603196995764e-09,1.75726516671304e-08
42,38,61,5.4586973916720405e-09,1.9010790025530966e-08
42,38,62,6.534020225920645e-09,1.998965534766306e-08
42,38,63,8.231637845315665e-09,2.223231432285644e-08
42,38,64,9.81538436466145e-09,2.4024375266940012e-08
42,38,65,1.2873138388602712e-08,2.7507431749063116e-08
42,38,66,1.723603053685463e-08,3.171268664337035e-08
42,38,67,2.633052685607762e-08,4.4636944487863595e-08
42,38,68,3.062407097007003e-08,5.203317228474891e-08
42,38,69,2.7819520714844614e-08,4.715434979984945e-08
42,38,70,2.6097691056825578e-08,4.419018664880703e-08
42,38,71,2.4090169355867053e-08,4.076213623582792e-08
42,38,72,2.25737754877553e-08,3.8185646172861354e-08
42,38,73,1.637430734405254e-08,2.987808542243009e-08
42,38,74,1.2989850878969422e-08,2.5704600392639776e-08
42,38,75,1.107558893556626e-08,2.3155640183070147e-08
42,38,76,8.6332725950794e-09,1.9874234896688492e-08
42,38,77,6.8499009762967855e-09,1.736471480495716e-08
42,38,78,5.619821066837893e-09,1.527220572228316e-08
42,38,79,4.5353510617213155e-09,1.305309471621996e-08
42,38,80,4.181290140514715e-09,1.2409233085541871e-08
42,38,81,3.701124415625423e-09,1.1298374458235116e-08
42,38,82,3.1803017771364628e-09,9.97937538160798e-09
42,38,83,2.8688760481815345e-09,9.167444026125793e-09
42,38,84,2.926163270022819e-09,9.378641613322358e-09
42,38,85,2.687112867286179e-09,8.697252085188012e-09
42,38,86,2.4092463874608727e-09,7.885639918825404e-09
42,38,87,2.153363086801474e-09,7.106601834783177e-09
42,38,88,9.84880969487345e-08,9.509247576866553e-08
42,38,89,8.834678353469849e-08,8.585677876982167e-08
42,38,90,7.97886282131316e-08,7.804939174127501e-08
42,38,91,7.126752092113942e-08,7.017024843125608e-08
42,38,92,6.30074070955694e-08,6.245042226404873e-08
42,38,93,5.745870709783496e-08,5.7270756956273594e-08
42,38,94,5.255114328070465e-08,5.256771580530728e-08
42,38,95,4.9520285060056235e-08,4.9718056893688356e-08
42,77,0,8.083055343978407e-08,7.48026308255989e-08
42,77,1,5.9396695227184604e-08,6.515941237961176e-08
42,77,2,6.245506513867516e-08,6.431047569477322e-08
42,77,3,6.144038225235071e-08,6.173290781341656e-08
42,77,4,5.910141679874026e-08,5.909501415990448e-08
42,77,5,5.918529572684905e-08,5.919981151125686e-08
42,77,6,5.905312141195329e-08,5.905067976264e-08
42,77,7,5.8380762836887645e-08,5.8383302775633084e-08
42,77,8,5.861355671654689e-08,5.8640815536747937e-08
