environment,step,actor_inference_ms,ac_execution_ms,total_ms
33,0,0.0542,20.6657,20.7214
33,1,0.1932,19.8776,20.072
33,2,0.1977,20.3693,20.568
33,3,0.2141,19.844,20.0591
33,4,0.2494,19.6354,19.8864
33,5,0.1695,19.3526,19.5231
33,6,0.2052,19.498,19.7043
33,7,0.2084,19.9355,20.1452
33,8,0.1895,19.4548,19.6455
33,9,0.1595,19.2347,19.3951
33,10,0.1553,19.027,19.1832
33,11,0.1517,19.8837,20.0363
33,12,0.1775,20.6238,20.8024
33,13,0.1771,20.256,20.4341
33,14,0.2076,21.4333,21.642
33,15,0.2461,19.0797,19.3271
33,16,0.1689,19.3358,19.5057
33,17,0.1694,18.648,18.8184
33,18,0.1709,19.7133,19.8851
33,19,0.1717,19.1258,19.2986
33,20,0.1794,18.2195,18.4
33,21,0.142,18.3198,18.4628
33,22,0.151,18.4639,18.6159
33,23,0.1452,18.8777,19.0238
33,24,0.1692,19.6944,19.8645
33,25,0.1759,20.1891,20.3661
33,26,0.2351,20.2349,20.4711
33,27,0.2574,19.8206,20.0794
33,28,0.294,20.0654,20.3611
33,29,0.27,19.7444,20.0158
33,30,0.1785,19.145,19.3245
33,31,0.1609,19.4544,19.6162
33,32,0.1932,20.3736,20.5676
33,33,0.2063,19.9542,20.1614
33,34,0.2752,19.402,19.6783
33,35,0.1999,18.6948,18.8956
33,36,0.1938,19.5704,19.7652
33,37,0.2003,18.6998,18.901
33,38,0.1596,18.3732,18.5338
33,39,0.1732,19.7603,19.9344
33,40,0.1735,19.084,19.2585
33,41,0.2085,19.992,20.2017
33,42,0.2358,19.5758,19.813
33,43,0.1799,20.2869,20.4675
33,44,0.2261,20.0195,20.2467
33,45,0.259,19.2394,19.4998
33,46,0.1653,19.5143,19.6806
33,47,0.2076,18.7786,18.9872
33,48,0.1765,18.8979,19.0755
33,49,0.1942,19.1557,19.3508
33,50,0.1659,19.908,20.0749
33,51,0.2014,19.9632,20.1656
33,52,0.2085,19.4896,19.6992
33,53,0.1864,20.0625,20.2501
33,54,0.2169,18.7046,18.9225
33,55,0.1708,18.5817,18.7535
33,56,0.2012,18.8316,19.0338
33,57,0.1567,18.8456,19.0033
33,58,0.1727,18.845,19.0187
33,59,0.1761,19.3588,19.536
33,60,0.1579,20.5424,20.7013
33,61,0.2257,20.937,21.1637
33,62,0.2215,20.1218,20.3444
33,63,0.2279,19.3868,19.6156
33,64,0.2265,18.9494,19.1769
33,65,0.194,18.6538,18.8488
33,66,0.2745,18.3652,18.6414
33,67,0.1798,19.2752,19.456
33,68,0.1735,18.9399,19.1145
33,69,0.2812,18.8632,19.1458
33,70,0.1457,18.8326,18.9792
33,71,0.1889,19.2917,19.4816
33,72,0.1661,19.3714,19.5386
33,73,0.1677,18.8993,19.0681
33,74,0.1504,19.1991,19.3504
33,75,0.1654,19.4782,19.6446
33,76,0.174,19.8936,20.0686
33,77,0.2212,19.5804,19.8026
33,78,0.189,19.0934,19.2834
33,79,0.2074,19.7206,19.9291
33,80,0.2518,18.4815,18.7347
33,81,0.1672,19.0687,19.2369
33,82,0.1686,18.6654,18.8351
33,83,0.1662,18.5545,18.7217
33,84,0.1744,19.1836,19.3591
33,85,0.1981,21.8614,22.0607
33,86,0.316,20.4771,20.7946
33,87,0.2193,18.6219,18.8424
33,88,0.2028,18.5174,18.7213
33,89,0.1899,19.1356,19.3265
33,90,0.2434,18.6478,18.8926
33,91,0.1571,18.8353,18.9934
33,92,0.1689,19.1418,19.3118
33,93,0.1703,19.28,19.4516
33,94,0.2094,20.1463,20.3568
33,95,0.2132,19.5859,19.8002
33,96,0.1984,19.4897,19.6892
33,97,0.2009,20.3746,20.5766
33,98,0.2092,18.883,19.0932
33,99,0.2098,19.0868,19.2978
33,100,0.1821,18.9866,19.1697
33,101,0.1689,19.2738,19.4438
33,102,0.2181,19.6612,19.8805
33,103,0.2564,18.9167,19.1745
33,104,0.1726,19.1122,19.2859
33,105,0.2895,19.8705,20.163
33,106,0.1978,19.1637,19.3623
33,107,0.1876,19.1806,19.3693
33,108,0.1567,19.6033,19.761
33,109,0.1889,22.5652,22.755
33,110,0.1879,19.3017,19.4905
33,111,0.1843,18.9166,19.1021
33,112,0.1749,19.3547,19.5307
33,113,0.1592,19.0046,19.1648
33,114,0.1665,19.4109,19.5783
33,115,0.1455,19.5697,19.7754
33,116,0.183,19.5272,19.7111
33,117,0.185,18.5554,18.7413
33,118,0.1647,18.6523,18.8181
33,119,0.1871,19.0968,19.285
33,120,0.1553,19.3533,19.5095
33,121,0.1619,19.4087,19.5715
33,122,0.1802,19.1111,19.2922
33,123,0.176,19.3054,19.4825
33,124,0.1704,18.6874,18.8588
33,125,0.1509,19.1454,19.2973
33,126,0.1816,18.9848,19.1673
33,127,0.1535,19.5962,19.7508
33,128,0.2034,20.818,21.0223
33,129,0.2067,19.108,19.3158
33,130,0.203,19.7311,19.9352
33,131,0.2132,18.3324,18.5466
33,132,0.1843,19.3008,19.486
33,133,0.1783,19.1814,19.3607
33,134,0.3255,18.4191,18.7461
33,135,0.1464,19.1626,19.3101
33,136,0.1817,19.445,19.6278
33,137,0.1781,19.4282,19.6074
33,138,0.1953,19.2135,19.4098
33,139,0.1585,19.3889,19.5484
