day,event,under_steps,over_steps,pf_fail,solver_failures,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar,mean_online_optimisation_ms,p95_online_optimisation_ms
4,0,0,0,0,0,0.952828884361793,1.0,1.6292506593792901,5.976509163162891,0.4112175951352472,0.8557604165844168,1.5214499999274267
38,0,0,0,0,0,0.9522729820681105,1.0,2.253972344521167,21.8974147255973,0.75,0.7564479165390973,1.5867499996602419
77,0,0,0,0,0,0.9518351030820762,1.0023509078558277,2.1589503446645404,21.300375859865607,0.8374523299956954,0.7330531249181149,1.378699998895172
85,0,0,0,0,0,0.9526586952297236,1.0,2.123663206389127,19.15924291986025,0.715878024835443,0.8072520832532367,1.5596999992339988
105,0,0,0,0,0,0.9527870006029533,1.0088248931453825,1.7237356351684974,8.327053755542874,0.4821865867219329,0.8963833334216057,1.4874500011501368
133,0,0,0,0,0,0.9527713186208561,1.0065488132406863,1.714370761744453,10.366439723084445,0.5136355692210874,0.8974270832974677,1.6681750012139673
137,0,0,0,0,0,0.9529463565390222,1.0080759113687827,1.4105055030335452,0.7888938370263242,0.1200053307493157,0.5506156250400333,1.433249997717212
147,0,0,0,0,0,0.9527664815940096,1.0081437115921077,1.7521130097825235,10.904233337473128,0.5415154479945036,0.8859770833851144,1.5906999997241655
159,0,0,0,0,0,0.9529332171318723,1.0071914306337297,1.275717014361442,1.0535213648143074,0.15100131455873864,0.46244687492465647,1.416300000528281
220,0,0,0,0,0,0.9527716760595014,1.0047080444252505,1.6353079122403573,8.159617172982026,0.507649870968734,0.863068750087829,1.6412749973824248
236,0,0,0,0,0,0.9529619856513045,1.008505562501081,1.2131413314016117,0.4792925772837814,0.08369847841401905,0.3592031249960807,1.258199999028875
241,0,0,0,0,0,0.9527801916821957,1.0014978862328223,1.6627616022056235,9.190908038589166,0.4936961260015505,0.8200062503268176,1.5220499999486492
245,0,0,0,0,0,0.9527804963740755,1.0045684606337677,1.7313668553608144,10.773671651691258,0.5358380420607282,0.9176145835378217,1.6246999994109501
257,0,0,0,0,0,0.9529219929718766,1.0091731784562306,1.2532602420573449,0.9916773004576183,0.18040443458618008,0.44469270812896866,1.4465750000454136
282,0,0,0,0,0,0.9526330749798811,1.0055994425555386,1.8678306862642615,13.346515443903153,0.6619937708924674,0.9814010417130703,1.734099999339378
295,0,0,0,0,0,0.952421501146101,1.0,2.180598662056868,19.64662731652787,0.75,0.8935302082591079,1.5251000004354864
299,0,0,0,0,0,0.9528143639526256,1.0,1.525191862537155,4.519754382543009,0.36423181594831444,0.7219937498727328,1.437424998584902
