capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar
P00_pv0225_svc0000,0.225,0.0,0.0,0,4.024922359499618,0.0,0.0
P01_pv030_svc0000,0.3,0.0,0.0,1,5.36656314599949,0.0,0.0
P02_pv030_svc01875,0.3,0.1875,0.0,2,5.36656314599949,0.375,0.0
P03_pv030_svc0375,0.3,0.375,0.0,3,5.36656314599949,0.75,0.0
P04_pv045_svc0375,0.45,0.375,0.0,4,8.049844718999235,0.75,0.0
P05_pv045_svc05625,0.45,0.5625,0.0,5,8.049844718999235,1.125,0.0
P06_pv045_svc0750,0.45,0.75,0.0,6,8.049844718999235,1.5,0.0
P07_pv060_svc0750,0.6,0.75,0.0,7,10.73312629199898,1.5,0.0
P08_pv075_svc0750,0.75,0.75,0.0,8,13.416407864998725,1.5,0.0
P09_pv075_svc1000,0.75,1.0,0.0,9,13.416407864998725,2.0,0.0
P10_pv100_svc1000,1.0,1.0,0.0,10,17.8885438199983,2.0,0.0
P11_pv100_svc1250,1.0,1.25,0.0,11,17.8885438199983,2.5,0.0
P12_pv125_svc1250,1.25,1.25,0.0,12,22.360679774997877,2.5,0.0
P13_pv125_svc1500,1.25,1.5,0.0,13,22.360679774997877,3.0,0.0
P14_pv150_svc1500,1.5,1.5,0.0,14,26.83281572999745,3.0,0.0
