scenario_index,day_index,t0
0,0,0
1,1,96
2,2,192
3,3,288
4,5,480
5,6,576
6,7,672
7,8,768
8,9,864
9,10,960
10,11,1056
11,12,1152
12,13,1248
13,14,1344
14,15,1440
15,16,1536
16,17,1632
17,18,1728
18,19,1824
19,20,1920
20,21,2016
21,22,2112
22,23,2208
23,24,2304
24,25,2400
25,26,2496
26,27,2592
27,28,2688
28,29,2784
29,30,2880
30,31,2976
31,32,3072
32,33,3168
33,34,3264
34,35,3360
35,36,3456
36,37,3552
37,39,3744
38,40,3840
39,41,3936
40,42,4032
41,43,4128
42,44,4224
43,45,4320
44,46,4416
45,47,4512
46,48,4608
47,49,4704
48,50,4800
49,51,4896
50,52,4992
51,53,5088
52,54,5184
53,55,5280
54,56,5376
55,57,5472
56,58,5568
57,59,5664
58,60,5760
59,61,5856
60,62,5952
61,63,6048
62,64,6144
63,65,6240
64,66,6336
65,67,6432
66,68,6528
67,69,6624
68,70,6720
69,71,6816
70,72,6912
71,73,7008
72,74,7104
73,75,7200
74,76,7296
75,78,7488
76,79,7584
77,80,7680
78,81,7776
79,82,7872
80,83,7968
81,84,8064
82,86,8256
83,87,8352
84,88,8448
85,89,8544
86,90,8640
87,91,8736
88,92,8832
89,93,8928
90,94,9024
91,95,9120
92,96,9216
93,97,9312
94,98,9408
95,99,9504
96,100,9600
97,101,9696
98,102,9792
99,103,9888
100,104,9984
101,106,10176
102,107,10272
103,108,10368
104,109,10464
105,110,10560
106,111,10656
107,112,10752
108,113,10848
109,114,10944
110,115,11040
111,116,11136
112,117,11232
113,118,11328
114,119,11424
115,120,11520
116,121,11616
117,122,11712
118,123,11808
119,124,11904
120,125,12000
121,126,12096
122,127,12192
123,128,12288
124,129,12384
125,130,12480
126,131,12576
127,132,12672
128,134,12864
129,135,12960
130,136,13056
131,138,13248
132,139,13344
133,140,13440
134,141,13536
135,142,13632
136,143,13728
137,144,13824
138,145,13920
139,146,14016
140,148,14208
141,149,14304
142,150,14400
143,151,14496
144,152,14592
145,153,14688
146,154,14784
147,155,14880
148,156,14976
149,157,15072
150,158,15168
151,160,15360
152,161,15456
153,162,15552
154,163,15648
155,164,15744
156,165,15840
157,166,15936
158,167,16032
159,168,16128
160,169,16224
161,170,16320
162,171,16416
163,172,16512
164,173,16608
165,174,16704
166,175,16800
167,176,16896
168,177,16992
169,178,17088
170,179,17184
171,180,17280
172,181,17376
173,182,17472
174,183,17568
175,184,17664
176,185,17760
177,186,17856
178,187,17952
179,188,18048
180,189,18144
181,190,18240
182,191,18336
183,192,18432
184,193,18528
185,194,18624
186,195,18720
187,196,18816
188,197,18912
189,198,19008
190,199,19104
191,200,19200
192,201,19296
193,202,19392
194,203,19488
195,204,19584
196,205,19680
197,206,19776
198,207,19872
199,208,19968
200,209,20064
201,210,20160
202,211,20256
203,212,20352
204,213,20448
205,214,20544
206,215,20640
207,216,20736
208,217,20832
209,218,20928
210,219,21024
211,221,21216
212,222,21312
213,223,21408
214,224,21504
215,225,21600
216,226,21696
217,227,21792
218,228,21888
219,229,21984
220,230,22080
221,231,22176
222,232,22272
223,233,22368
224,234,22464
225,235,22560
226,237,22752
227,238,22848
228,239,22944
229,240,23040
230,242,23232
231,243,23328
232,244,23424
233,246,23616
234,247,23712
235,248,23808
236,249,23904
237,250,24000
238,251,24096
239,252,24192
240,253,24288
241,254,24384
242,255,24480
243,256,24576
244,258,24768
245,259,24864
246,260,24960
247,261,25056
248,262,25152
249,263,25248
250,264,25344
251,265,25440
252,266,25536
253,267,25632
254,268,25728
255,269,25824
256,270,25920
257,271,26016
258,272,26112
259,273,26208
260,274,26304
261,275,26400
262,276,26496
263,277,26592
264,278,26688
265,279,26784
266,280,26880
267,281,26976
268,283,27168
269,284,27264
270,285,27360
271,286,27456
272,287,27552
273,288,27648
274,289,27744
275,290,27840
276,291,27936
277,292,28032
278,293,28128
279,294,28224
280,296,28416
281,297,28512
282,298,28608
283,300,28800
284,301,28896
285,302,28992
286,303,29088
287,304,29184
288,305,29280
289,306,29376
290,307,29472
291,308,29568
292,309,29664
293,310,29760
294,311,29856
295,312,29952
296,313,30048
297,314,30144
298,315,30240
299,316,30336
300,317,30432
301,318,30528
302,319,30624
303,320,30720
304,321,30816
305,322,30912
306,323,31008
307,324,31104
308,325,31200
309,326,31296
310,327,31392
311,328,31488
312,329,31584
313,330,31680
314,331,31776
315,332,31872
316,333,31968
317,334,32064
318,335,32160
319,336,32256
320,337,32352
321,338,32448
322,339,32544
323,340,32640
324,341,32736
325,342,32832
326,343,32928
327,344,33024
328,345,33120
329,346,33216
330,347,33312
331,348,33408
332,349,33504
333,350,33600
334,351,33696
335,352,33792
336,353,33888
337,354,33984
338,355,34080
339,356,34176
340,357,34272
341,358,34368
342,359,34464
343,360,34560
344,361,34656
345,362,34752
346,363,34848
347,364,34944
348,365,35040
