scenario_index,day_index,t0
0,0,0
1,1,96
2,2,192
3,3,288
4,4,384
5,5,480
6,6,576
7,7,672
8,8,768
9,9,864
10,10,960
11,11,1056
12,12,1152
13,13,1248
14,14,1344
15,15,1440
16,16,1536
17,17,1632
18,18,1728
19,19,1824
20,20,1920
21,21,2016
22,22,2112
23,23,2208
24,24,2304
25,25,2400
26,26,2496
27,27,2592
28,28,2688
29,29,2784
30,30,2880
31,31,2976
32,32,3072
33,33,3168
34,34,3264
35,35,3360
36,36,3456
37,37,3552
38,38,3648
39,39,3744
40,40,3840
41,41,3936
42,42,4032
43,43,4128
44,44,4224
45,45,4320
46,46,4416
47,47,4512
48,48,4608
49,49,4704
50,50,4800
51,51,4896
52,52,4992
53,53,5088
54,54,5184
55,55,5280
56,56,5376
57,57,5472
58,58,5568
59,59,5664
60,60,5760
61,61,5856
62,62,5952
63,63,6048
64,64,6144
65,65,6240
66,66,6336
67,67,6432
68,68,6528
69,69,6624
70,70,6720
71,71,6816
72,72,6912
73,73,7008
74,74,7104
75,75,7200
76,76,7296
77,77,7392
78,78,7488
79,79,7584
80,80,7680
81,81,7776
82,82,7872
83,83,7968
84,84,8064
85,85,8160
86,86,8256
87,87,8352
88,88,8448
89,89,8544
90,90,8640
91,91,8736
92,92,8832
93,93,8928
94,94,9024
95,95,9120
96,96,9216
97,97,9312
98,98,9408
99,99,9504
100,100,9600
101,101,9696
102,102,9792
103,103,9888
104,104,9984
105,105,10080
106,106,10176
107,107,10272
108,108,10368
109,109,10464
110,110,10560
111,111,10656
112,112,10752
113,113,10848
114,114,10944
115,115,11040
116,116,11136
117,117,11232
118,118,11328
119,119,11424
120,120,11520
121,121,11616
122,122,11712
123,123,11808
124,124,11904
125,125,12000
126,126,12096
127,127,12192
128,128,12288
129,129,12384
130,130,12480
131,131,12576
132,132,12672
133,133,12768
134,134,12864
135,135,12960
136,136,13056
137,137,13152
138,138,13248
139,139,13344
140,140,13440
141,141,13536
142,142,13632
143,143,13728
144,144,13824
145,145,13920
146,146,14016
147,147,14112
148,148,14208
149,149,14304
150,150,14400
151,151,14496
152,152,14592
153,153,14688
154,154,14784
155,155,14880
156,156,14976
157,157,15072
158,158,15168
159,159,15264
160,160,15360
161,161,15456
162,162,15552
163,163,15648
164,164,15744
165,165,15840
166,166,15936
167,167,16032
168,168,16128
169,169,16224
170,170,16320
171,171,16416
172,172,16512
173,173,16608
174,174,16704
175,175,16800
176,176,16896
177,177,16992
178,178,17088
179,179,17184
180,180,17280
181,181,17376
182,182,17472
183,183,17568
184,184,17664
185,185,17760
186,186,17856
187,187,17952
188,188,18048
189,189,18144
190,190,18240
191,191,18336
192,192,18432
193,193,18528
194,194,18624
195,195,18720
196,196,18816
197,197,18912
198,198,19008
199,199,19104
200,200,19200
201,201,19296
202,202,19392
203,203,19488
204,204,19584
205,205,19680
206,206,19776
207,207,19872
208,208,19968
209,209,20064
210,210,20160
211,211,20256
212,212,20352
213,213,20448
214,214,20544
215,215,20640
216,216,20736
217,217,20832
218,218,20928
219,219,21024
220,220,21120
221,221,21216
222,222,21312
223,223,21408
224,224,21504
225,225,21600
226,226,21696
227,227,21792
228,228,21888
229,229,21984
230,230,22080
231,231,22176
232,232,22272
233,233,22368
234,234,22464
235,235,22560
236,236,22656
237,237,22752
238,238,22848
239,239,22944
240,240,23040
241,241,23136
242,242,23232
243,243,23328
244,244,23424
245,245,23520
246,246,23616
247,247,23712
248,248,23808
249,249,23904
250,250,24000
251,251,24096
252,252,24192
253,253,24288
254,254,24384
255,255,24480
256,256,24576
257,257,24672
258,258,24768
259,259,24864
260,260,24960
261,261,25056
262,262,25152
263,263,25248
264,264,25344
265,265,25440
266,266,25536
267,267,25632
268,268,25728
269,269,25824
270,270,25920
271,271,26016
272,272,26112
273,273,26208
274,274,26304
275,275,26400
276,276,26496
277,277,26592
278,278,26688
279,279,26784
280,280,26880
281,281,26976
282,282,27072
283,283,27168
284,284,27264
285,285,27360
286,286,27456
287,287,27552
288,288,27648
289,289,27744
290,290,27840
291,291,27936
292,292,28032
293,293,28128
294,294,28224
295,295,28320
296,296,28416
297,297,28512
298,298,28608
299,299,28704
300,300,28800
301,301,28896
302,302,28992
303,303,29088
304,304,29184
305,305,29280
306,306,29376
307,307,29472
308,308,29568
309,309,29664
310,310,29760
311,311,29856
312,312,29952
313,313,30048
314,314,30144
315,315,30240
316,316,30336
317,317,30432
318,318,30528
319,319,30624
320,320,30720
321,321,30816
322,322,30912
323,323,31008
324,324,31104
325,325,31200
326,326,31296
327,327,31392
328,328,31488
329,329,31584
330,330,31680
331,331,31776
332,332,31872
333,333,31968
334,334,32064
335,335,32160
336,336,32256
337,337,32352
338,338,32448
339,339,32544
340,340,32640
341,341,32736
342,342,32832
343,343,32928
344,344,33024
345,345,33120
346,346,33216
347,347,33312
348,348,33408
349,349,33504
350,350,33600
351,351,33696
352,352,33792
353,353,33888
354,354,33984
355,355,34080
356,356,34176
357,357,34272
358,358,34368
359,359,34464
360,360,34560
361,361,34656
362,362,34752
363,363,34848
364,364,34944
365,365,35040
