candidate_id,capacity_label,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar
0,P00_pv0225_svc0000,0,1,96,0.225,0.0,0.0
1,P01_pv030_svc0000,0,1,96,0.3,0.0,0.0
2,P02_pv030_svc01875,0,1,96,0.3,0.1875,0.0
3,P03_pv030_svc0375,0,1,96,0.3,0.375,0.0
4,P04_pv045_svc0375,0,1,96,0.45,0.375,0.0
5,P05_pv045_svc05625,0,1,96,0.45,0.5625,0.0
6,P06_pv045_svc0750,0,1,96,0.45,0.75,0.0
7,P07_pv060_svc0750,0,1,96,0.6,0.75,0.0
8,P08_pv075_svc0750,0,1,96,0.75,0.75,0.0
0,P00_pv0225_svc0000,1,15,1440,0.225,0.0,0.0
1,P01_pv030_svc0000,1,15,1440,0.3,0.0,0.0
2,P02_pv030_svc01875,1,15,1440,0.3,0.1875,0.0
3,P03_pv030_svc0375,1,15,1440,0.3,0.375,0.0
4,P04_pv045_svc0375,1,15,1440,0.45,0.375,0.0
5,P05_pv045_svc05625,1,15,1440,0.45,0.5625,0.0
6,P06_pv045_svc0750,1,15,1440,0.45,0.75,0.0
7,P07_pv060_svc0750,1,15,1440,0.6,0.75,0.0
8,P08_pv075_svc0750,1,15,1440,0.75,0.75,0.0
0,P00_pv0225_svc0000,2,38,3648,0.225,0.0,0.0
1,P01_pv030_svc0000,2,38,3648,0.3,0.0,0.0
2,P02_pv030_svc01875,2,38,3648,0.3,0.1875,0.0
3,P03_pv030_svc0375,2,38,3648,0.3,0.375,0.0
4,P04_pv045_svc0375,2,38,3648,0.45,0.375,0.0
5,P05_pv045_svc05625,2,38,3648,0.45,0.5625,0.0
6,P06_pv045_svc0750,2,38,3648,0.45,0.75,0.0
7,P07_pv060_svc0750,2,38,3648,0.6,0.75,0.0
8,P08_pv075_svc0750,2,38,3648,0.75,0.75,0.0
0,P00_pv0225_svc0000,3,39,3744,0.225,0.0,0.0
1,P01_pv030_svc0000,3,39,3744,0.3,0.0,0.0
2,P02_pv030_svc01875,3,39,3744,0.3,0.1875,0.0
3,P03_pv030_svc0375,3,39,3744,0.3,0.375,0.0
4,P04_pv045_svc0375,3,39,3744,0.45,0.375,0.0
5,P05_pv045_svc05625,3,39,3744,0.45,0.5625,0.0
6,P06_pv045_svc0750,3,39,3744,0.45,0.75,0.0
7,P07_pv060_svc0750,3,39,3744,0.6,0.75,0.0
8,P08_pv075_svc0750,3,39,3744,0.75,0.75,0.0
0,P00_pv0225_svc0000,5,56,5376,0.225,0.0,0.0
1,P01_pv030_svc0000,5,56,5376,0.3,0.0,0.0
2,P02_pv030_svc01875,5,56,5376,0.3,0.1875,0.0
3,P03_pv030_svc0375,5,56,5376,0.3,0.375,0.0
4,P04_pv045_svc0375,5,56,5376,0.45,0.375,0.0
5,P05_pv045_svc05625,5,56,5376,0.45,0.5625,0.0
6,P06_pv045_svc0750,5,56,5376,0.45,0.75,0.0
7,P07_pv060_svc0750,5,56,5376,0.6,0.75,0.0
8,P08_pv075_svc0750,5,56,5376,0.75,0.75,0.0
0,P00_pv0225_svc0000,6,57,5472,0.225,0.0,0.0
1,P01_pv030_svc0000,6,57,5472,0.3,0.0,0.0
2,P02_pv030_svc01875,6,57,5472,0.3,0.1875,0.0
3,P03_pv030_svc0375,6,57,5472,0.3,0.375,0.0
4,P04_pv045_svc0375,6,57,5472,0.45,0.375,0.0
5,P05_pv045_svc05625,6,57,5472,0.45,0.5625,0.0
6,P06_pv045_svc0750,6,57,5472,0.45,0.75,0.0
7,P07_pv060_svc0750,6,57,5472,0.6,0.75,0.0
8,P08_pv075_svc0750,6,57,5472,0.75,0.75,0.0
0,P00_pv0225_svc0000,7,60,5760,0.225,0.0,0.0
1,P01_pv030_svc0000,7,60,5760,0.3,0.0,0.0
2,P02_pv030_svc01875,7,60,5760,0.3,0.1875,0.0
3,P03_pv030_svc0375,7,60,5760,0.3,0.375,0.0
4,P04_pv045_svc0375,7,60,5760,0.45,0.375,0.0
5,P05_pv045_svc05625,7,60,5760,0.45,0.5625,0.0
6,P06_pv045_svc0750,7,60,5760,0.45,0.75,0.0
7,P07_pv060_svc0750,7,60,5760,0.6,0.75,0.0
8,P08_pv075_svc0750,7,60,5760,0.75,0.75,0.0
0,P00_pv0225_svc0000,8,72,6912,0.225,0.0,0.0
1,P01_pv030_svc0000,8,72,6912,0.3,0.0,0.0
2,P02_pv030_svc01875,8,72,6912,0.3,0.1875,0.0
3,P03_pv030_svc0375,8,72,6912,0.3,0.375,0.0
4,P04_pv045_svc0375,8,72,6912,0.45,0.375,0.0
5,P05_pv045_svc05625,8,72,6912,0.45,0.5625,0.0
6,P06_pv045_svc0750,8,72,6912,0.45,0.75,0.0
7,P07_pv060_svc0750,8,72,6912,0.6,0.75,0.0
8,P08_pv075_svc0750,8,72,6912,0.75,0.75,0.0
0,P00_pv0225_svc0000,10,107,10272,0.225,0.0,0.0
1,P01_pv030_svc0000,10,107,10272,0.3,0.0,0.0
2,P02_pv030_svc01875,10,107,10272,0.3,0.1875,0.0
3,P03_pv030_svc0375,10,107,10272,0.3,0.375,0.0
4,P04_pv045_svc0375,10,107,10272,0.45,0.375,0.0
5,P05_pv045_svc05625,10,107,10272,0.45,0.5625,0.0
6,P06_pv045_svc0750,10,107,10272,0.45,0.75,0.0
