scenario_index,day_index,t0
0,1,96
1,15,1440
2,38,3648
3,39,3744
5,56,5376
6,57,5472
7,60,5760
8,72,6912
10,107,10272
11,114,10944
12,119,11424
13,129,12384
15,143,13728
16,151,14496
17,164,15744
18,167,16032
20,179,17184
21,182,17472
22,186,17856
23,217,20832
25,233,22368
26,242,23232
27,244,23424
28,245,23520
30,255,24480
31,271,26016
32,277,26592
33,279,26784
35,285,27360
36,287,27552
37,289,27744
38,293,28128
40,301,28896
41,308,29568
42,311,29856
43,318,30528
45,329,31584
46,330,31680
47,341,32736
48,342,32832
